head_count,loss,model_depth,model_seed,model_width,parameter_count,step,training_budget,training_steps
4,0.7349330186843872,2,23,64,85504,950,4,1600
4,0.48220229148864746,2,23,64,85504,1000,4,1600
4,0.602557897567749,2,23,64,85504,1050,4,1600
4,0.4822343587875366,2,23,64,85504,1100,4,1600
4,0.2359471321105957,2,23,64,85504,1150,4,1600
4,0.5777524709701538,2,23,64,85504,1200,4,1600
4,0.23645716905593872,2,23,64,85504,1250,4,1600
4,0.2928536832332611,2,23,64,85504,1300,4,1600
4,0.2786664068698883,2,23,64,85504,1350,4,1600
4,0.2662298381328583,2,23,64,85504,1400,4,1600
4,0.3144957423210144,2,23,64,85504,1450,4,1600
4,0.14710763096809387,2,23,64,85504,1500,4,1600
4,0.3063621520996094,2,23,64,85504,1550,4,1600
4,0.2353353649377823,2,23,64,85504,1600,4,1600
4,36.34589385986328,2,37,64,85504,1,4,1600
4,1.4227099418640137,2,37,64,85504,50,4,1600
4,1.618994116783142,2,37,64,85504,100,4,1600
4,1.3622831106185913,2,37,64,85504,150,4,1600
4,1.6499216556549072,2,37,64,85504,200,4,1600
4,1.3718875646591187,2,37,64,85504,250,4,1600
4,0.6482490301132202,2,37,64,85504,300,4,1600
4,0.5626494884490967,2,37,64,85504,350,4,1600
4,0.3906177580356598,2,37,64,85504,400,4,1600
4,0.46905940771102905,2,37,64,85504,450,4,1600
4,0.3385835886001587,2,37,64,85504,500,4,1600
4,0.5175940990447998,2,37,64,85504,550,4,1600
4,0.3119840919971466,2,37,64,85504,600,4,1600
4,0.37522268295288086,2,37,64,85504,650,4,1600
4,0.35277336835861206,2,37,64,85504,700,4,1600
4,0.18291792273521423,2,37,64,85504,750,4,1600
4,0.40128862857818604,2,37,64,85504,800,4,1600
4,0.22756323218345642,2,37,64,85504,850,4,1600
4,0.3704743981361389,2,37,64,85504,900,4,1600
4,0.1386750340461731,2,37,64,85504,950,4,1600
4,0.154134139418602,2,37,64,85504,1000,4,1600
4,0.25098881125450134,2,37,64,85504,1050,4,1600
4,0.4093833565711975,2,37,64,85504,1100,4,1600
4,0.17094603180885315,2,37,64,85504,1150,4,1600
4,0.23605865240097046,2,37,64,85504,1200,4,1600
4,0.39245790243148804,2,37,64,85504,1250,4,1600
4,0.27047058939933777,2,37,64,85504,1300,4,1600
4,0.3730827569961548,2,37,64,85504,1350,4,1600
4,0.24625149369239807,2,37,64,85504,1400,4,1600
4,0.35349327325820923,2,37,64,85504,1450,4,1600
4,0.1943255066871643,2,37,64,85504,1500,4,1600
4,0.28370729088783264,2,37,64,85504,1550,4,1600
4,0.29794856905937195,2,37,64,85504,1600,4,1600
4,14.312173843383789,8,11,32,77632,1,4,1600
4,1.5665593147277832,8,11,32,77632,50,4,1600
4,1.45993971824646,8,11,32,77632,100,4,1600
4,1.4599113464355469,8,11,32,77632,150,4,1600
4,1.4246745109558105,8,11,32,77632,200,4,1600
4,1.1816691160202026,8,11,32,77632,250,4,1600
4,1.0284733772277832,8,11,32,77632,300,4,1600
4,0.7533124685287476,8,11,32,77632,350,4,1600
4,0.4054720401763916,8,11,32,77632,400,4,1600
4,0.176663339138031,8,11,32,77632,450,4,1600
4,0.20781809091567993,8,11,32,77632,500,4,1600
4,0.2857402563095093,8,11,32,77632,550,4,1600
4,0.3826265037059784,8,11,32,77632,600,4,1600
4,0.4473622739315033,8,11,32,77632,650,4,1600
4,0.23430030047893524,8,11,32,77632,700,4,1600
4,0.3540074825286865,8,11,32,77632,750,4,1600
4,0.32553040981292725,8,11,32,77632,800,4,1600
4,0.2323181927204132,8,11,32,77632,850,4,1600
4,0.3808150291442871,8,11,32,77632,900,4,1600
4,0.1387350708246231,8,11,32,77632,950,4,1600
4,0.17058156430721283,8,11,32,77632,1000,4,1600
4,0.25935807824134827,8,11,32,77632,1050,4,1600
4,0.19280584156513214,8,11,32,77632,1100,4,1600
4,0.18263860046863556,8,11,32,77632,1150,4,1600
4,0.24619807302951813,8,11,32,77632,1200,4,1600
4,0.1506253331899643,8,11,32,77632,1250,4,1600
4,0.2592191696166992,8,11,32,77632,1300,4,1600
4,0.19569987058639526,8,11,32,77632,1350,4,1600
4,0.324428915977478,8,11,32,77632,1400,4,1600
4,0.22380781173706055,8,11,32,77632,1450,4,1600
4,0.23191392421722412,8,11,32,77632,1500,4,1600
4,0.24234002828598022,8,11,32,77632,1550,4,1600
4,0.2406303882598877,8,11,32,77632,1600,4,1600
4,20.633350372314453,8,23,32,77632,1,4,1600
4,1.4849412441253662,8,23,32,77632,50,4,1600
4,1.413170337677002,8,23,32,77632,100,4,1600
4,1.3991115093231201,8,23,32,77632,150,4,1600
4,1.4754225015640259,8,23,32,77632,200,4,1600
4,1.4223898649215698,8,23,32,77632,250,4,1600
4,1.420682430267334,8,23,32,77632,300,4,1600
4,1.4794566631317139,8,23,32,77632,350,4,1600
4,1.3805381059646606,8,23,32,77632,400,4,1600
4,1.4767332077026367,8,23,32,77632,450,4,1600
4,1.6165575981140137,8,23,32,77632,500,4,1600
4,1.4059946537017822,8,23,32,77632,550,4,1600
4,1.4385170936584473,8,23,32,77632,600,4,1600
4,1.416812539100647,8,23,32,77632,650,4,1600
4,1.2221283912658691,8,23,32,77632,700,4,1600
4,1.0538631677627563,8,23,32,77632,750,4,1600
4,0.769607663154602,8,23,32,77632,800,4,1600
4,0.38074252009391785,8,23,32,77632,850,4,1600
4,0.3789195418357849,8,23,32,77632,900,4,1600
4,0.33685630559921265,8,23,32,77632,950,4,1600
4,0.364188015460968,8,23,32,77632,1000,4,1600
4,0.2730746269226074,8,23,32,77632,1050,4,1600
4,0.2980257272720337,8,23,32,77632,1100,4,1600
4,0.33886682987213135,8,23,32,77632,1150,4,1600
4,0.5112127065658569,8,23,32,77632,1200,4,1600
4,0.18444722890853882,8,23,32,77632,1250,4,1600
4,0.3048087954521179,8,23,32,77632,1300,4,1600
4,0.3107244372367859,8,23,32,77632,1350,4,1600
4,0.3673499822616577,8,23,32,77632,1400,4,1600
4,0.3787781000137329,8,23,32,77632,1450,4,1600
4,0.2964414358139038,8,23,32,77632,1500,4,1600
4,0.19336092472076416,8,23,32,77632,1550,4,1600
4,0.25368374586105347,8,23,32,77632,1600,4,1600
4,21.29434585571289,8,37,32,77632,1,4,1600
4,1.43003249168396,8,37,32,77632,50,4,1600
4,1.4164597988128662,8,37,32,77632,100,4,1600
4,1.4219073057174683,8,37,32,77632,150,4,1600
4,1.3649009466171265,8,37,32,77632,200,4,1600
4,1.47910475730896,8,37,32,77632,250,4,1600
4,1.5208914279937744,8,37,32,77632,300,4,1600
4,1.4046822786331177,8,37,32,77632,350,4,1600
4,1.3446909189224243,8,37,32,77632,400,4,1600
4,1.2772202491760254,8,37,32,77632,450,4,1600
4,1.0849730968475342,8,37,32,77632,500,4,1600
4,0.938091516494751,8,37,32,77632,550,4,1600
4,0.8556157350540161,8,37,32,77632,600,4,1600
4,0.8582770228385925,8,37,32,77632,650,4,1600
4,0.8542641401290894,8,37,32,77632,700,4,1600
4,1.0304837226867676,8,37,32,77632,750,4,1600
4,0.8251744508743286,8,37,32,77632,800,4,1600
4,0.9079278707504272,8,37,32,77632,850,4,1600
4,0.8593844175338745,8,37,32,77632,900,4,1600
4,0.883380651473999,8,37,32,77632,950,4,1600
4,1.003427505493164,8,37,32,77632,1000,4,1600
4,0.7976083755493164,8,37,32,77632,1050,4,1600
4,0.6734851598739624,8,37,32,77632,1100,4,1600
4,0.6988644003868103,8,37,32,77632,1150,4,1600
4,0.4865484833717346,8,37,32,77632,1200,4,1600
4,0.2993374764919281,8,37,32,77632,1250,4,1600
4,0.36735713481903076,8,37,32,77632,1300,4,1600
4,0.29597002267837524,8,37,32,77632,1350,4,1600
4,0.2714498043060303,8,37,32,77632,1400,4,1600
4,0.09696507453918457,8,37,32,77632,1450,4,1600
4,0.19320757687091827,8,37,32,77632,1500,4,1600
4,0.3015395402908325,8,37,32,77632,1550,4,1600
4,0.24760738015174866,8,37,32,77632,1600,4,1600
