axis,axis_value,dependency_span,family_id,model_type,nuisance_count,predictive_order,raw_length,target_margin,top1_correct
length,4,1,"length:(1, 1):66",transformer,0,2,4,13.8583345413208,1
length,4,1,"length:(3, 3):67",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(3, 3):68",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(2, 2):69",transformer,0,2,4,14.81905746459961,1
length,4,1,"length:(0, 3):70",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(0, 0):71",transformer,0,2,4,16.102914810180664,1
length,4,1,"length:(3, 1):72",transformer,0,2,4,12.450789451599121,1
length,4,1,"length:(2, 2):73",transformer,0,2,4,14.81905746459961,1
length,4,1,"length:(1, 3):74",transformer,0,2,4,13.468753814697266,1
length,4,1,"length:(1, 0):75",transformer,0,2,4,10.059732437133789,1
length,4,1,"length:(0, 0):76",transformer,0,2,4,16.102914810180664,1
length,4,1,"length:(2, 1):77",transformer,0,2,4,9.141653060913086,1
length,4,1,"length:(3, 1):78",transformer,0,2,4,12.450789451599121,1
length,4,1,"length:(2, 0):79",transformer,0,2,4,6.12005615234375,1
length,4,1,"length:(0, 3):80",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(2, 2):81",transformer,0,2,4,14.81905746459961,1
length,4,1,"length:(0, 3):82",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(3, 3):83",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(2, 3):84",transformer,0,2,4,5.789499282836914,1
length,4,1,"length:(2, 1):85",transformer,0,2,4,9.141653060913086,1
length,4,1,"length:(3, 3):86",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(3, 0):87",transformer,0,2,4,13.528022766113281,1
length,4,1,"length:(3, 2):88",transformer,0,2,4,11.583038330078125,1
length,4,1,"length:(0, 2):89",transformer,0,2,4,4.057397842407227,1
length,4,1,"length:(3, 3):90",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(0, 2):91",transformer,0,2,4,4.057397842407227,1
length,4,1,"length:(0, 1):92",transformer,0,2,4,7.86939811706543,1
length,4,1,"length:(3, 0):93",transformer,0,2,4,13.528022766113281,1
length,4,1,"length:(0, 1):94",transformer,0,2,4,7.86939811706543,1
length,4,1,"length:(1, 2):95",transformer,0,2,4,10.297476768493652,1
length,4,1,"length:(0, 0):96",transformer,0,2,4,16.102914810180664,1
length,4,1,"length:(1, 2):97",transformer,0,2,4,10.297476768493652,1
length,4,1,"length:(1, 0):98",transformer,0,2,4,10.059732437133789,1
length,4,1,"length:(2, 1):99",transformer,0,2,4,9.141653060913086,1
length,4,1,"length:(3, 2):100",transformer,0,2,4,11.583038330078125,1
length,4,1,"length:(0, 0):101",transformer,0,2,4,16.102914810180664,1
length,4,1,"length:(3, 3):102",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(2, 1):103",transformer,0,2,4,9.141653060913086,1
length,4,1,"length:(2, 1):104",transformer,0,2,4,9.141653060913086,1
length,4,1,"length:(0, 1):105",transformer,0,2,4,7.86939811706543,1
