axis,axis_value,computation_index,family_id,hidden_norm,hidden_pair_distance,model_type,target_margin,top1_correct
length,16,2,"length:(1, 0):15",,,transformer,-2.902547836303711,0
length,16,3,"length:(1, 0):15",,,transformer,7.864706039428711,1
length,16,4,"length:(1, 0):15",,,transformer,10.636801719665527,1
length,32,0,"length:(2, 2):0",,,transformer,-25.306743621826172,0
length,32,1,"length:(2, 2):0",,,transformer,-8.969375610351562,0
length,32,2,"length:(2, 2):0",,,transformer,-7.4227705001831055,0
length,32,3,"length:(2, 2):0",,,transformer,5.580060958862305,1
length,32,4,"length:(2, 2):0",,,transformer,15.11388111114502,1
length,32,0,"length:(2, 0):1",,,transformer,-22.153284072875977,0
length,32,1,"length:(2, 0):1",,,transformer,-9.453119277954102,0
length,32,2,"length:(2, 0):1",,,transformer,-6.6844024658203125,0
length,32,3,"length:(2, 0):1",,,transformer,6.440957069396973,1
length,32,4,"length:(2, 0):1",,,transformer,12.911730766296387,1
length,32,0,"length:(0, 2):2",,,transformer,-22.153284072875977,0
length,32,1,"length:(0, 2):2",,,transformer,-11.960658073425293,0
length,32,2,"length:(0, 2):2",,,transformer,-1.0955076217651367,0
length,32,3,"length:(0, 2):2",,,transformer,11.863554000854492,1
length,32,4,"length:(0, 2):2",,,transformer,8.089987754821777,1
length,32,0,"length:(1, 3):3",,,transformer,-25.306743621826172,0
length,32,1,"length:(1, 3):3",,,transformer,-3.502739906311035,0
length,32,2,"length:(1, 3):3",,,transformer,5.626068115234375,1
length,32,3,"length:(1, 3):3",,,transformer,12.650219917297363,1
length,32,4,"length:(1, 3):3",,,transformer,15.898128509521484,1
length,32,0,"length:(3, 0):4",,,transformer,-23.88418960571289,0
length,32,1,"length:(3, 0):4",,,transformer,-16.193580627441406,0
length,32,2,"length:(3, 0):4",,,transformer,0.6893329620361328,1
length,32,3,"length:(3, 0):4",,,transformer,6.828073501586914,1
length,32,4,"length:(3, 0):4",,,transformer,14.152412414550781,1
length,32,0,"length:(0, 2):5",,,transformer,-22.153284072875977,0
length,32,1,"length:(0, 2):5",,,transformer,-11.960658073425293,0
length,32,2,"length:(0, 2):5",,,transformer,-1.0955076217651367,0
length,32,3,"length:(0, 2):5",,,transformer,11.863554000854492,1
length,32,4,"length:(0, 2):5",,,transformer,8.089987754821777,1
length,32,0,"length:(1, 3):6",,,transformer,-25.306743621826172,0
length,32,1,"length:(1, 3):6",,,transformer,-3.502739906311035,0
length,32,2,"length:(1, 3):6",,,transformer,5.626068115234375,1
length,32,3,"length:(1, 3):6",,,transformer,12.650219917297363,1
length,32,4,"length:(1, 3):6",,,transformer,15.898128509521484,1
length,32,0,"length:(0, 3):7",,,transformer,-23.88418960571289,0
length,32,1,"length:(0, 3):7",,,transformer,-6.376470565795898,0
length,32,2,"length:(0, 3):7",,,transformer,4.710514068603516,1
length,32,3,"length:(0, 3):7",,,transformer,13.019767761230469,1
length,32,4,"length:(0, 3):7",,,transformer,14.412269592285156,1
length,32,0,"length:(1, 3):8",,,transformer,-25.306743621826172,0
length,32,1,"length:(1, 3):8",,,transformer,-3.502739906311035,0
length,32,2,"length:(1, 3):8",,,transformer,5.626068115234375,1
length,32,3,"length:(1, 3):8",,,transformer,12.650219917297363,1
length,32,4,"length:(1, 3):8",,,transformer,15.898128509521484,1
length,32,0,"length:(1, 1):9",,,transformer,-22.153284072875977,0
length,32,1,"length:(1, 1):9",,,transformer,-5.386736869812012,0
length,32,2,"length:(1, 1):9",,,transformer,-8.686614036560059,0
length,32,3,"length:(1, 1):9",,,transformer,4.55992317199707,1
length,32,4,"length:(1, 1):9",,,transformer,10.629817962646484,1
length,32,0,"length:(1, 3):10",,,transformer,-25.306743621826172,0
length,32,1,"length:(1, 3):10",,,transformer,-3.502739906311035,0
length,32,2,"length:(1, 3):10",,,transformer,5.626068115234375,1
length,32,3,"length:(1, 3):10",,,transformer,12.650219917297363,1
length,32,4,"length:(1, 3):10",,,transformer,15.898128509521484,1
length,32,0,"length:(3, 0):11",,,transformer,-23.88418960571289,0
length,32,1,"length:(3, 0):11",,,transformer,-16.193580627441406,0
length,32,2,"length:(3, 0):11",,,transformer,0.6893329620361328,1
length,32,3,"length:(3, 0):11",,,transformer,6.828073501586914,1
length,32,4,"length:(3, 0):11",,,transformer,14.152412414550781,1
length,32,0,"length:(3, 0):12",,,transformer,-23.88418960571289,0
length,32,1,"length:(3, 0):12",,,transformer,-16.193580627441406,0
length,32,2,"length:(3, 0):12",,,transformer,0.6893329620361328,1
length,32,3,"length:(3, 0):12",,,transformer,6.828073501586914,1
length,32,4,"length:(3, 0):12",,,transformer,14.152412414550781,1
