answer_logprob,answer_token_accuracy,budget_chunks,budget_tokens,budget_violation,complete_evidence,condition,dataset,end_to_end_time_ns,evidence_recall,example_id,identity_id,materialization_time_ns,materialized_kv_bytes,materialized_tokens,peak_device_bytes,pid,selection_time_ns
-1.1316531896591187,0.6000000238418579,4,128,0,1.0,persistence,hotpotqa,2261639402,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,976013214,14680064,128,3413962752,89536,29440
-0.9549505114555359,0.800000011920929,4,128,0,1.0,agreement,hotpotqa,2255290490,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,971263692,14680064,128,3413962752,89536,56078
-0.9549505114555359,0.800000011920929,4,128,0,1.0,community,hotpotqa,2255290490,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,971263692,14680064,128,3413962752,89536,59150
-0.9110601544380188,0.800000011920929,4,128,0,1.0,bridge_preserving,hotpotqa,2669960067,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,980431676,14680064,128,3413962752,89536,43250
-1.0650581121444702,0.6000000238418579,4,128,0,1.0,combined_structural,hotpotqa,2257296263,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,974532630,14680064,128,3413962752,89536,67358
-0.9110601544380188,0.800000011920929,4,128,0,1.0,oracle_evidence,hotpotqa,2669960067,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,980431676,14680064,128,3413962752,89536,78812
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,base_topk,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,28544
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,budget_tuned_topk,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,63020
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,power_sharpen,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,72338
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,entropy_adaptive_sharpen,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,144795
-1.2633408308029175,0.6000000238418579,6,192,0,1.0,persistence,hotpotqa,2717206216,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1309844787,22020096,192,3413979136,89536,23259
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,agreement,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,55033
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,community,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,20524
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,bridge_preserving,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,31872
-1.2633408308029175,0.6000000238418579,6,192,0,1.0,combined_structural,hotpotqa,2717206216,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1309844787,22020096,192,3413979136,89536,58273
-1.1094249486923218,0.6000000238418579,6,192,0,1.0,oracle_evidence,hotpotqa,3137754479,1.0,hotpotqa-5a72d3525542991f9a20c5ab,5a72d3525542991f9a20c5ab,1311675387,22020096,192,3413979136,89536,23858
-5.938772201538086,0.0,2,64,0,0.0,base_topk,hotpotqa,4977526757,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,636911217,7340032,64,3414163456,89536,14525
-5.938772201538086,0.0,2,64,0,0.0,budget_tuned_topk,hotpotqa,4977526757,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,636911217,7340032,64,3414163456,89536,45268
-5.938772201538086,0.0,2,64,0,0.0,power_sharpen,hotpotqa,4977526757,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,636911217,7340032,64,3414163456,89536,44955
-5.938772201538086,0.0,2,64,0,0.0,entropy_adaptive_sharpen,hotpotqa,4977526757,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,636911217,7340032,64,3414163456,89536,85215
-5.156562328338623,0.0,2,64,0,0.0,persistence,hotpotqa,2698728434,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,571206295,7340032,64,3409977344,89536,16586
-5.938772201538086,0.0,2,64,0,0.0,agreement,hotpotqa,4977526757,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,636911217,7340032,64,3414163456,89536,58150
-8.181975364685059,0.0,2,64,0,0.0,community,hotpotqa,2672989366,0.0,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,549665526,7340032,64,3409977344,89536,25692
-5.938772201538086,0.0,2,64,0,0.0,bridge_preserving,hotpotqa,4977526757,0.14285714285714285,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,636911217,7340032,64,3414163456,89536,57093
-5.718325614929199,0.0,2,64,0,0.0,combined_structural,hotpotqa,2676545301,0.2857142857142857,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,547692184,7340032,64,3409977344,89536,51680
-2.4294798374176025,0.0,2,64,0,0.0,oracle_evidence,hotpotqa,2676509633,0.2857142857142857,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,548930274,7340032,64,3409977344,89536,66834
-4.990309715270996,0.0,4,128,0,0.0,base_topk,hotpotqa,3777060608,0.2857142857142857,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,976309947,14680064,128,3409993728,89536,53142
-4.990309715270996,0.0,4,128,0,0.0,budget_tuned_topk,hotpotqa,3777060608,0.2857142857142857,hotpotqa-5a7bcc0f554299042af8f7e2,5a7bcc0f554299042af8f7e2,976309947,14680064,128,3409993728,89536,53776
