abstraction_level,angular_concentration,between_cosine_distance,common_energy_fraction,component,effective_rank,family,layer,model_setting,n,natural,parent_id,seed,within_cosine_distance
parent,0.9130033954074143,0.847485349892434,0.8310532001485799,ff,1.0130783483669508,action,0,tiny-w48-l3-h3,6,True,natural:action:movement,11,0.19886329367576538
root,0.9335806444766489,0.8350695863435647,0.8518928437624463,ff,1.2883072810442215,action,0,tiny-w48-l3-h3,6,True,natural:action:communication,11,0.15085020123070061
root,0.9112185971672924,0.8607520530621288,0.828936722717483,ff,1.0271031062240061,action,0,tiny-w48-l3-h3,6,True,natural:action:movement,11,0.20308856052763105
parent,0.9535447454646769,0.8352153639546825,0.9025632856012931,ff,1.250133783763967,noun,0,tiny-w48-l3-h3,6,False,synthetic:noun:p0,11,0.10808800144775634
parent,0.9527628615990777,0.8413215844435054,0.8918985316969275,ff,1.0170540175818161,noun,0,tiny-w48-l3-h3,6,False,synthetic:noun:p1,11,0.10827344210027672
root,0.9205228483128067,0.8643668991821745,0.8397708442662042,ff,1.2763229568910006,noun,0,tiny-w48-l3-h3,6,False,synthetic:noun:p0,11,0.18105350395961148
root,0.9464140457422984,0.8889250885609076,0.8941624601393038,ff,1.0542651503477434,noun,0,tiny-w48-l3-h3,6,False,synthetic:noun:p1,11,0.12496969513766555
parent,0.9707834057586244,0.8190408521921985,0.94230280651935,ff,1.032152816097585,noun,0,tiny-w48-l3-h3,6,True,natural:noun:bird,11,0.06909289619085796
parent,0.9463485015822394,0.8803084853818458,0.8905779011237497,ff,1.0136938912103413,noun,0,tiny-w48-l3-h3,6,True,natural:noun:mammal,11,0.12443866369273705
root,0.8798839544562366,0.8647537037989623,0.7716884446223213,ff,1.0025566805858366,noun,0,tiny-w48-l3-h3,6,True,natural:noun:bird,11,0.2689714064907806
root,0.7586597074677618,0.9757869614002315,0.5827268267892374,ff,1.0276891806298687,noun,0,tiny-w48-l3-h3,6,True,natural:noun:mammal,11,0.4926558557355707
parent,0.9478191807769162,0.8365382089898931,0.8907845625505151,ff,1.047367464925128,relation,0,tiny-w48-l3-h3,6,False,synthetic:relation:p0,11,0.12079700488185748
parent,0.888583756483034,0.8500762916482887,0.7802443306973196,ff,1.0561098686993666,relation,0,tiny-w48-l3-h3,6,False,synthetic:relation:p1,11,0.24724351417593915
root,0.8114982513764941,0.8661265412614763,0.65807170685709,ff,1.015045737026741,relation,0,tiny-w48-l3-h3,6,False,synthetic:relation:p0,11,0.40542204591375813
root,0.7887075143028386,0.9074513321111372,0.6223469174723608,ff,1.040741725328622,relation,0,tiny-w48-l3-h3,6,False,synthetic:relation:p1,11,0.4528142069295775
parent,0.9004860897005905,0.8759158504743518,0.7543630434600435,ff,1.038475676796955,relation,0,tiny-w48-l3-h3,6,True,natural:relation:social,11,0.20175576333738815
parent,0.9811877625982094,0.8307336261996737,0.9511466779904526,ff,1.2273284961066875,relation,0,tiny-w48-l3-h3,6,True,natural:relation:spatial,11,0.044292972975131024
root,0.7959486533521597,0.9191861274976182,0.6277454864787944,ff,1.038247875235854,relation,0,tiny-w48-l3-h3,6,True,natural:relation:social,11,0.3747930364912077
root,0.976301444222118,0.8608426082705636,0.9322391793447449,ff,1.238259376815299,relation,0,tiny-w48-l3-h3,6,True,natural:relation:spatial,11,0.05512480255419053
parent,0.9337681274555396,0.8493916821523517,0.8695109868712879,sa,1.2681899695379495,action,0,tiny-w48-l3-h3,6,False,synthetic:action:p0,11,0.15349511295584292
parent,0.98131195373476,0.8038112206615735,0.9614902356854917,sa,2.7555739027638233,action,0,tiny-w48-l3-h3,6,False,synthetic:action:p1,11,0.04440554829980725
root,0.850663807010862,0.9907739066277713,0.7252507462112702,sa,1.128000203903122,action,0,tiny-w48-l3-h3,6,False,synthetic:action:p0,11,0.3297791996917372
root,0.9728170735929124,0.9756781428956528,0.9233967624041879,sa,1.3596807584407185,action,0,tiny-w48-l3-h3,6,False,synthetic:action:p1,11,0.06315036019337754
parent,0.9689523319968644,0.7990195468769813,0.932881982635421,sa,1.540703892341449,action,0,tiny-w48-l3-h3,6,True,natural:action:communication,11,0.07300344939354336
parent,0.8293957347693784,0.862922749294085,0.6873310774194447,sa,1.0344093602523072,action,0,tiny-w48-l3-h3,6,True,natural:action:movement,11,0.37334820791266365
root,0.9782515380808728,0.9351837677961696,0.9530099108807202,sa,2.2453071399472737,action,0,tiny-w48-l3-h3,6,True,natural:action:communication,11,0.05153466421773863
root,0.851826720821688,0.973851723685105,0.7244159979777127,sa,1.0404120063257418,action,0,tiny-w48-l3-h3,6,True,natural:action:movement,11,0.32752082240394337
parent,0.9547882907182984,0.7857991917581427,0.9061787898624071,sa,2.5408439648638037,noun,0,tiny-w48-l3-h3,6,False,synthetic:noun:p0,11,0.1058773348733162
parent,0.9066358831967886,0.8228854438337293,0.8208627337601251,sa,1.046571052750563,noun,0,tiny-w48-l3-h3,6,False,synthetic:noun:p1,11,0.2134092609971169
root,0.9662562233763986,0.9156171236414242,0.9333212575645924,sa,1.6030284904696541,noun,0,tiny-w48-l3-h3,6,False,synthetic:noun:p0,11,0.0795596742753875
root,0.8659844744151757,0.9459406621170107,0.7461764934011876,sa,1.026302458392414,noun,0,tiny-w48-l3-h3,6,False,synthetic:noun:p1,11,0.295751997724901
parent,0.979647745188753,0.7952947722673611,0.9590752679044435,sa,1.3017258688939486,noun,0,tiny-w48-l3-h3,6,True,natural:noun:bird,11,0.0483367475163387
parent,0.9522795651333472,0.8732898474285594,0.9058373988289677,sa,1.0632708224140668,noun,0,tiny-w48-l3-h3,6,True,natural:noun:mammal,11,0.11168292090397691
root,0.9584882409131535,0.9282636070414355,0.9119107244020931,sa,1.0229678113366334,noun,0,tiny-w48-l3-h3,6,True,natural:noun:bird,11,0.09671360806881851
root,0.8628956753215297,1.017921074037325,0.7384318434677943,sa,1.0640068596679968,noun,0,tiny-w48-l3-h3,6,True,natural:noun:mammal,11,0.29796849252895
parent,0.8027188429277098,0.8471189291890621,0.6442100334966082,sa,1.075495757315947,relation,0,tiny-w48-l3-h3,6,False,synthetic:relation:p0,11,0.42668235975441954
parent,0.8975270094206804,0.9193970320127566,0.8035108964245962,sa,1.1262457297616528,relation,0,tiny-w48-l3-h3,6,False,synthetic:relation:p1,11,0.23321578930933295
root,0.6310645543089725,1.0018126388522204,0.43560561651463625,sa,1.016256566733016,relation,0,tiny-w48-l3-h3,6,False,synthetic:relation:p0,11,0.6878066994433265
