abstraction_level,between_parent_dispersion,cross_template_cosine,effective_rank,family,hierarchy_rsa_spearman,layer,location,model_setting,n_items,natural,normalized_separation,permuted_neighbor_recovery,seed,tree_neighbor_recovery,within_parent_dispersion
root,0.428849927915797,0.9502140284683124,2.3768084073113993,action,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,0.23245088177245457,0.0,11,0.75,0.3291633840237164
parent,0.46159460684316495,0.9385442449794213,2.806226964620952,action,-0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,True,-0.11672851934046807,1.0,11,0.0,0.5154758618355131
root,0.38909863458302496,0.9482484900108089,2.8113783339605534,action,-0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,True,-0.11293969367453581,0.75,11,0.0,0.43304331518201195
parent,0.5905576158766079,0.9268011690152355,2.4668553885291553,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,0.28726360336613616,0.25,11,0.75,0.42091190714457904
root,0.5813281123646368,0.9315274362798127,2.5399104882509578,noun,0.20701966780270628,0,post_sa,tiny-w32-l2-h2,4,False,0.25485877432751924,0.5,11,0.5,0.43317154216525505
parent,0.3827438814439673,0.8941463349707336,2.7547354982137833,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,True,0.14573745435022362,0.0,11,0.75,0.32696376249419973
root,0.38074946124008774,0.9307225439331067,2.7188204103766647,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,True,0.20406086121812833,0.0,11,0.75,0.30305339827109706
parent,0.4082042799585795,0.9187356204012215,2.3913114100249153,relation,-0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,-0.2092278753004718,0.75,11,0.0,0.49361199414287205
root,0.3689005930940794,0.9539631932288041,2.369595730987859,relation,-0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,-0.21359198880351804,0.75,11,0.0,0.4476948044438412
parent,0.45834154531839433,0.9089265094943961,2.3157506120210565,relation,-0.6210590034081188,0,post_sa,tiny-w32-l2-h2,4,True,-0.4273126952576167,0.0,11,0.0,0.6541967063969385
root,0.4667519169510943,0.9317492838702554,2.237206804496665,relation,-0.6210590034081188,0,post_sa,tiny-w32-l2-h2,4,True,-0.4698106573523233,0.0,11,0.0,0.6860369418743449
parent,0.47290972830752565,1.0,2.693447656856631,action,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,False,0.22014135948818225,0.0,11,1.0,0.36880273780272005
root,0.47290972830752565,1.0,2.693447656856631,action,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,False,0.22014135948818225,0.0,11,1.0,0.36880273780272005
parent,0.494535874907485,1.0,2.62022847980385,action,-0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,-0.26303262190760374,1.0,11,0.0,0.6246149427117715
root,0.494535874907485,1.0,2.62022847980385,action,-0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,-0.26303262190760374,1.0,11,0.0,0.6246149427117715
parent,0.5990518643655429,1.0,2.383146383631092,noun,0.41403933560541256,0,pre_sa,tiny-w32-l2-h2,4,False,0.24264508439815777,0.25,11,0.75,0.453694874177692
root,0.5990518643655429,1.0,2.383146383631092,noun,0.41403933560541256,0,pre_sa,tiny-w32-l2-h2,4,False,0.24264508439815777,0.25,11,0.75,0.453694874177692
parent,0.47356869534853896,1.0,2.8099665161759244,noun,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,0.18143264617823104,0.0,11,1.0,0.387647873804281
root,0.47356869534853896,1.0,2.8099665161759244,noun,0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,0.18143264617823104,0.0,11,1.0,0.387647873804281
parent,0.4670798792198455,1.0,2.5016096712658853,relation,-0.41403933560541256,0,pre_sa,tiny-w32-l2-h2,4,False,-0.23022787025828356,0.5,11,0.0,0.5746146850531269
root,0.4670798792198455,1.0,2.5016096712658853,relation,-0.41403933560541256,0,pre_sa,tiny-w32-l2-h2,4,False,-0.23022787025828356,0.5,11,0.0,0.5746146850531269
parent,0.44437790667827515,1.0,2.4035874821245042,relation,-0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,-0.3576896157679533,0.0,11,0.0,0.6033272693737948
root,0.44437790667827515,1.0,2.4035874821245042,relation,-0.8280786712108251,0,pre_sa,tiny-w32-l2-h2,4,True,-0.3576896157679533,0.0,11,0.0,0.6033272693737948
parent,0.516221325737243,0.8453793061876955,2.0074763001666347,action,0.8280786712108251,1,post_block,tiny-w32-l2-h2,4,False,0.5036514872008142,0.0,11,1.0,0.25622568730490464
root,0.5017928731763603,0.8502220564279325,2.0923609843611035,action,0.8280786712108251,1,post_block,tiny-w32-l2-h2,4,False,0.4701104654539534,0.0,11,1.0,0.26589479200594496
parent,0.5363791994517412,0.8042095754229699,2.5702694401759607,action,0.0,1,post_block,tiny-w32-l2-h2,4,True,-0.07000523831959399,0.25,11,0.25,0.5739285531390333
root,0.3532612857290948,0.8360408963872219,2.3912527867609996,action,-0.6210590034081188,1,post_block,tiny-w32-l2-h2,4,True,-0.30341261651850904,0.25,11,0.0,0.4604452167468521
