component,family,layer,mean_update_cosine,model_setting,natural,parent_id,seed,shared_update_explained_variance,shared_update_rank
sa,relation,0,0.839513339528038,tiny-w32-l2-h2,False,synthetic:relation:p0,11,0.68723708876146,2.3711330805697823
sa,relation,0,0.8946522368621959,tiny-w32-l2-h2,False,synthetic:relation:p1,11,0.7849092608052434,2.5586615771111623
sa,relation,0,0.7973131471685208,tiny-w32-l2-h2,True,natural:relation:social,11,0.6192029708820133,2.3735380091324347
sa,relation,0,0.7813255002768233,tiny-w32-l2-h2,True,natural:relation:spatial,11,0.586419011859268,2.2552268374509303
ff,action,1,0.8612230185815299,tiny-w32-l2-h2,False,synthetic:action:p0,11,0.7272110904020883,2.347317638169091
ff,action,1,0.9754931906900537,tiny-w32-l2-h2,False,synthetic:action:p1,11,0.9428109040115283,2.930068328046169
ff,action,1,0.8506679938589942,tiny-w32-l2-h2,True,natural:action:communication,11,0.7066503263806,1.3027294706671295
ff,action,1,0.8487047603362933,tiny-w32-l2-h2,True,natural:action:movement,11,0.6928644660797421,2.4355036598107214
ff,noun,1,0.9392706194864889,tiny-w32-l2-h2,False,synthetic:noun:p0,11,0.8673124307330409,1.5842724307983251
ff,noun,1,0.9388091573027287,tiny-w32-l2-h2,False,synthetic:noun:p1,11,0.8758867801656014,2.0496031217364132
ff,noun,1,0.8321183745820159,tiny-w32-l2-h2,True,natural:noun:bird,11,0.663982811499757,1.6888327285034688
ff,noun,1,0.9114815128412269,tiny-w32-l2-h2,True,natural:noun:mammal,11,0.8165798934412889,2.2882787346842997
ff,relation,1,0.8791536961236526,tiny-w32-l2-h2,False,synthetic:relation:p0,11,0.7501471439430831,1.4528633471043704
ff,relation,1,0.9343053113658657,tiny-w32-l2-h2,False,synthetic:relation:p1,11,0.8600527889976968,1.3903288405876375
ff,relation,1,0.8759317953547319,tiny-w32-l2-h2,True,natural:relation:social,11,0.756306760823581,1.8135113395030924
ff,relation,1,0.8273982673451985,tiny-w32-l2-h2,True,natural:relation:spatial,11,0.6817884131319492,1.7065978001475646
sa,action,1,0.774641918850711,tiny-w32-l2-h2,False,synthetic:action:p0,11,0.5789809629763651,2.7847225008623346
sa,action,1,0.8805001581438175,tiny-w32-l2-h2,False,synthetic:action:p1,11,0.7514694039445352,2.4978945953494125
sa,action,1,0.8485396581635866,tiny-w32-l2-h2,True,natural:action:communication,11,0.6975867238304163,2.3829170418165937
sa,action,1,0.7437289098219758,tiny-w32-l2-h2,True,natural:action:movement,11,0.5537606533542603,3.06845308781362
sa,noun,1,0.7985211712153939,tiny-w32-l2-h2,False,synthetic:noun:p0,11,0.615922668367701,2.721626574686272
sa,noun,1,0.8672136185356337,tiny-w32-l2-h2,False,synthetic:noun:p1,11,0.7389292487606366,2.458729613514416
sa,noun,1,0.8377876018997444,tiny-w32-l2-h2,True,natural:noun:bird,11,0.697194234099516,2.5490338821048484
sa,noun,1,0.7374309684731184,tiny-w32-l2-h2,True,natural:noun:mammal,11,0.5355189118711015,3.037847802841856
sa,relation,1,0.8683054507849367,tiny-w32-l2-h2,False,synthetic:relation:p0,11,0.7472921207150964,2.2876301716151506
sa,relation,1,0.8983231021645998,tiny-w32-l2-h2,False,synthetic:relation:p1,11,0.7983574694734652,3.0011293043031633
sa,relation,1,0.8950247282879621,tiny-w32-l2-h2,True,natural:relation:social,11,0.7923994964224473,2.8079419578513023
sa,relation,1,0.7281534137782556,tiny-w32-l2-h2,True,natural:relation:spatial,11,0.5532934828012532,2.616826536222376
ff,action,0,0.7242860944656049,tiny-w32-l2-h2,False,synthetic:action:p0,23,0.5379508263710828,1.6539732173227297
ff,action,0,0.7543345178475301,tiny-w32-l2-h2,False,synthetic:action:p1,23,0.5653052795837276,1.998611661890623
ff,action,0,0.8916839009435439,tiny-w32-l2-h2,True,natural:action:communication,23,0.7896997792787215,1.6213783590420634
ff,action,0,0.69641724752284,tiny-w32-l2-h2,True,natural:action:movement,23,0.4729057353749311,1.6667398107183258
ff,noun,0,0.8872627306792308,tiny-w32-l2-h2,False,synthetic:noun:p0,23,0.7744385073475756,1.9701672178564549
