abstraction_level,between_category_variance,category_id,family,fisher_separation_ratio,layer,location,mean_js_to_category_centroid,mean_within_example_entropy_bits,model_setting,n_entities,n_realizations,natural,nuisance_context_variance,residual_covariance_effective_rank,seed,semantic_member_variance,within_category_variance
parent,44.041327481512084,46,relation,1.81104090306915,0,post_sa,0.3112786415594917,0.03687927198894215,tiny-w32-l2-h2,2,6,False,0.5509775584022614,1.0433864907290125,23,23.767262524897763,24.318240083300026
parent,44.041327481512084,49,relation,2.23272061856702,0,post_sa,0.31051362355324263,0.08283953813867215,tiny-w32-l2-h2,2,6,False,0.43245941899362733,1.0435451622865066,23,19.292949624695055,19.725409043688682
root,0.0,45,relation,0.0,0,post_sa,0.548156629522166,0.04166346259469377,tiny-w32-l2-h2,4,12,False,1.0776614572946412,2.9505686456068148,23,32.257848908851074,33.33551036614571
parent,72.38116206012774,25,relation,2.307813947148624,0,post_sa,0.311276732727012,0.0034421740988536307,tiny-w32-l2-h2,2,6,True,0.9271212012888386,1.059253830530137,23,30.436395840263373,31.36351704155221
parent,72.38116206012774,28,relation,6.121639365934715,0,post_sa,0.3058122920675229,0.948158414405274,tiny-w32-l2-h2,2,6,True,0.2163765741185113,1.0361626242789237,23,11.607443440975736,11.823820015094247
root,0.0,24,relation,0.0,0,post_sa,0.547078571718859,0.2694683124233588,tiny-w32-l2-h2,4,12,True,0.7639326600685398,2.714413004433705,23,38.39386241837005,39.15779507843859
parent,16.62978148100357,39,action,1.1307531081458755,0,pre_sa,0.31020914658941146,0.7740668340226464,tiny-w32-l2-h2,2,6,False,0.0,1.0000000000000004,23,14.706819164328316,14.706819164328316
parent,16.62978148100357,42,action,1.2413113566282588,0,pre_sa,0.3107694248385961,0.3433229535136302,tiny-w32-l2-h2,2,6,False,0.0,1.0,23,13.396946215149924,13.396946215149924
root,0.0,38,action,0.0,0,pre_sa,0.5431353451586992,0.5586948937681383,tiny-w32-l2-h2,4,12,False,0.0,2.6480842763561796,23,18.20932805999001,18.20932805999001
parent,41.80780021776965,18,action,3.2774558797289313,0,pre_sa,0.3112477432811163,0.026991954450567946,tiny-w32-l2-h2,2,6,True,0.0,1.0,23,12.75617483559457,12.75617483559457
parent,41.80780021776965,21,action,3.424451471743069,0,pre_sa,0.3094915142622882,0.6598722237370495,tiny-w32-l2-h2,2,6,True,0.0,1.0000000000000002,23,12.208612258853007,12.208612258853007
root,0.0,17,action,0.0,0,pre_sa,0.5474764201526864,0.3434320890938087,tiny-w32-l2-h2,4,12,True,0.0,2.71684853600347,23,22.9343436016662,22.9343436016662
parent,24.45362784525897,32,noun,2.4489976059368748,0,pre_sa,0.2929751037194059,0.3761144542380131,tiny-w32-l2-h2,2,6,False,0.0,1.0000000000000004,23,9.98515792174657,9.98515792174657
parent,24.45362784525897,35,noun,1.705592962830528,0,pre_sa,0.31095576599220504,0.01766172855765336,tiny-w32-l2-h2,2,6,False,0.0,1.0000000000000004,23,14.337317506679199,14.337317506679199
