abstraction_level,between_parent_dispersion_ci_high,between_parent_dispersion_ci_low,cross_template_cosine_ci_high,cross_template_cosine_ci_low,effective_rank_ci_high,effective_rank_ci_low,family,hierarchy_rsa_spearman_ci_high,hierarchy_rsa_spearman_ci_low,layer,location,mean_between_parent_dispersion,mean_cross_template_cosine,mean_effective_rank,mean_hierarchy_rsa_spearman,mean_normalized_separation,mean_permuted_neighbor_recovery,mean_tree_neighbor_recovery,mean_within_parent_dispersion,n_runs,natural,normalized_separation_ci_high,normalized_separation_ci_low,permuted_neighbor_recovery_ci_high,permuted_neighbor_recovery_ci_low,tree_neighbor_recovery_ci_high,tree_neighbor_recovery_ci_low,within_parent_dispersion_ci_high,within_parent_dispersion_ci_low
root,0.6472201348603556,0.42977993817724747,0.9924811825293852,0.9611520553713647,2.7527525137360405,2.4589352549490755,relation,0.3105295017040594,-0.41403933560541256,0,post_sa,0.541343824641793,0.9784040036521707,2.615837645161291,-0.05175491695067656,-0.00284956834459342,0.5625,0.3125,0.5284099943795689,4,False,0.1750387164814834,-0.18073785317067023,0.9375,0.25,0.625,0.0,0.6547877070343067,0.45022919471460354
parent,0.5469473338190156,0.45154924389253326,0.992610190657003,0.9295378060814259,2.7965073249915733,2.3420650566340595,relation,0.6210590034081188,-0.4657942525560891,0,post_sa,0.48825588521149466,0.9699197840211602,2.537812205362281,6.938893903907228e-18,0.032750810409256356,0.0,0.4375,0.46057721318266087,4,True,0.3586862070336549,-0.26561318518602683,0.0,0.0,0.875,0.125,0.5845030339769236,0.3477045650787232
root,0.5694668755880561,0.44990948754482196,0.9905795950783339,0.9461328155687584,2.80852747066727,2.1429846497864484,relation,0.362284418654736,-0.6210590034081188,0,post_sa,0.49925352395220207,0.9753431090218683,2.4914597526785616,-0.15526475085202968,0.03067497523094645,0.125,0.3125,0.4694851177685067,4,True,0.3669135824703353,-0.2959330743221622,0.375,0.0,0.6875,0.0,0.6126429649733063,0.3575747066133758
parent,0.4898973075953617,0.396287158991796,1.0,1.0,2.888292884545807,2.6583903535994278,action,0.5693040864574422,-0.5175491695067657,0,pre_sa,0.4413385278235999,1.0,2.740867414457755,0.05175491695067658,-0.02426199983911623,0.25,0.375,0.4467482023414795,4,False,0.14378317740453478,-0.22905012729074847,0.4375,0.0625,0.8125,0.0625,0.521728057892901,0.3878670995110575
root,0.4898973075953617,0.396287158991796,1.0,1.0,2.888292884545807,2.6583903535994278,action,0.5693040864574422,-0.5175491695067657,0,pre_sa,0.4413385278235999,1.0,2.740867414457755,0.05175491695067658,-0.02426199983911623,0.25,0.375,0.4467482023414795,4,False,0.14378317740453478,-0.22905012729074847,0.4375,0.0625,0.8125,0.0625,0.521728057892901,0.3878670995110575
parent,0.523337974160134,0.4481424087928219,1.0,1.0,2.8351600208086234,2.6541127094987322,action,0.5175491695067657,-0.6210590034081188,0,pre_sa,0.4809398416010364,1.0,2.749911579571357,-0.10350983390135314,-0.013548362962599234,0.3125,0.3125,0.4848601899329223,4,True,0.18455645005455731,-0.19620884654399495,0.75,0.0,0.75,0.0,0.5732158373567331,0.4048780353859426
root,0.523337974160134,0.4481424087928219,1.0,1.0,2.8351600208086234,2.6541127094987322,action,0.5175491695067657,-0.6210590034081188,0,pre_sa,0.4809398416010364,1.0,2.749911579571357,-0.10350983390135314,-0.013548362962599234,0.3125,0.3125,0.4848601899329223,4,True,0.18455645005455731,-0.19620884654399495,0.75,0.0,0.75,0.0,0.5732158373567331,0.4048780353859426
parent,0.6070277643898392,0.40004212768316016,1.0,1.0,2.6542179415634064,2.428385151687986,noun,0.3105295017040594,0.0,0,pre_sa,0.5022056293657836,1.0,2.5568333716669773,0.10350983390135314,0.05751499854198075,0.25,0.375,0.465870363152464,4,False,0.18319697472578503,-0.023723151524434972,0.375,0.0625,0.625,0.0625,0.5571052160480015,0.38209598992554317
root,0.6070277643898392,0.40004212768316016,1.0,1.0,2.6542179415634064,2.428385151687986,noun,0.3105295017040594,0.0,0,pre_sa,0.5022056293657836,1.0,2.5568333716669773,0.10350983390135314,0.05751499854198075,0.25,0.375,0.465870363152464,4,False,0.18319697472578503,-0.023723151524434972,0.375,0.0625,0.625,0.0625,0.5571052160480015,0.38209598992554317
parent,0.5321651199106683,0.46940375421723635,1.0,1.0,2.803049195245376,2.2925773461716052,noun,0.6210590034081188,-0.1552647508520297,0,pre_sa,0.49605996355627124,1.0,2.614041865001044,0.1552647508520297,0.07427218750169509,0.375,0.4375,0.4601364505990606,4,True,0.14092004730596058,0.006930756025159451,0.8125,0.0625,0.8125,0.0625,0.520661164242653,0.4066853885825808
root,0.5321651199106683,0.46940375421723635,1.0,1.0,2.803049195245376,2.2925773461716052,noun,0.6210590034081188,-0.1552647508520297,0,pre_sa,0.49605996355627124,1.0,2.614041865001044,0.1552647508520297,0.07427218750169509,0.375,0.4375,0.4601364505990606,4,True,0.14092004730596058,0.006930756025159451,0.8125,0.0625,0.8125,0.0625,0.520661164242653,0.4066853885825808
parent,0.5656156781298518,0.47790607999850576,1.0,1.0,2.9078323679794544,2.5976288927350852,relation,0.0,-0.3105295017040594,0,pre_sa,0.5163281582903416,1.0,2.7875713319368947,-0.1552647508520297,-0.05086625218779033,0.5625,0.1875,0.5390086954103082,4,False,0.03235189163285212,-0.17248383189887184,0.75,0.3125,0.4375,0.0,0.566796952905136,0.5112204379154803
root,0.5656156781298518,0.47790607999850576,1.0,1.0,2.9078323679794544,2.5976288927350852,relation,0.0,-0.3105295017040594,0,pre_sa,0.5163281582903416,1.0,2.7875713319368947,-0.1552647508520297,-0.05086625218779033,0.5625,0.1875,0.5390086954103082,4,False,0.03235189163285212,-0.17248383189887184,0.75,0.3125,0.4375,0.0,0.566796952905136,0.5112204379154803
parent,0.5338737136196375,0.4492117437022759,1.0,1.0,2.8863619920906443,2.499915141204524,relation,0.4657942525560891,-0.6210590034081188,0,pre_sa,0.488855309847334,1.0,2.7100091419968586,-0.15526475085202973,-0.03021415241410422,0.125,0.375,0.49572122138034125,4,True,0.18033388448128274,-0.2437216378850765,0.375,0.0,0.6875,0.125,0.5692243009252733,0.4371566415699824
root,0.5338737136196375,0.4492117437022759,1.0,1.0,2.8863619920906443,2.499915141204524,relation,0.4657942525560891,-0.6210590034081188,0,pre_sa,0.488855309847334,1.0,2.7100091419968586,-0.15526475085202973,-0.03021415241410422,0.125,0.375,0.49572122138034125,4,True,0.18033388448128274,-0.2437216378850765,0.375,0.0,0.6875,0.125,0.5692243009252733,0.4371566415699824
parent,0.44584049380080687,0.17005257563202614,0.9899964320595237,0.8813010495934915,2.648995679129833,2.097234088054437,action,0.5693040864574422,-0.3105295017040594,1,post_block,0.3103702646588873,0.9395354071499559,2.3719652616255518,0.05175491695067657,0.025553510340399703,0.3125,0.375,0.2792726095930078,4,False,0.34133345944630333,-0.23668823593715854,0.5,0.125,0.75,0.0,0.40468318916041757,0.1674220676416234
root,0.4598600476625039,0.22525963600268661,0.9857832936898088,0.8803846879576521,2.7272415774442442,2.172954199258478,action,0.6210590034081188,-0.41403933560541256,1,post_block,0.34255984183259525,0.9330839908237305,2.450097888351361,0.10350983390135314,0.0650192073843062,0.3125,0.4375,0.28654521773739294,4,False,0.34415591161975806,-0.21411749685114567,0.5,0.125,0.875,0.0,0.33467136643476636,0.24106454624485363
parent,0.4748807801648638,0.18651208665742347,0.9921838411355066,0.8483107235255761,2.531443997434321,2.1949849137612616,action,0.5175491695067657,-0.3105295017040594,1,post_block,0.3262195148191741,0.9191422881588213,2.3848716713713185,0.1552647508520297,0.13722669019926137,0.375,0.4375,0.2796962023280947,4,True,0.4297641668302089,-0.19796356048773228,0.6875,0.125,0.75,0.0625,0.47755497676281844,0.157532763536614
