abstraction_level,component,family,layer,mean_diagnostic_progress,mean_replacement_drop,mean_zero_ablation_drop,n,natural
parent,sa,relation,1,3.2368378986914954,0.3889154134861504,0.30087964380315196,48,False
parent,sa,relation,2,0.5588371908913056,0.10677763866260648,0.06168082682415843,24,False
root,ff,relation,0,5.470427215099335,-0.009347116574645042,2.23304990430673,48,False
root,ff,relation,1,2.8123210966587067,-0.24679551630591354,1.0157533231346558,48,False
root,ff,relation,2,1.5576176435376208,-0.8625049979115526,1.5576176435376208,24,False
root,sa,relation,0,1.84995836019516,0.06753065064549446,0.38998900974790257,48,False
root,sa,relation,1,5.204062648117542,0.3686759142826001,3.0227319387098155,48,False
root,sa,relation,2,0.6925934736306468,-0.4571476800677677,0.12690692860633135,24,False
parent,ff,relation,0,6.550879547993342,2.43681368107597,2.137426627178987,48,True
parent,ff,relation,1,2.1484160808225474,2.295142433295647,1.4848090919355552,48,True
parent,ff,relation,2,0.32168254256248474,0.5757429078221321,0.32168254256248474,24,True
parent,sa,relation,0,4.074108421802521,3.119903718431791,-0.5859229813019434,48,True
parent,sa,relation,1,3.578038493792216,2.4817444955309234,1.4660423298676808,48,True
parent,sa,relation,2,0.7070984890063604,0.6746034026145935,0.5608824143807093,24,True
root,ff,relation,0,6.1950364510218305,0.2531126340230306,3.9768364975849786,48,True
root,ff,relation,1,1.6439215143521626,0.4044023056825002,0.587088480591774,48,True
root,ff,relation,2,1.1764076948165894,-0.21141985058784485,1.1764076948165894,24,True
root,sa,relation,0,-0.6153150995572408,-0.11100879311561584,-1.244430273771286,48,True
root,sa,relation,1,2.9845223079125085,0.21797141432762146,1.0095237841208775,48,True
root,sa,relation,2,-0.05150254567464193,-0.28806721170743305,-0.27014750242233276,24,True
