abstraction_level,between_parent_dispersion,cross_template_cosine,effective_rank,family,hierarchy_rsa_spearman,layer,location,model_setting,n_items,natural,normalized_separation,permuted_neighbor_recovery,seed,step,tree_neighbor_recovery,within_parent_dispersion
parent,0.5607182600740915,0.9947749552540395,2.364876588795701,noun,0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,False,0.23641653107538088,0.0,11,0,0.75,0.42815519411675157
root,0.5875197374818069,0.9950631421953937,2.366230453487119,noun,0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,False,0.23988723466537418,0.0,11,0,0.75,0.4465812523459696
parent,0.43259194185902683,0.9912958416432066,2.6621878758010564,noun,0.20701966780270628,1,post_sa,tiny-w32-l2-h2,4,True,0.1500357205967729,0.5,11,0,0.5,0.36768769813785046
root,0.45152505078451416,0.9914535379573467,2.648516075065766,noun,0.20701966780270628,1,post_sa,tiny-w32-l2-h2,4,True,0.14566152748337038,0.5,11,0,0.5,0.38575522219023545
parent,0.4069170937070846,0.9944694052998487,2.4266278543918465,relation,-0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,False,-0.28849149705521226,0.5,11,0,0.0,0.5243092152479976
root,0.4174452178493893,0.9945196624669653,2.423118339837246,relation,-0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,False,-0.2935879749043659,0.5,11,0,0.0,0.5400021139913034
parent,0.43403132267554606,0.9936554746553905,2.345320757471446,relation,-0.6210590034081188,1,post_sa,tiny-w32-l2-h2,4,True,-0.29479703450183453,1.0,11,0,0.0,0.5619824694812059
root,0.4593630119176193,0.9929387424837443,2.3452382609971796,relation,-0.6210590034081188,1,post_sa,tiny-w32-l2-h2,4,True,-0.2844994923764485,1.0,11,0,0.0,0.5900515556246985
parent,0.4101118226953543,0.9964403203871083,2.654281782159753,action,0.6210590034081188,1,pre_sa,tiny-w32-l2-h2,4,False,0.18075598490385406,0.25,11,0,0.75,0.33598165626334076
root,0.4212131450918397,0.9959916516581382,2.7021012047915467,action,0.8280786712108251,1,pre_sa,tiny-w32-l2-h2,4,False,0.18161778566845274,0.0,11,0,1.0,0.3447133463858151
parent,0.5046291190258441,0.9972398090776187,2.6665119893352447,action,-0.41403933560541256,1,pre_sa,tiny-w32-l2-h2,4,True,-0.2656316275032135,0.0,11,0,0.0,0.6386745731981919
root,0.5334579167372345,0.9970937164953276,2.677053913342877,action,-0.41403933560541256,1,pre_sa,tiny-w32-l2-h2,4,True,-0.24428695029201952,0.0,11,0,0.0,0.6637747243261076
