component,correct_signed_progress,correct_target,example_id,habitual_signed_progress,habitual_target,layer,model_setting,repair_geometry_candidate,run_id,seed,update_cosine_previous
ff,0.24549555778503418,13,override-11,-2.002194881439209,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.27277965769520207
sa,7.853667259216309,13,override-12,-9.924970626831055,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,6.985605239868164,13,override-12,12.832159042358398,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.21673381091788738
sa,0.8961362838745117,13,override-12,-2.9895315170288086,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.009830591871285703
ff,0.07431723177433014,13,override-12,-2.2156190872192383,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.1897203674800341
sa,8.744178771972656,13,override-13,-9.471145629882812,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,6.414156913757324,13,override-13,12.094908714294434,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.14649202101379113
sa,0.6094995141029358,13,override-13,-2.7284979820251465,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.04908148409848793
ff,0.03834797441959381,13,override-13,-2.2711384296417236,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.6360091205749706
sa,7.9192328453063965,13,override-14,-10.313325881958008,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,7.014326572418213,13,override-14,12.942164421081543,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.15819369498883823
sa,0.8081308007240295,13,override-14,-2.937112331390381,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.014365255049116885
ff,0.06862523406744003,13,override-14,-2.4017176628112793,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.4097997249417368
sa,8.926307678222656,13,override-15,-8.948284149169922,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,6.160560607910156,13,override-15,11.774674415588379,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.2261785577973632
sa,0.6903703212738037,13,override-15,-2.9929373264312744,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.0021582189960907996
