angular_concentration,between_cosine_distance,common_energy_fraction,component,effective_rank,layer,model_setting,n,relation_id,seed,within_cosine_distance
0.97515582593943,0.8925962555007321,0.9235525739529256,ff,1.781415500596933,0,tiny-w32-l2-h2,8,map-17-18,23,0.05523451953019766
0.9990699049822374,0.7918356477490213,0.9949445190536903,ff,1.7055739718141605,0,tiny-w32-l2-h2,8,map-19-20,23,0.002122879853260639
0.9984086625502928,0.8271189431124347,0.9934823411872588,ff,1.2030724215195883,0,tiny-w32-l2-h2,24,override-1-2,23,0.003309151423501659
0.9524287107786057,1.0767960300005202,0.898154074226815,sa,2.5359962200356483,0,tiny-w32-l2-h2,24,1-2-to-3,23,0.09634395457260814
0.9006648608877429,0.8772855967104563,0.7867399257038281,sa,3.3450579106255063,0,tiny-w32-l2-h2,24,4-5-to-many,23,0.19582624014336505
0.9685202021985134,0.8916020560217688,0.9281429865423971,sa,3.422673911859227,0,tiny-w32-l2-h2,8,map-15-16,23,0.0706729177509887
0.9579537662648477,0.9503284934169605,0.9018312111161315,sa,1.9749893802768843,0,tiny-w32-l2-h2,8,map-17-18,23,0.09333295743542736
0.9959988122767552,0.9966674872965897,0.9908090757888053,sa,3.1810085785657076,0,tiny-w32-l2-h2,8,map-19-20,23,0.00912525401525864
0.9980783617250201,0.9363497023197306,0.9952386124206344,sa,1.5077956332490499,0,tiny-w32-l2-h2,24,override-1-2,23,0.004004445240410917
0.9551668663080782,0.8603850540218803,0.8422004562523736,ff,1.070624683126105,1,tiny-w32-l2-h2,24,1-2-to-3,23,0.08677514723554479
0.9605049634405302,0.8886766565199796,0.8964704687061078,ff,1.0917217281946188,1,tiny-w32-l2-h2,24,4-5-to-many,23,0.07910660210739855
0.9999871970057241,0.8077299745346852,0.9999612395281438,ff,2.9691494451172047,1,tiny-w32-l2-h2,8,map-15-16,23,2.926372959579807e-05
0.9874871616354639,0.7913392483380866,0.8805388343432777,ff,1.0098279097859773,1,tiny-w32-l2-h2,8,map-17-18,23,0.025689463082568118
0.9997669613039866,0.7994009899797166,0.9955069869064784,ff,1.0150816932091884,1,tiny-w32-l2-h2,8,map-19-20,23,0.0005306086143692339
0.9973698686418149,0.7899235987796731,0.9844820299465215,ff,1.0118943708368158,1,tiny-w32-l2-h2,24,override-1-2,23,0.005422575785188283
0.9990903937066773,1.0830129566952664,0.9966974317451248,sa,1.3396166780725138,1,tiny-w32-l2-h2,24,1-2-to-3,23,0.0018955826881292778
0.998915121550461,1.1448902748539451,0.9952567436314061,sa,1.4238027864687675,1,tiny-w32-l2-h2,24,4-5-to-many,23,0.002259416058696638
0.9997508704919325,0.8409596108935035,0.9987405615926994,sa,1.069395891110639,1,tiny-w32-l2-h2,8,map-15-16,23,0.0005689821049164005
0.975351936404108,0.8838186189223787,0.8768680649766231,sa,1.0421092584246154,1,tiny-w32-l2-h2,8,map-17-18,23,0.05132265262081064
0.9889544219063889,0.8937562261672549,0.959334926995806,sa,1.0966736922822342,1,tiny-w32-l2-h2,8,map-19-20,23,0.02468033741275445
0.995951783667822,1.017347152161569,0.9906284835428366,sa,1.1063553427298247,1,tiny-w32-l2-h2,24,override-1-2,23,0.008419373360060633
0.9981134901614898,0.9295694494201941,0.9939258143417541,ff,1.1862697299020886,0,tiny-w48-l3-h3,24,1-2-to-3,11,0.003925158927777828
0.9972966514982797,1.0448003155865515,0.9941131590847917,ff,1.8102096339976557,0,tiny-w48-l3-h3,24,4-5-to-many,11,0.0056338957393203114
0.9864477101440441,0.8573538927923375,0.9624703539057945,ff,1.0337757390464495,0,tiny-w48-l3-h3,8,map-15-16,11,0.03049824998148123
0.9988938516535213,0.8106312602722855,0.9959332265784898,ff,2.4287692598518635,0,tiny-w48-l3-h3,8,map-17-18,11,0.0025265329947299514
0.9972974097059887,0.8474718889398687,0.9930960032232552,ff,2.4377770999825255,0,tiny-w48-l3-h3,8,map-19-20,11,0.0061667223098042035
0.999998171271622,0.9945165249019108,0.9999914623000903,ff,1.682352113955005,0,tiny-w48-l3-h3,24,override-1-2,11,3.816465790810797e-06
0.9749058360766941,1.0302096982956266,0.9487264952453561,sa,2.1360695275282944,0,tiny-w48-l3-h3,24,1-2-to-3,11,0.0517029797952284
0.989947401223254,1.1796516645821857,0.9781514262837001,sa,2.796594744527776,0,tiny-w48-l3-h3,24,4-5-to-many,11,0.02086116072587674
0.9965570099668493,0.8429760000686379,0.9926704397108711,sa,1.345481010933826,0,tiny-w48-l3-h3,8,map-15-16,11,0.007855529867992705
0.9872038426296491,0.8110694062895977,0.9725462891415437,sa,3.916809926520868,0,tiny-w48-l3-h3,8,map-17-18,11,0.02904730082943977
0.9897465182272063,0.8609849161892903,0.978335619478089,sa,2.1039970469226503,0,tiny-w48-l3-h3,8,map-19-20,11,0.02331023130900688
0.9999931230654712,0.993417409748376,0.9999787013475616,sa,2.178024231392607,0,tiny-w48-l3-h3,24,override-1-2,11,1.4351773349967607e-05
0.9676526036749973,0.7834041581283014,0.8932528977983341,ff,1.0091512509356206,1,tiny-w48-l3-h3,24,1-2-to-3,11,0.06272031274962858
0.9779751700512364,0.9868493899016584,0.9398299908803027,ff,1.0421264858100276,1,tiny-w48-l3-h3,24,4-5-to-many,11,0.04484786266951866
0.9977246009074288,0.7557182836995815,0.9690741406050593,ff,1.0010638375138519,1,tiny-w48-l3-h3,8,map-15-16,11,0.005059773501532345
