component,max_contribution_layer,mean_causal_logprob_drop,mean_diagnostic_progress,model_setting,run_id,seed,step,stratum
ff,1,0.27509911855061847,-0.015349229176839193,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,0,familiar_low_entropy
sa,0,0.05398066838582357,0.027300198872884113,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,0,familiar_low_entropy
ff,0,-0.9779602686564127,-0.8220035235087076,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,0,override_repair
sa,1,0.6991086006164551,0.4957289695739746,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,0,override_repair
ff,1,-0.10759841402371724,3.5348606606324515,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,40,context_introduced
sa,1,0.1610314349333445,2.328584134578705,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,40,context_introduced
ff,0,0.09467510382334392,3.5623875061670938,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,40,familiar_high_entropy
sa,1,-0.11183547973632812,3.1171650687853494,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,40,familiar_high_entropy
ff,0,0.2545465479294459,7.378709922234218,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,40,familiar_low_entropy
sa,1,-0.18349381784598032,1.4424707144498825,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,40,familiar_low_entropy
ff,2,-0.005437791347503662,3.7746729850769043,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,40,override_repair
sa,1,0.3659030000368754,1.3860873579978943,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,40,override_repair
ff,2,-0.046994347125291824,2.590495843285074,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,100,context_introduced
sa,2,-0.03433145365367333,2.8436026398364143,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,100,context_introduced
ff,0,0.6350362598896027,4.043222077190876,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,100,familiar_high_entropy
sa,0,0.5641194929679235,3.8845833875238895,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,100,familiar_high_entropy
ff,0,0.05602219229695038,6.8864609672746155,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,100,familiar_low_entropy
sa,0,0.3174391811626265,2.417982702839557,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,100,familiar_low_entropy
ff,1,-3.3655447471877174e-05,0.001411760210430657,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,100,override_repair
sa,0,1.445069402372307,6.185863077654839,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,100,override_repair
ff,0,0.7199599140246088,3.3122174913684526,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,160,context_introduced
sa,2,-0.04096200751761595,1.969514325261116,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,160,context_introduced
ff,0,0.6240475326776505,4.6107141285513835,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,160,familiar_high_entropy
sa,0,0.9659058054288229,3.124235517034928,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,160,familiar_high_entropy
ff,0,0.042226062315421586,6.381691618155249,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,160,familiar_low_entropy
sa,0,0.23577000649796295,2.873124327497256,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,160,familiar_low_entropy
ff,0,-0.0001893074283240518,0.00046856700919306604,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,160,override_repair
sa,0,2.0314755251868823,6.191037706086736,tiny-w48-l3-h3,paper05-tiny-w48-l3-h3-seed23,23,160,override_repair
