between_pattern_js_bits,control_type,layer,location,mean_entropy_bits,mean_js_to_pattern_centroid,mean_target_probability,model_setting,n_realizations,noise_level,pattern_snr_js_ratio,prefix_evidence,prefix_length,relation_id,residual_covariance_effective_rank,residual_total_variance,seed,stratum,target_control,target_logit_variance,target_margin_variance,target_probability_variance,training_stage
0.8002952574042178,answer_changing,1,post_block,0.02480597995032721,0.00011603503008275939,0.002503422202911073,tiny-w32-l2-h2,24,4,6897.014262274291,full,8,1-2-to-3,6.83555217016298,0.4630921527197768,11,familiar_low_entropy,observed,0.1975669276852505,0.2693023794894596,1.8939398824938207e-06,random
0.8001258401233307,answer_changing,1,post_sa,0.011411163413249263,4.030669770021667e-05,0.0010150189797665614,tiny-w32-l2-h2,24,4,19850.94006148337,full,8,1-2-to-3,6.736699978825259,0.4623187105144504,11,familiar_low_entropy,observed,0.19138054746300456,0.22788900923984148,2.6313319199807796e-07,random
0.8000482042437402,answer_changing,1,pre_sa,0.004701662536075103,6.1382076011136395e-06,0.0003659892154246336,tiny-w32-l2-h2,24,4,130339.05925543957,full,8,1-2-to-3,5.524404884905065,0.23760043997391633,11,familiar_low_entropy,observed,0.07922922316355903,0.09726298445994487,1.3654741150181877e-08,random
0.7999052083558125,answer_changing,0,post_block,0.0012899122176716097,0.0,1.8198046518591582e-06,tiny-w32-l2-h2,24,0,799905208355.8125,pattern,2,1-2-to-3,0.0,0.0,11,familiar_low_entropy,observed,0.0,0.0,0.0,random
0.799927664397823,answer_changing,0,post_sa,0.0010384011388996856,0.0,1.302198029407009e-06,tiny-w32-l2-h2,24,0,799927664397.823,pattern,2,1-2-to-3,0.0,0.0,11,familiar_low_entropy,observed,0.0,0.0,0.0,random
0.7999871444568735,answer_changing,0,pre_sa,0.00018477206357734306,0.0,1.0616297885235326e-07,tiny-w32-l2-h2,24,0,799987144456.8735,pattern,2,1-2-to-3,0.0,0.0,11,familiar_low_entropy,observed,0.0,0.0,0.0,random
0.799758561855363,answer_changing,1,post_block,0.00682464992466085,0.0,3.6874948250442685e-07,tiny-w32-l2-h2,24,0,799758561855.363,pattern,2,1-2-to-3,0.0,0.0,11,familiar_low_entropy,observed,0.0,0.0,0.0,random
0.7999261445974113,answer_changing,1,post_sa,0.004597121029338839,0.0,1.4138477126834914e-06,tiny-w32-l2-h2,24,0,799926144597.4113,pattern,2,1-2-to-3,0.0,0.0,11,familiar_low_entropy,observed,0.0,0.0,0.0,random
0.7999052083558125,answer_changing,1,pre_sa,0.0012899122176716097,0.0,1.8198046518591582e-06,tiny-w32-l2-h2,24,0,799905208355.8125,pattern,2,1-2-to-3,0.0,0.0,11,familiar_low_entropy,observed,0.0,0.0,0.0,random
0.7999998149724286,answer_changing,0,post_block,0.0001289386672147304,1.1219155728836996e-07,1.9360658483809818e-08,tiny-w32-l2-h2,24,2,7130659.688733623,pattern,2,1-2-to-3,2.2857149295739267,0.33976420434129884,11,familiar_low_entropy,observed,0.06718440817578078,0.08145524477159612,2.7175231388421652e-17,random
0.7999999723459137,answer_changing,0,post_sa,0.00010494375622505244,9.38436217830585e-08,2.682989859910852e-08,tiny-w32-l2-h2,24,2,8524819.877426522,pattern,2,1-2-to-3,2.3424182884405544,0.3339433769527211,11,familiar_low_entropy,observed,0.05406829923780757,0.09837794845436187,6.142483731602169e-17,random
0.7999999338619124,answer_changing,0,pre_sa,0.00012986136442111145,0.0,2.0960358781962896e-08,tiny-w32-l2-h2,24,2,799999933861.9124,pattern,2,1-2-to-3,0.0,0.0,11,familiar_low_entropy,observed,0.0,0.0,0.0,random
0.7999993643472421,answer_changing,1,post_block,0.0007196485553652861,1.0990038457197688e-06,2.8832035499822457e-08,tiny-w32-l2-h2,24,2,727931.3602613462,pattern,2,1-2-to-3,2.226994491980865,0.7104250413871909,11,familiar_low_entropy,observed,0.10687304299980054,0.42538507507677,2.0364181885534321e-16,random
0.7999994983237569,answer_changing,1,post_sa,0.00047627317621900324,6.841483510474688e-07,2.987111136221188e-08,tiny-w32-l2-h2,24,2,1169336.2954086107,pattern,2,1-2-to-3,2.243550909606374,0.7047540137007966,11,familiar_low_entropy,observed,0.07236945449909708,0.33918573657356843,1.9365688411706464e-16,random
0.7999998149724286,answer_changing,1,pre_sa,0.0001289386672147304,1.1219155728836996e-07,1.9360658483809818e-08,tiny-w32-l2-h2,24,2,7130659.688733623,pattern,2,1-2-to-3,2.2857149295739267,0.33976420434129884,11,familiar_low_entropy,observed,0.06718440817578078,0.08145524477159612,2.7175231388421652e-17,random
0.7984821713093748,answer_changing,0,post_block,0.014665221617597791,9.357162897468496e-06,2.4124004056602644e-06,tiny-w32-l2-h2,24,4,85333.78974575698,pattern,2,1-2-to-3,2.8630910643380645,0.3422237228598133,11,familiar_low_entropy,observed,0.5136648856633669,0.34522924307882774,2.9961800294336653e-12,random
