causal_ci_high,causal_ci_low,component,layer,mean_causal_logprob_drop,mean_diagnostic_signed_progress,mean_head0_ablation_drop,mean_matched_replacement_drop,mean_mean_ablation_drop,mean_update_ratio,model_setting,n_rows,stratum
1.179591077184886,0.23514054319093705,sa,2,0.6364338592393324,1.33973281023403,0.09182119749796887,0.09274439216824248,0.056903704292684175,0.3236771688024594,tiny-w48-l3-h3,48,context_introduced
1.6576775217428803,0.9463860558966797,ff,0,1.3119692939023178,10.511458401878675,nan,1.7237157107641299,1.6944589111953974,1.1979462161770849,tiny-w48-l3-h3,48,familiar_high_entropy
0.17591227398564416,-0.03277699785927931,ff,1,0.07761078079541524,-0.19744477925511697,nan,0.14978021259109178,0.04170309193432331,0.16321308963245187,tiny-w48-l3-h3,48,familiar_high_entropy
0.3662573259013394,0.030106493504717988,ff,2,0.2023973148316145,0.2023973148316145,nan,-0.0018679772814114888,0.023783677568038303,0.3592367276577879,tiny-w48-l3-h3,48,familiar_high_entropy
2.372661214414984,1.7883366586330038,sa,0,2.0659353670974574,11.426149129867554,0.4318944836656253,2.7021785049388805,0.12214978908499081,1.1819707704103821,tiny-w48-l3-h3,48,familiar_high_entropy
0.5597913595226903,0.0397876252885908,sa,1,0.3029115175207456,-0.4058367855226,0.03893498579661051,-0.06199393731852373,0.12402655929327011,0.2380664800399468,tiny-w48-l3-h3,48,familiar_high_entropy
1.3212689745239914,0.6836599843886991,sa,2,0.9947058421870073,1.2087200501312811,0.18964370464285216,0.16476375857988992,0.04737612356742223,0.6303256291866824,tiny-w48-l3-h3,48,familiar_high_entropy
0.7648116344634521,0.43788113328870776,ff,0,0.6103714543181317,19.43741073211034,nan,0.23451417457908974,1.964724251748218,1.6568169165937203,tiny-w48-l3-h3,48,familiar_low_entropy
0.0009054260215374178,-0.0011037447867063102,ff,1,-0.00017300925804875078,0.04842323826791528,nan,0.006389580159009256,-0.0007935811329389253,0.22742020313821473,tiny-w48-l3-h3,48,familiar_low_entropy
-0.0005535268389659604,-0.001568493871963028,ff,2,-0.0010210114201072429,-0.0010210114201072429,nan,0.0011201583073633021,-0.00029013978848979605,0.2618611704458962,tiny-w48-l3-h3,48,familiar_low_entropy
0.5085481877283503,0.3613780846586451,sa,0,0.4279610387360056,9.120600899060568,0.005686354579211184,0.07195870152080867,0.08433477773329894,0.8057938115167804,tiny-w48-l3-h3,48,familiar_low_entropy
-2.9470496887521875e-05,-0.0009888150632491486,sa,1,-0.0004789025560209363,0.11521758326057456,-0.0006761448307391523,0.026036655751738635,-0.0007731483701718389,0.26858916159147844,tiny-w48-l3-h3,48,familiar_low_entropy
-0.00043499844675049383,-0.0015578451314752328,sa,2,-0.0009685184952559212,0.0011359681034264213,-0.0008048142691450266,0.001652411231740795,0.001393594045377237,0.33852310416535736,tiny-w48-l3-h3,48,familiar_low_entropy
0.00035331170686276887,6.466855174949162e-05,ff,0,0.0002009080111141278,0.048011719382581454,nan,0.007500616901215285,0.440443673171103,0.6531176031534578,tiny-w48-l3-h3,48,override_repair
-8.463760107156884e-05,-0.0001598166502392417,ff,1,-0.00012055683419065488,-2.820197213774615e-05,nan,5.5670252853060966e-05,0.001530710428268467,0.1389358259026695,tiny-w48-l3-h3,48,override_repair
-5.374668101012504e-05,-0.00010147779957681752,ff,2,-7.6540184939707e-05,-7.6540184939707e-05,nan,3.7546168035233286e-05,8.791509813862082e-05,0.0790426253999984,tiny-w48-l3-h3,48,override_repair
5.1948041312396525,4.319737031062444,sa,0,4.7618696341911955,29.613096356391907,0.000641409146131385,8.475885053475698,1.1513663368920486,1.4354880069632365,tiny-w48-l3-h3,48,override_repair
-4.5674624175262586e-05,-8.801890223442873e-05,sa,1,-6.60636128486658e-05,-3.822130224762077e-06,7.696155383489038e-05,7.378208526143126e-05,0.000809387694361637,0.3692995558559873,tiny-w48-l3-h3,48,override_repair
-1.2702673055523913e-05,-4.454256137217763e-05,sa,2,-2.8533063707906574e-05,-2.8241910129622738e-05,-7.652264539241098e-05,8.349303016785825e-05,9.996796261665016e-05,0.47730100724993035,tiny-w48-l3-h3,48,override_repair
