architecture,branching,distractors,evaluation_axis,example_id,heads,layers,model_seed,position_mode,predicate,required_path,sequence_length,target_margin,target_rank,template_id,top1_correct,total_depth,tree_seed,width
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t0:paligned:tree101:i0,4,4,11,aligned,isAncestor,2,23,17.821800231933594,1,0,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t1:paligned:tree101:i1,4,4,11,aligned,isAncestor,2,23,11.126789093017578,1,1,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t2:paligned:tree101:i2,4,4,11,aligned,isAncestor,2,23,17.13462257385254,1,2,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t3:paligned:tree101:i3,4,4,11,aligned,isAncestor,2,23,16.241836547851562,1,3,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t0:paligned:tree211:i0,4,4,11,aligned,isAncestor,2,23,15.246192932128906,1,0,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t1:paligned:tree211:i1,4,4,11,aligned,isAncestor,2,23,13.659897804260254,1,1,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t2:paligned:tree211:i2,4,4,11,aligned,isAncestor,2,23,18.353248596191406,1,2,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t3:paligned:tree211:i3,4,4,11,aligned,isAncestor,2,23,13.142602920532227,1,3,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t0:paligned:tree307:i0,4,4,11,aligned,isAncestor,2,23,14.458572387695312,1,0,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t1:paligned:tree307:i1,4,4,11,aligned,isAncestor,2,23,15.355759620666504,1,1,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t2:paligned:tree307:i2,4,4,11,aligned,isAncestor,2,23,16.321395874023438,1,2,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t3:paligned:tree307:i3,4,4,11,aligned,isAncestor,2,23,16.569856643676758,1,3,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t0:prandomized:tree211:i4,4,4,11,randomized,isAncestor,1,24,14.500499725341797,1,0,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t0:prandomized:tree307:i4,4,4,11,randomized,isAncestor,1,24,14.919960021972656,1,0,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t3:prandomized:tree307:i7,4,4,11,randomized,isAncestor,1,24,15.580004692077637,1,3,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t0:prandomized:tree211:i4,4,4,11,randomized,isAncestor,2,24,15.737747192382812,1,0,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t0:prandomized:tree307:i4,4,4,11,randomized,isAncestor,2,24,15.377084732055664,1,0,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t3:prandomized:tree307:i7,4,4,11,randomized,isAncestor,2,24,15.580004692077637,1,3,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t2:prandomized:tree101:i6,4,4,11,randomized,isAncestor,1,25,16.966760635375977,1,2,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t3:prandomized:tree211:i7,4,4,11,randomized,isAncestor,1,25,15.559244155883789,1,3,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t2:prandomized:tree101:i6,4,4,11,randomized,isAncestor,2,25,17.0675106048584,1,2,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t3:prandomized:tree211:i7,4,4,11,randomized,isAncestor,2,25,15.559236526489258,1,3,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t2:prandomized:tree211:i6,4,4,11,randomized,isAncestor,1,26,16.48244285583496,1,2,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t2:prandomized:tree307:i6,4,4,11,randomized,isAncestor,1,26,16.980642318725586,1,2,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t2:prandomized:tree211:i6,4,4,11,randomized,isAncestor,2,26,18.324501037597656,1,2,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t2:prandomized:tree307:i6,4,4,11,randomized,isAncestor,2,26,16.08599281311035,1,2,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t1:prandomized:tree101:i5,4,4,11,randomized,isAncestor,1,28,4.765346527099609,1,1,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t3:prandomized:tree101:i7,4,4,11,randomized,isAncestor,1,28,15.943645477294922,1,3,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t1:prandomized:tree101:i5,4,4,11,randomized,isAncestor,2,28,4.765346527099609,1,1,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t3:prandomized:tree101:i7,4,4,11,randomized,isAncestor,2,28,15.943646430969238,1,3,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t1:prandomized:tree211:i5,4,4,11,randomized,isAncestor,1,29,14.594902038574219,1,1,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t1:prandomized:tree211:i5,4,4,11,randomized,isAncestor,2,29,14.594902038574219,1,1,1,2,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t0:paligned:tree101:i0,4,4,11,aligned,isAncestor,1,29,18.548755645751953,1,0,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t1:paligned:tree101:i1,4,4,11,aligned,isAncestor,1,29,14.598302841186523,1,1,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t2:paligned:tree101:i2,4,4,11,aligned,isAncestor,1,29,18.15516471862793,1,2,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t3:paligned:tree101:i3,4,4,11,aligned,isAncestor,1,29,13.588223457336426,1,3,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t3:prandomized:tree101:i7,4,4,11,randomized,isAncestor,1,29,12.338977813720703,1,3,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t0:paligned:tree211:i0,4,4,11,aligned,isAncestor,1,29,18.64274787902832,1,0,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t1:paligned:tree211:i1,4,4,11,aligned,isAncestor,1,29,14.280007362365723,1,1,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t2:paligned:tree211:i2,4,4,11,aligned,isAncestor,1,29,16.41233253479004,1,2,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t3:paligned:tree211:i3,4,4,11,aligned,isAncestor,1,29,9.997076034545898,1,3,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t0:paligned:tree307:i0,4,4,11,aligned,isAncestor,1,29,17.85535430908203,1,0,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t1:paligned:tree307:i1,4,4,11,aligned,isAncestor,1,29,12.388769149780273,1,1,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t2:paligned:tree307:i2,4,4,11,aligned,isAncestor,1,29,17.72528076171875,1,2,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t3:paligned:tree307:i3,4,4,11,aligned,isAncestor,1,29,11.136329650878906,1,3,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t0:paligned:tree101:i0,4,4,11,aligned,isAncestor,2,29,18.32280158996582,1,0,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t1:paligned:tree101:i1,4,4,11,aligned,isAncestor,2,29,14.59830093383789,1,1,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t2:paligned:tree101:i2,4,4,11,aligned,isAncestor,2,29,13.268426895141602,1,2,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t3:paligned:tree101:i3,4,4,11,aligned,isAncestor,2,29,13.588223457336426,1,3,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t3:prandomized:tree101:i7,4,4,11,randomized,isAncestor,2,29,12.33897590637207,1,3,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t0:paligned:tree211:i0,4,4,11,aligned,isAncestor,2,29,14.697084426879883,1,0,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t1:paligned:tree211:i1,4,4,11,aligned,isAncestor,2,29,14.280007362365723,1,1,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t2:paligned:tree211:i2,4,4,11,aligned,isAncestor,2,29,16.921070098876953,1,2,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t3:paligned:tree211:i3,4,4,11,aligned,isAncestor,2,29,9.997077941894531,1,3,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t0:paligned:tree307:i0,4,4,11,aligned,isAncestor,2,29,16.38146209716797,1,0,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t1:paligned:tree307:i1,4,4,11,aligned,isAncestor,2,29,12.388769149780273,1,1,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t2:paligned:tree307:i2,4,4,11,aligned,isAncestor,2,29,17.34670066833496,1,2,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t3:paligned:tree307:i3,4,4,11,aligned,isAncestor,2,29,11.136327743530273,1,3,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t0:paligned:tree101:i0,4,4,11,aligned,isAncestor,3,29,18.850711822509766,1,0,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t1:paligned:tree101:i1,4,4,11,aligned,isAncestor,3,29,14.598302841186523,1,1,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t2:paligned:tree101:i2,4,4,11,aligned,isAncestor,3,29,14.917662620544434,1,2,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t3:paligned:tree101:i3,4,4,11,aligned,isAncestor,3,29,13.588223457336426,1,3,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t3:prandomized:tree101:i7,4,4,11,randomized,isAncestor,3,29,12.33897590637207,1,3,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t0:paligned:tree211:i0,4,4,11,aligned,isAncestor,3,29,18.591083526611328,1,0,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t1:paligned:tree211:i1,4,4,11,aligned,isAncestor,3,29,14.280007362365723,1,1,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t2:paligned:tree211:i2,4,4,11,aligned,isAncestor,3,29,17.222309112548828,1,2,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t3:paligned:tree211:i3,4,4,11,aligned,isAncestor,3,29,9.997077941894531,1,3,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t0:paligned:tree307:i0,4,4,11,aligned,isAncestor,3,29,16.485050201416016,1,0,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t1:paligned:tree307:i1,4,4,11,aligned,isAncestor,3,29,12.388769149780273,1,1,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t2:paligned:tree307:i2,4,4,11,aligned,isAncestor,3,29,17.502185821533203,1,2,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t3:paligned:tree307:i3,4,4,11,aligned,isAncestor,3,29,11.136331558227539,1,3,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t0:prandomized:tree101:i4,4,4,11,randomized,isAncestor,1,30,14.727611541748047,1,0,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d1:b2:N4:t1:prandomized:tree307:i5,4,4,11,randomized,isAncestor,1,30,13.521139144897461,1,1,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t0:prandomized:tree101:i4,4,4,11,randomized,isAncestor,2,30,16.751291275024414,1,0,1,2,101,64
baseline,2,4,depth_path,test:isAncestor:D2:d2:b2:N4:t1:prandomized:tree307:i5,4,4,11,randomized,isAncestor,2,30,13.521141052246094,1,1,1,2,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t3:prandomized:tree307:i7,4,4,11,randomized,isAncestor,1,30,15.411279678344727,1,3,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t3:prandomized:tree307:i7,4,4,11,randomized,isAncestor,2,30,15.41128158569336,1,3,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t3:prandomized:tree307:i7,4,4,11,randomized,isAncestor,3,30,15.411279678344727,1,3,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t1:prandomized:tree101:i5,4,4,11,randomized,isAncestor,1,31,15.128938674926758,1,1,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t1:prandomized:tree101:i5,4,4,11,randomized,isAncestor,2,31,15.128938674926758,1,1,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t1:prandomized:tree101:i5,4,4,11,randomized,isAncestor,3,31,15.128938674926758,1,1,1,3,101,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t2:prandomized:tree307:i6,4,4,11,randomized,isAncestor,1,33,16.754854202270508,1,2,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t2:prandomized:tree307:i6,4,4,11,randomized,isAncestor,2,33,13.68852424621582,1,2,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t2:prandomized:tree307:i6,4,4,11,randomized,isAncestor,3,33,12.756902694702148,1,2,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t1:prandomized:tree211:i5,4,4,11,randomized,isAncestor,1,34,14.548195838928223,1,1,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t3:prandomized:tree211:i7,4,4,11,randomized,isAncestor,1,34,11.50111198425293,1,3,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t1:prandomized:tree211:i5,4,4,11,randomized,isAncestor,2,34,14.548195838928223,1,1,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t3:prandomized:tree211:i7,4,4,11,randomized,isAncestor,2,34,11.50111198425293,1,3,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t1:prandomized:tree211:i5,4,4,11,randomized,isAncestor,3,34,14.548195838928223,1,1,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t3:prandomized:tree211:i7,4,4,11,randomized,isAncestor,3,34,11.50111198425293,1,3,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t0:prandomized:tree211:i4,4,4,11,randomized,isAncestor,1,35,17.054853439331055,1,0,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t2:prandomized:tree211:i6,4,4,11,randomized,isAncestor,1,35,16.565143585205078,1,2,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d1:b2:N4:t0:prandomized:tree307:i4,4,4,11,randomized,isAncestor,1,35,14.232486724853516,1,0,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t0:prandomized:tree211:i4,4,4,11,randomized,isAncestor,2,35,19.13261604309082,1,0,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t2:prandomized:tree211:i6,4,4,11,randomized,isAncestor,2,35,18.791576385498047,1,2,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d2:b2:N4:t0:prandomized:tree307:i4,4,4,11,randomized,isAncestor,2,35,18.541072845458984,1,0,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t0:prandomized:tree211:i4,4,4,11,randomized,isAncestor,3,35,15.213117599487305,1,0,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t2:prandomized:tree211:i6,4,4,11,randomized,isAncestor,3,35,15.45728874206543,1,2,1,3,211,64
baseline,2,4,depth_path,test:isAncestor:D3:d3:b2:N4:t0:prandomized:tree307:i4,4,4,11,randomized,isAncestor,3,35,14.335765838623047,1,0,1,3,307,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t0:paligned:tree101:i0,4,4,11,aligned,isAncestor,1,35,18.22175407409668,1,0,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t1:paligned:tree101:i1,4,4,11,aligned,isAncestor,1,35,12.220775604248047,1,1,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t2:paligned:tree101:i2,4,4,11,aligned,isAncestor,1,35,13.918008804321289,1,2,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t3:paligned:tree101:i3,4,4,11,aligned,isAncestor,1,35,10.61751937866211,1,3,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t1:prandomized:tree101:i5,4,4,11,randomized,isAncestor,1,35,6.501708984375,1,1,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t0:paligned:tree211:i0,4,4,11,aligned,isAncestor,1,35,16.357975006103516,1,0,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t1:paligned:tree211:i1,4,4,11,aligned,isAncestor,1,35,-0.05448150634765625,2,1,0,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t2:paligned:tree211:i2,4,4,11,aligned,isAncestor,1,35,15.995529174804688,1,2,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t3:paligned:tree211:i3,4,4,11,aligned,isAncestor,1,35,14.95272159576416,1,3,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t1:prandomized:tree211:i5,4,4,11,randomized,isAncestor,1,35,9.61638069152832,1,1,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t2:prandomized:tree211:i6,4,4,11,randomized,isAncestor,1,35,16.907718658447266,1,2,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t3:prandomized:tree211:i7,4,4,11,randomized,isAncestor,1,35,18.64397430419922,1,3,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t0:paligned:tree307:i0,4,4,11,aligned,isAncestor,1,35,17.12051010131836,1,0,1,4,307,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t1:paligned:tree307:i1,4,4,11,aligned,isAncestor,1,35,10.98858642578125,1,1,1,4,307,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t2:paligned:tree307:i2,4,4,11,aligned,isAncestor,1,35,18.363868713378906,1,2,1,4,307,64
baseline,2,4,depth_path,test:isAncestor:D4:d1:b2:N4:t3:paligned:tree307:i3,4,4,11,aligned,isAncestor,1,35,13.937195777893066,1,3,1,4,307,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t0:paligned:tree101:i0,4,4,11,aligned,isAncestor,2,35,17.40366554260254,1,0,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t1:paligned:tree101:i1,4,4,11,aligned,isAncestor,2,35,12.220775604248047,1,1,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t2:paligned:tree101:i2,4,4,11,aligned,isAncestor,2,35,18.952444076538086,1,2,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t3:paligned:tree101:i3,4,4,11,aligned,isAncestor,2,35,10.61751937866211,1,3,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t1:prandomized:tree101:i5,4,4,11,randomized,isAncestor,2,35,6.501708984375,1,1,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t0:paligned:tree211:i0,4,4,11,aligned,isAncestor,2,35,16.343875885009766,1,0,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t1:paligned:tree211:i1,4,4,11,aligned,isAncestor,2,35,-0.05448150634765625,2,1,0,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t2:paligned:tree211:i2,4,4,11,aligned,isAncestor,2,35,14.881963729858398,1,2,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t3:paligned:tree211:i3,4,4,11,aligned,isAncestor,2,35,14.95272159576416,1,3,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t1:prandomized:tree211:i5,4,4,11,randomized,isAncestor,2,35,9.61638069152832,1,1,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t2:prandomized:tree211:i6,4,4,11,randomized,isAncestor,2,35,20.3443546295166,1,2,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t3:prandomized:tree211:i7,4,4,11,randomized,isAncestor,2,35,18.64397430419922,1,3,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t0:paligned:tree307:i0,4,4,11,aligned,isAncestor,2,35,15.899688720703125,1,0,1,4,307,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t1:paligned:tree307:i1,4,4,11,aligned,isAncestor,2,35,10.98858642578125,1,1,1,4,307,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t2:paligned:tree307:i2,4,4,11,aligned,isAncestor,2,35,16.325544357299805,1,2,1,4,307,64
baseline,2,4,depth_path,test:isAncestor:D4:d2:b2:N4:t3:paligned:tree307:i3,4,4,11,aligned,isAncestor,2,35,13.937195777893066,1,3,1,4,307,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t0:paligned:tree101:i0,4,4,11,aligned,isAncestor,3,35,13.53111457824707,1,0,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t1:paligned:tree101:i1,4,4,11,aligned,isAncestor,3,35,12.220775604248047,1,1,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t2:paligned:tree101:i2,4,4,11,aligned,isAncestor,3,35,14.646270751953125,1,2,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t3:paligned:tree101:i3,4,4,11,aligned,isAncestor,3,35,10.61751937866211,1,3,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t1:prandomized:tree101:i5,4,4,11,randomized,isAncestor,3,35,6.501708984375,1,1,1,4,101,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t0:paligned:tree211:i0,4,4,11,aligned,isAncestor,3,35,16.216487884521484,1,0,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t1:paligned:tree211:i1,4,4,11,aligned,isAncestor,3,35,-0.05448150634765625,2,1,0,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t2:paligned:tree211:i2,4,4,11,aligned,isAncestor,3,35,15.82540512084961,1,2,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t3:paligned:tree211:i3,4,4,11,aligned,isAncestor,3,35,14.95272159576416,1,3,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t1:prandomized:tree211:i5,4,4,11,randomized,isAncestor,3,35,9.61638069152832,1,1,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t2:prandomized:tree211:i6,4,4,11,randomized,isAncestor,3,35,16.814502716064453,1,2,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t3:prandomized:tree211:i7,4,4,11,randomized,isAncestor,3,35,18.64397430419922,1,3,1,4,211,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t0:paligned:tree307:i0,4,4,11,aligned,isAncestor,3,35,14.005657196044922,1,0,1,4,307,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t1:paligned:tree307:i1,4,4,11,aligned,isAncestor,3,35,10.98858642578125,1,1,1,4,307,64
baseline,2,4,depth_path,test:isAncestor:D4:d3:b2:N4:t2:paligned:tree307:i2,4,4,11,aligned,isAncestor,3,35,15.784944534301758,1,2,1,4,307,64
