accuracy,architecture,branching,distractors,evaluation_axis,heads,layers,mean_margin,model_seed,n,predicate,required_path,total_depth,width
1.0,baseline,2,4,depth_path,4,4,14.760408322016398,23,24,isAncestor,2,24,64
1.0,baseline,2,4,depth_path,4,4,15.339305718739828,23,24,isAncestor,3,24,64
1.0,baseline,2,4,depth_path,4,4,14.491653521855673,23,24,isAncestor,4,24,64
1.0,baseline,2,4,depth_path,4,4,15.69317619005839,23,24,isAncestor,6,24,64
1.0,baseline,2,4,depth_path,4,4,15.611642916997274,23,24,isAncestor,8,24,64
1.0,baseline,2,4,depth_path,4,4,14.37136197090149,23,24,isAncestor,12,24,64
1.0,baseline,2,4,depth_path,4,4,14.851521492004395,23,24,isAncestor,16,24,64
1.0,baseline,2,4,depth_path,4,4,15.098706801732382,23,24,isAncestor,1,32,64
1.0,baseline,2,4,depth_path,4,4,15.224408070246378,23,24,isAncestor,2,32,64
0.9583333333333334,baseline,2,4,depth_path,4,4,14.776512702306112,23,24,isAncestor,3,32,64
1.0,baseline,2,4,depth_path,4,4,14.753862301508585,23,24,isAncestor,4,32,64
0.9583333333333334,baseline,2,4,depth_path,4,4,14.661244710286459,23,24,isAncestor,6,32,64
0.9583333333333334,baseline,2,4,depth_path,4,4,14.490968465805054,23,24,isAncestor,8,32,64
1.0,baseline,2,4,depth_path,4,4,13.625308195749918,23,24,isAncestor,12,32,64
0.9583333333333334,baseline,2,4,depth_path,4,4,14.333760102589926,23,24,isAncestor,16,32,64
1.0,baseline,8,4,branching,4,4,14.662564436594645,23,24,isAncestor,3,8,64
0.9583333333333334,baseline,2,256,distractors,4,4,13.946135997772217,23,24,isAncestor,3,8,64
1.0,baseline,2,4,depth_path,4,4,13.693339268366495,37,24,isAncestor,1,2,64
1.0,baseline,2,4,depth_path,4,4,12.961763064066568,37,24,isAncestor,2,2,64
1.0,baseline,2,4,depth_path,4,4,13.649625460306803,37,24,isAncestor,1,3,64
1.0,baseline,2,4,depth_path,4,4,13.061365763346354,37,24,isAncestor,2,3,64
1.0,baseline,2,4,depth_path,4,4,13.556286176045736,37,24,isAncestor,3,3,64
1.0,baseline,2,4,depth_path,4,4,13.362866719563803,37,24,isAncestor,1,4,64
1.0,baseline,2,4,depth_path,4,4,12.640913089116415,37,24,isAncestor,2,4,64
1.0,baseline,2,4,depth_path,4,4,13.570697466532389,37,24,isAncestor,3,4,64
1.0,baseline,2,4,depth_path,4,4,13.347981452941895,37,24,isAncestor,4,4,64
1.0,baseline,1,4,branching,4,4,12.742997328440348,37,24,isAncestor,3,8,64
1.0,baseline,2,4,depth_path,4,4,14.446485837300619,37,24,isAncestor,1,5,64
1.0,baseline,2,4,depth_path,4,4,14.308122396469116,37,24,isAncestor,2,5,64
1.0,baseline,2,4,depth_path,4,4,13.968885660171509,37,24,isAncestor,3,5,64
1.0,baseline,2,4,depth_path,4,4,13.720744768778482,37,24,isAncestor,4,5,64
1.0,baseline,2,4,depth_path,4,4,13.229002316792807,37,24,isAncestor,1,6,64
1.0,baseline,2,4,depth_path,4,4,13.353773593902588,37,24,isAncestor,2,6,64
1.0,baseline,2,4,depth_path,4,4,13.331019004185995,37,24,isAncestor,3,6,64
