R,between_js_bits,discrimination_utility,head,layer,mode,stability_utility,target_logprob_drop,within_js_bits
16553.83454226674,0.9995025358735856,0.00038245107325252103,2,1,zero,4.371771184562399e-05,0.02111089415848255,6.037891301387397e-05
15973.697396867174,0.9996309828174876,0.00025400412935050465,2,1,mean,4.591861100557644e-05,0.022815562784671783,6.257981217382641e-05
13747.084874281107,0.999890326408008,-5.339461169873161e-06,2,1,equivalent,5.607351572279537e-05,0.0016125272959470749,7.273471689104535e-05
11777.178124755752,0.9985186035514086,0.0013663833954294935,2,1,mismatched,6.812299696258342e-05,0.06895295530557632,8.47841981308334e-05
13527.614398979367,0.996456946384732,0.003428040562106105,3,1,zero,5.699975020096653e-05,0.0363357849419117,7.36609513692165e-05
29625.157977074254,0.9989869267049291,0.0008980602419090822,3,1,mean,1.7059696707737923e-05,0.0030543592292815447,3.37208978759879e-05
44776.92607249667,0.9998776236849505,7.363261887660677e-06,3,1,equivalent,5.6689968017063696e-06,-0.00040957145392894745,2.2330197969956344e-05
3781.3048924924733,0.9870319278052345,0.012853059141603618,3,1,mismatched,0.0002443682465668216,0.035117022693157196,0.0002610294477350716
20244.527549851726,0.9996664897623807,0.0002184971844574335,0,2,zero,3.271838980025857e-05,-0.04272641986608505,4.937959096850855e-05
24028.065424110515,0.9997202758851526,0.00016471106168558514,0,2,mean,2.494515615762953e-05,-0.021022887900471687,4.1606357325879505e-05
21389.029071364548,0.9998796269292116,5.360017626521163e-06,0,2,equivalent,3.008611137188968e-05,0.006589156575500965,4.6747312540139654e-05
20603.94961839234,0.9993421031559002,0.0005428837909379203,0,2,mismatched,3.184125208293768e-05,-0.005998835898935795,4.850245325118766e-05
13144.772114945355,0.9998120631702626,7.292377657552862e-05,1,2,zero,5.940037330617513e-05,0.066085584461689,7.60615744744251e-05
13495.535316098874,0.9998078644149054,7.712253193270513e-05,1,2,mean,5.7423141616006305e-05,0.05787958204746246,7.408434278425628e-05
12092.111044239582,0.9998859842201012,-9.972732630814107e-07,1,2,equivalent,6.602791577435576e-05,-0.0037875354755669832,8.268911694260574e-05
12301.682455925107,0.9995321881725997,0.00035279877423843864,1,2,mismatched,6.459046434610207e-05,0.08164554834365845,8.125166551435205e-05
33909.7118533381,0.9998047901137733,8.019683306481618e-05,2,2,zero,1.2823118676106108e-05,0.05357367545366287,2.9484319844356083e-05
33888.74097565879,0.9998019133561433,8.307359069481546e-05,2,2,mean,1.2841279141486802e-05,-0.0001265604660147801,2.9502480309736777e-05
33908.245215301686,0.9998891683924738,-4.181445635631498e-06,2,2,equivalent,1.2826882395014352e-05,0.00080385513138026,2.9488083563264326e-05
31422.199552837916,0.999584620087003,0.0003003668598351439,2,2,mismatched,1.5150213510284996e-05,0.021020548418164253,3.181141467853497e-05
32955.73499558132,0.9997398394417966,0.00014514750504157625,3,2,zero,1.3674636875594015e-05,0.004538210108876228,3.033583804384399e-05
33975.82200840367,0.9997418351170854,0.00014315182975277452,3,2,mean,1.2763895150826767e-05,-0.009546141140162945,2.942509631907674e-05
20191.54174373667,0.9998840744048233,9.125420148414776e-07,3,2,equivalent,3.285874570331485e-05,0.008314759470522404,4.951994687156482e-05
28315.24992508795,0.999239348139971,0.0006456388068671881,3,2,mismatched,1.8628593228183108e-05,3.0458617402473465e-05,3.528979439643308e-05
19777.155904207964,0.9998464758531109,3.851109372721151e-05,0,3,zero,3.389442375051676e-05,0.005920451134443283,5.055562491876674e-05
20754.7317812698,0.9998381211719831,4.6865774855020526e-05,0,3,mean,3.151278304455935e-05,-0.006965504959225655,4.817398421280932e-05
19121.804809320867,0.9998877232232216,-2.736276383474845e-06,0,3,equivalent,3.562924595187905e-05,-0.0006557870656251907,5.229044712012902e-05
20814.954680434963,0.9997718085729118,0.0001131783739263259,0,3,mismatched,3.137021777654592e-05,-0.022871175780892372,4.8031418944795896e-05
