causal_role,head,layer,mean_long_utility,mean_short_utility,relation_type
distributed/no_stable_role,2,4,-7.621654569649272e-05,0.001431123346542312,refining_extension
core_pattern_head,3,4,0.005369773082545897,0.002704516883462642,refining_extension
distributed/no_stable_role,0,5,0.010034515113754115,0.0005991649804376558,refining_extension
distributed/no_stable_role,1,5,-0.017423015209546807,0.00045233086050704136,refining_extension
distributed/no_stable_role,2,5,-0.006270247450427428,-0.0014687934503506462,refining_extension
distributed/no_stable_role,3,5,-0.011285336528864575,0.001752199344410261,refining_extension
distributed/no_stable_role,0,0,0.017024334130790162,0.6680797673393128,supportive_extension
distributed/no_stable_role,1,0,0.030068228471693534,0.5036507855069758,supportive_extension
distributed/no_stable_role,2,0,0.11530801191137566,1.3654163572123896,supportive_extension
core_pattern_head,3,0,0.41303920956201473,0.8247084129893788,supportive_extension
distributed/no_stable_role,0,1,0.0017784738864930762,0.8988551677474459,supportive_extension
distributed/no_stable_role,1,1,0.040205426703396045,1.0864354432361494,supportive_extension
core_pattern_head,2,1,0.14196221125670044,0.2057569894487903,supportive_extension
distributed/no_stable_role,3,1,0.016874587437322997,1.0587077057830123,supportive_extension
distributed/no_stable_role,0,2,0.022472471987883276,0.21168293294825005,supportive_extension
distributed/no_stable_role,1,2,0.009285264072627074,0.037061099304769786,supportive_extension
distributed/no_stable_role,2,2,0.01029548853678374,0.10725272495308101,supportive_extension
distributed/no_stable_role,3,2,0.0009827396769171515,0.0064693338202073845,supportive_extension
distributed/no_stable_role,0,3,-0.0007985948710913405,0.005807339878898672,supportive_extension
distributed/no_stable_role,1,3,0.01324088679429773,0.24853709340370417,supportive_extension
core_pattern_head,2,3,0.0032844716885384964,0.0055529251274266675,supportive_extension
core_pattern_head,3,3,0.004831792176798987,0.008652201838700234,supportive_extension
distributed/no_stable_role,0,4,-0.0006871233816355579,0.006566092844001019,supportive_extension
distributed/no_stable_role,1,4,0.002173452348159119,0.006865286089264398,supportive_extension
distributed/no_stable_role,2,4,-0.0004276758662211386,0.011124446455445835,supportive_extension
context_support_head,3,4,0.0038534280508543827,0.00047058154360467465,supportive_extension
distributed/no_stable_role,0,5,-0.0007877595895438521,0.003318138605495142,supportive_extension
context_support_head,1,5,0.000285282411296578,-0.0005075622793283052,supportive_extension
context_support_head,2,5,0.00559783429055136,0.00178995734405617,supportive_extension
distributed/no_stable_role,3,5,-0.000416081023196463,0.006616210033656855,supportive_extension
