extension_length,layer,metric_type,model_seed,n,short_level,similarity
4,1,head_utility,11,32,2,-0.25625000000000003
4,2,head_utility,11,32,2,0.4
4,3,head_utility,11,32,2,-0.08808941155986907
4,4,head_utility,11,32,2,-0.16522056643298713
4,5,head_utility,11,32,2,-0.0536321176880262
1,0,head_utility,11,32,3,0.15624999999999997
1,1,head_utility,11,32,3,0.0375
1,2,head_utility,11,32,3,0.08750000000000002
1,3,head_utility,11,32,3,-0.06875
1,4,head_utility,11,32,3,-0.016132117688026165
1,5,head_utility,11,32,3,-0.22204403922934207
2,0,head_utility,11,32,3,0.16874999999999996
2,1,head_utility,11,32,3,0.11875000000000001
2,2,head_utility,11,32,3,-0.11579403922934207
2,3,head_utility,11,32,3,-0.17930827460539442
2,4,head_utility,11,32,3,0.18226423537605235
2,5,head_utility,11,32,3,0.2204403922934206
4,0,head_utility,11,32,3,0.1
4,1,head_utility,11,32,3,0.037500000000000006
4,2,head_utility,11,32,3,-0.17500000000000002
4,3,head_utility,11,32,3,-0.15624999999999997
4,4,head_utility,11,32,3,-0.10625000000000001
4,5,head_utility,11,32,3,-0.3375
1,0,head_utility,11,32,4,-0.02500000000000001
1,1,head_utility,11,32,4,0.09375
1,2,head_utility,11,32,4,-0.12499999999999997
1,3,head_utility,11,32,4,0.06875
1,4,head_utility,11,32,4,0.017735764623947624
1,5,head_utility,11,32,4,-0.037499999999999985
2,0,head_utility,11,32,4,0.01874999999999999
2,1,head_utility,11,32,4,-0.006249999999999992
2,2,head_utility,11,32,4,0.2375
2,3,head_utility,11,32,4,-0.07660364693592144
2,4,head_utility,11,32,4,0.01976423537605237
2,5,head_utility,11,32,4,-0.09999999999999998
4,0,head_utility,11,32,4,0.04374999999999998
4,1,head_utility,11,32,4,0.16875
4,2,head_utility,11,32,4,-0.06874999999999998
4,3,head_utility,11,32,4,-0.0875
4,4,head_utility,11,32,4,0.07500000000000001
4,5,head_utility,11,32,4,-0.11976423537605235
1,0,head_utility,23,32,2,0.66875
1,1,head_utility,23,32,2,0.75
1,2,head_utility,23,32,2,0.3293082746053944
1,3,head_utility,23,32,2,0.271454627669473
1,4,head_utility,23,32,2,0.2052357646239476
1,5,head_utility,23,32,2,0.36249999999999993
2,0,head_utility,23,32,2,0.38749999999999996
2,1,head_utility,23,32,2,0.425
2,2,head_utility,23,32,2,0.059205960770657956
2,3,head_utility,23,32,2,0.05
2,4,head_utility,23,32,2,0.04375000000000002
2,5,head_utility,23,32,2,0.049999999999999975
4,0,head_utility,23,32,2,-0.14375000000000004
4,1,head_utility,23,32,2,0.0625
4,2,head_utility,23,32,2,0.025000000000000015
4,3,head_utility,23,32,2,0.18352980385328968
4,4,head_utility,23,32,2,-0.07964635306407855
4,5,head_utility,23,32,2,0.1125
1,0,head_utility,23,32,3,0.23124999999999998
1,1,head_utility,23,32,3,0.19999999999999993
1,2,head_utility,23,32,3,0.09138345078921113
1,3,head_utility,23,32,3,0.4554561459137963
1,4,head_utility,23,32,3,-0.2072642353760524
1,5,head_utility,23,32,3,-0.24375
2,0,head_utility,23,32,3,0.03750000000000001
2,1,head_utility,23,32,3,0.31249999999999994
2,2,head_utility,23,32,3,0.03749999999999999
2,3,head_utility,23,32,3,0.04636788231197381
2,4,head_utility,23,32,3,-0.12499999999999999
2,5,head_utility,23,32,3,0.025
4,0,head_utility,23,32,3,-0.006249999999999992
4,1,head_utility,23,32,3,0.06875
4,2,head_utility,23,32,3,0.09180827460539447
4,3,head_utility,23,32,3,0.15022038128984871
4,4,head_utility,23,32,3,-0.16114768616526348
4,5,head_utility,23,32,3,-0.10692615691736826
1,0,head_utility,23,32,4,0.04374999999999998
1,1,head_utility,23,32,4,0.125
1,2,head_utility,23,32,4,0.12499999999999999
1,3,head_utility,23,32,4,0.25625
1,4,head_utility,23,32,4,-0.024999999999999998
1,5,head_utility,23,32,4,-0.056249999999999994
2,0,head_utility,23,32,4,0.125
2,1,head_utility,23,32,4,-0.17863211768802617
2,2,head_utility,23,32,4,0.2081917253946056
2,3,head_utility,23,32,4,0.016132117688026193
2,4,head_utility,23,32,4,0.0026178823119738237
2,5,head_utility,23,32,4,-0.23851423537605237
4,0,head_utility,23,32,4,0.024999999999999994
4,1,head_utility,23,32,4,0.11249999999999999
4,2,head_utility,23,32,4,0.06874999999999999
4,3,head_utility,23,32,4,0.2375
4,4,head_utility,23,32,4,-0.15194172539460554
4,5,head_utility,23,32,4,-0.0062500000000000056
1,0,head_utility,37,32,2,0.04839635306407858
1,1,head_utility,37,32,2,0.2125
1,2,head_utility,37,32,2,0.17598767077019545
1,3,head_utility,37,32,2,nan
1,4,head_utility,37,32,2,nan
1,5,head_utility,37,32,2,nan
2,0,head_utility,37,32,2,0.07305827460539444
2,1,head_utility,37,32,2,0.02499999999999999
2,2,head_utility,37,32,2,0.21154155817011058
2,3,head_utility,37,32,2,nan
2,4,head_utility,37,32,2,nan
2,5,head_utility,37,32,2,nan
4,0,head_utility,37,32,2,-0.3276178823119738
4,1,head_utility,37,32,2,-0.24375000000000002
4,2,head_utility,37,32,2,0.09589075406513833
4,3,head_utility,37,32,2,nan
4,4,head_utility,37,32,2,nan
4,5,head_utility,37,32,2,nan
1,0,head_utility,37,32,3,-0.4554561459137963
1,1,head_utility,37,32,3,-0.1394417253946056
1,2,head_utility,37,32,3,nan
1,3,head_utility,37,32,3,nan
1,4,head_utility,37,32,3,nan
1,5,head_utility,37,32,3,nan
2,0,head_utility,37,32,3,-0.2021567937632829
2,1,head_utility,37,32,3,-0.1
2,2,head_utility,37,32,3,nan
2,3,head_utility,37,32,3,nan
2,4,head_utility,37,32,3,nan
2,5,head_utility,37,32,3,nan
4,0,head_utility,37,32,3,-0.38272532392474323
4,1,head_utility,37,32,3,-0.08319172539460559
