bridge_selected_ci_high,bridge_selected_ci_low,budget_chunks,condition,evidence_recall_ci_high,evidence_recall_ci_low,materialized_tokens,mean_bridge_selected,mean_evidence_recall,mean_path_complete,mean_quality,mean_selector_time_ns,n_examples,path_complete_ci_high,path_complete_ci_low,quality_ci_high,quality_ci_low,qwen_equivalent_kv_bytes,selector_time_ns_ci_high,selector_time_ns_ci_low
0.2,0.14162500000000003,6,budget_tuned_topk,0.6202916666666667,0.5855555555555556,192,0.17,0.6036111111111111,0.14666666666666667,0.37513888888888886,31999.666666666668,600,0.175,0.1182916666666667,0.3968090277777778,0.3536041666666667,786432,40961.56249999999,26175.8
0.29,0.22,8,budget_tuned_topk,0.6758333333333333,0.6422222222222222,256,0.25333333333333335,0.658888888888889,0.23,0.44444444444444436,27063.5,600,0.2633333333333333,0.19666666666666666,0.46930902777777783,0.4202743055555555,1048576,29873.466666666664,24762.391666666666
1.0,0.995,2,combined_structural,0.8466666666666667,0.8199861111111111,64,0.9983333333333333,0.8333333333333334,0.5,0.6666666666666666,73163.33333333333,600,0.54,0.4599583333333334,0.6933333333333334,0.6399722222222222,262144,79639.7875,67836.62916666667
1.0,1.0,3,combined_structural,1.0,1.0,96,1.0,1.0,1.0,1.0,72419.33333333333,600,1.0,1.0,1.0,1.0,393216,77200.1,68299.97916666666
1.0,1.0,4,combined_structural,1.0,1.0,128,1.0,1.0,1.0,1.0,83389.83333333333,600,1.0,1.0,1.0,1.0,524288,96516.71666666667,72941.25833333333
1.0,1.0,6,combined_structural,1.0,1.0,192,1.0,1.0,1.0,1.0,72661.16666666667,600,1.0,1.0,1.0,1.0,786432,77226.01666666666,68956.2875
1.0,1.0,8,combined_structural,1.0,1.0,256,1.0,1.0,1.0,1.0,75220.66666666667,600,1.0,1.0,1.0,1.0,1048576,82236.00833333333,69320.5
0.041666666666666664,0.015,2,community,0.39639583333333334,0.3616666666666667,64,0.028333333333333332,0.3794444444444444,0.015,0.19722222222222222,35851.0,600,0.025,0.005,0.20819791666666665,0.18485763888888887,262144,52794.47083333333,26534.662500000002
0.09,0.05,3,community,0.4883402777777778,0.45359722222222215,96,0.06833333333333333,0.4708333333333333,0.03333333333333333,0.2520833333333333,30043.5,600,0.04833333333333333,0.02,0.26625347222222223,0.2386111111111111,393216,34584.95,26705.4
0.12833333333333333,0.08,4,community,0.5422291666666667,0.5094444444444445,128,0.10166666666666667,0.5258333333333334,0.06833333333333333,0.2970833333333333,26718.666666666668,600,0.08833333333333333,0.04833333333333333,0.31403125,0.2811111111111111,524288,27916.425,25606.245833333334
0.19833333333333333,0.14,6,community,0.618611111111111,0.5852777777777777,192,0.16833333333333333,0.6022222222222222,0.145,0.3736111111111111,29613.333333333332,600,0.17166666666666666,0.11666666666666667,0.3933333333333333,0.3533263888888889,786432,32078.258333333335,27488.641666666666
0.29,0.21995833333333337,8,community,0.675,0.6413819444444444,256,0.25333333333333335,0.6583333333333333,0.23,0.44416666666666665,35145.0,600,0.265,0.19662500000000002,0.4697222222222222,0.41971875000000003,1048576,47626.65833333333,28241.8375
0.043333333333333335,0.015,2,entropy_adaptive_sharpen,0.3955625,0.36,64,0.028333333333333332,0.3788888888888889,0.015,0.19694444444444445,170568.0,600,0.025,0.006666666666666667,0.20833333333333331,0.18527430555555555,262144,219408.88749999998,138869.8958333333
0.08833333333333333,0.04833333333333333,3,entropy_adaptive_sharpen,0.4866736111111111,0.45388888888888895,96,0.06666666666666667,0.47,0.03166666666666667,0.25083333333333335,140982.16666666666,600,0.04666666666666667,0.018333333333333333,0.2648645833333334,0.2386111111111111,393216,156227.975,130073.76666666666
0.12833333333333333,0.07833333333333334,4,entropy_adaptive_sharpen,0.5427777777777777,0.5086041666666665,128,0.10166666666666667,0.5258333333333334,0.06833333333333333,0.2970833333333333,300909.0,600,0.09004166666666663,0.04833333333333333,0.3148611111111111,0.27971874999999996,524288,614460.1333333333,141695.9625
