accuracy,architecture,budget_multiplier,diagnostic_tier,heads,layers,mean_margin,model_seed,n,predicate,width
0.2638888888888889,width128,1,easy,4,4,-2.4286385244793363,23,72,root,128
0.2638888888888889,width128,1,easy,4,4,-2.0023317767514124,23,144,ancestor_k,128
0.875,width128,1,easy,4,4,2.20801051457723,23,144,isAncestor,128
0.125,width128,1,medium,4,4,-3.653894179397159,23,72,parent,128
0.125,width128,1,medium,4,4,-3.304227716392941,23,72,grandparent,128
0.1527777777777778,width128,1,medium,4,4,-3.11261213488049,23,144,ancestor_k,128
0.7361111111111112,width128,1,medium,4,4,1.878735899925232,23,144,isAncestor,128
0.052083333333333336,width128,1,hard,4,4,-4.137292479475339,23,96,parent,128
0.07291666666666667,width128,1,hard,4,4,-3.750965783993403,23,96,grandparent,128
0.1875,width128,1,medium,4,4,-3.199886212746302,23,48,root,128
0.06944444444444445,width128,1,hard,4,4,-3.6692969335450067,23,72,root,128
0.6574074074074074,width128,1,hard,4,4,0.7974032351264247,23,432,isAncestor,128
0.08101851851851852,width128,1,hard,4,4,-3.9392508422886885,23,432,ancestor_k,128
0.28125,width128,1,easy,4,4,-2.0505068649848304,37,96,parent,128
0.21875,width128,1,easy,4,4,-2.392906720439593,37,96,grandparent,128
0.19444444444444445,width128,1,easy,4,4,-2.5170116093423633,37,72,root,128
0.3055555555555556,width128,1,easy,4,4,-1.7539957529968686,37,144,ancestor_k,128
0.9375,width128,1,easy,4,4,4.889546414216359,37,144,isAncestor,128
0.2361111111111111,width128,1,medium,4,4,-2.492601136366526,37,72,parent,128
0.1527777777777778,width128,1,medium,4,4,-2.7729827894104853,37,72,grandparent,128
0.1527777777777778,width128,1,medium,4,4,-2.740824924574958,37,144,ancestor_k,128
0.9097222222222222,width128,1,medium,4,4,4.470085223515828,37,144,isAncestor,128
0.10416666666666667,width128,1,hard,4,4,-2.993086814880371,37,96,parent,128
0.09375,width128,1,hard,4,4,-3.024135952194532,37,96,grandparent,128
0.14583333333333334,width128,1,medium,4,4,-3.0945430199305215,37,48,root,128
0.013888888888888888,width128,1,hard,4,4,-3.566505399015215,37,72,root,128
0.9375,width128,1,hard,4,4,4.282296392652723,37,432,isAncestor,128
0.0625,width128,1,hard,4,4,-3.603077863101606,37,432,ancestor_k,128
0.2604166666666667,heads2,1,easy,2,4,-1.6520437101523082,11,96,parent,64
0.3229166666666667,heads2,1,easy,2,4,-1.937069684267044,11,96,grandparent,64
0.3333333333333333,heads2,1,easy,2,4,-1.848036289215088,11,72,root,64
0.2916666666666667,heads2,1,easy,2,4,-1.9269942508803473,11,144,ancestor_k,64
0.5,heads2,1,easy,2,4,0.5420003665818108,11,144,isAncestor,64
0.1527777777777778,heads2,1,medium,2,4,-2.88300582435396,11,72,parent,64
0.1111111111111111,heads2,1,medium,2,4,-3.0565437045362263,11,72,grandparent,64
0.10416666666666667,heads2,1,medium,2,4,-3.178002761469947,11,144,ancestor_k,64
0.5,heads2,1,medium,2,4,0.41514453954166836,11,144,isAncestor,64
0.052083333333333336,heads2,1,hard,2,4,-3.205719875792662,11,96,parent,64
0.07291666666666667,heads2,1,hard,2,4,-2.960009180009365,11,96,grandparent,64
0.20833333333333334,heads2,1,medium,2,4,-2.480737547079722,11,48,root,64
0.06944444444444445,heads2,1,hard,2,4,-2.8688397308190665,11,72,root,64
0.49537037037037035,heads2,1,hard,2,4,0.3582473827732934,11,432,isAncestor,64
0.06481481481481481,heads2,1,hard,2,4,-3.3146670951887414,11,432,ancestor_k,64
0.25,heads2,1,easy,2,4,-2.260956861078739,23,96,parent,64
0.22916666666666666,heads2,1,easy,2,4,-2.0055758704741797,23,96,grandparent,64
0.2361111111111111,heads2,1,easy,2,4,-2.173621031973097,23,72,root,64
0.3194444444444444,heads2,1,easy,2,4,-1.815998289320204,23,144,ancestor_k,64
0.4791666666666667,heads2,1,easy,2,4,0.9513421720928616,23,144,isAncestor,64
0.18055555555555555,heads2,1,medium,2,4,-2.95961555507448,23,72,parent,64
0.125,heads2,1,medium,2,4,-2.851012604104148,23,72,grandparent,64
0.1388888888888889,heads2,1,medium,2,4,-2.7726566129260592,23,144,ancestor_k,64
0.5208333333333334,heads2,1,medium,2,4,0.7637680702739291,23,144,isAncestor,64
0.0625,heads2,1,hard,2,4,-3.2465248107910156,23,96,parent,64
0.10416666666666667,heads2,1,hard,2,4,-2.996813580393791,23,96,grandparent,64
0.10416666666666667,heads2,1,medium,2,4,-3.2876414010922113,23,48,root,64
0.08333333333333333,heads2,1,hard,2,4,-3.044108751747343,23,72,root,64
0.49537037037037035,heads2,1,hard,2,4,0.5386372600440625,23,432,isAncestor,64
0.05092592592592592,heads2,1,hard,2,4,-3.2108660163702787,23,432,ancestor_k,64
