accuracy,label_mode,mean_margin,model_seed,n,ontology_family,position_mode,query_level
0.9609375,arbitrary,7.752103760838509,23,128,b2-d2-i8,randomized,parent
1.0,arbitrary,13.510829292237759,23,128,b2-d2-i8,aligned,ancestor
1.0,arbitrary,12.895755112171173,23,128,b2-d2-i8,randomized,ancestor
1.0,arbitrary,12.829466357827187,23,128,b2-d2-i8,aligned,root
0.9765625,arbitrary,11.726766645908356,23,128,b2-d2-i8,randomized,root
0.9921875,natural,11.360197007656097,23,128,b2-d2-i16,aligned,parent
0.9453125,natural,8.999783046543598,23,128,b2-d2-i16,randomized,parent
1.0,natural,12.61978905647993,23,128,b2-d2-i16,aligned,ancestor
1.0,natural,10.543697282671928,23,128,b2-d2-i16,randomized,ancestor
1.0,natural,12.655073270201683,23,128,b2-d2-i16,aligned,root
1.0,natural,12.094386219978333,23,128,b2-d2-i16,randomized,root
1.0,arbitrary,10.208095893263817,23,128,b2-d2-i16,aligned,parent
0.9375,arbitrary,7.893475964665413,23,128,b2-d2-i16,randomized,parent
1.0,arbitrary,13.510829292237759,23,128,b2-d2-i16,aligned,ancestor
1.0,arbitrary,12.68842027336359,23,128,b2-d2-i16,randomized,ancestor
1.0,arbitrary,12.829466357827187,23,128,b2-d2-i16,aligned,root
1.0,arbitrary,11.870413362979889,23,128,b2-d2-i16,randomized,root
0.9765625,natural,9.426715947687626,23,128,b2-d3-i8,aligned,parent
1.0,natural,9.156613945960999,23,128,b2-d3-i8,randomized,parent
1.0,natural,11.591808959841728,23,128,b2-d3-i8,aligned,ancestor
1.0,natural,10.906738139688969,23,128,b2-d3-i8,randomized,ancestor
1.0,natural,12.255904361605644,23,128,b2-d3-i8,aligned,root
0.984375,natural,11.526305302977562,23,128,b2-d3-i8,randomized,root
1.0,arbitrary,12.287882201373577,23,128,b2-d3-i8,aligned,parent
1.0,arbitrary,11.848530001938343,23,128,b2-d3-i8,randomized,parent
1.0,arbitrary,12.401165589690208,23,128,b2-d3-i8,aligned,ancestor
1.0,arbitrary,11.014127902686596,23,128,b2-d3-i8,randomized,ancestor
1.0,arbitrary,11.555076256394386,23,128,b2-d3-i8,aligned,root
1.0,arbitrary,11.650247156620026,23,128,b2-d3-i8,randomized,root
0.9765625,natural,9.426715947687626,23,128,b2-d3-i16,aligned,parent
1.0,natural,9.185704544186592,23,128,b2-d3-i16,randomized,parent
1.0,natural,11.591808959841728,23,128,b2-d3-i16,aligned,ancestor
1.0,natural,10.248980604112148,23,128,b2-d3-i16,randomized,ancestor
1.0,natural,12.255904361605644,23,128,b2-d3-i16,aligned,root
0.9921875,natural,11.818640097975731,23,128,b2-d3-i16,randomized,root
1.0,arbitrary,12.287882201373577,23,128,b2-d3-i16,aligned,parent
1.0,arbitrary,11.457198664546013,23,128,b2-d3-i16,randomized,parent
1.0,arbitrary,12.401165589690208,23,128,b2-d3-i16,aligned,ancestor
1.0,arbitrary,10.901177920401096,23,128,b2-d3-i16,randomized,ancestor
1.0,arbitrary,11.555076256394386,23,128,b2-d3-i16,aligned,root
1.0,arbitrary,11.303355798125267,23,128,b2-d3-i16,randomized,root
0.9921875,natural,9.891045942902565,23,128,b4-d2-i8,aligned,parent
0.953125,natural,8.255084820091724,23,128,b4-d2-i8,randomized,parent
1.0,natural,10.220671780407429,23,128,b4-d2-i8,aligned,ancestor
1.0,natural,9.372870825231075,23,128,b4-d2-i8,randomized,ancestor
1.0,natural,11.223774425685406,23,128,b4-d2-i8,aligned,root
0.984375,natural,10.243239648640156,23,128,b4-d2-i8,randomized,root
0.9765625,arbitrary,9.361942745745182,23,128,b4-d2-i8,aligned,parent
0.8515625,arbitrary,5.953470937907696,23,128,b4-d2-i8,randomized,parent
1.0,arbitrary,10.56899918615818,23,128,b4-d2-i8,aligned,ancestor
0.953125,arbitrary,9.075176261365414,23,128,b4-d2-i8,randomized,ancestor
