boundary,class_id,example_id,model_seed,position_mode,predictive_order,residual,stage,target_margin,template_id,top1_correct
0,level1-1,test:l1:t0:paligned:c35:i20,11,aligned,1,0.597986:-1.06793:-1.22163:-0.625603:0.713841:0.115147:-0.321265:1.60915:0.853285:-3.30603:-1.42142:-1.66358:2.18289:0.438621:0.69113:1.30809:-1.45138:1.77535:-0.122951:2.64075:0.607466:0.719935:-0.666859:0.173897:-0.98951:0.163439:0.478489:1.78857:0.674364:0.4147:-0.799846:-1.02699:-0.494053:0.428267:0.146517:1.97997:-0.148286:-1.36031:1.1792:1.35034:-0.659388:-0.274456:1.93716:3.96066:-1.29575:1.24217:-1.56866:-0.61502:0.137256:1.41291:2.88219:0.0507939:0.951747:1.12064:0.0727075:-0.13984:-0.242615:-0.112141:2.02297:1.7601:-1.20551:0.897488:-0.297281:-1.44348,s3,-35.79730224609375,0,0
0,level1-0,test:l1:t0:paligned:c40:i21,11,aligned,1,2.36481:-0.905773:1.14577:-0.955821:-1.33037:-1.50963:1.38208:-1.3771:0.290766:-2.44901:-1.39233:-0.963852:1.69109:-1.77972:-0.614939:2.47551:-0.866636:0.277309:-0.46964:3.14675:2.32208:-2.52956:-2.68115:-0.0154048:-1.30329:-0.766461:0.0656053:-1.53314:1.41978:-0.196705:-0.401482:-0.933884:-1.51575:-1.69551:-2.48495:0.435771:0.61109:-0.40315:0.136967:-1.70899:-1.30791:1.63281:1.1579:2.73882:-1.23369:2.20799:-0.692661:2.76398:-0.0834776:0.734503:-1.22656:0.42801:0.744467:-1.67901:-0.175162:1.59326:1.44418:2.36:1.70874:-0.121552:0.164715:-1.11116:-2.2365:-0.312517,s3,-37.25015640258789,0,0
0,level1-1,test:l1:t0:paligned:c45:i22,11,aligned,1,0.851333:-0.834168:-0.347407:0.756043:-0.189604:-1.25851:0.933183:0.0525365:-0.25786:-1.55533:-1.72474:-0.191915:1.42911:0.27025:-1.07251:2.56363:-1.70054:2.28563:1.07342:2.73369:1.24821:-1.18898:-0.594058:-0.141605:-0.772523:-1.25585:-0.272584:-0.292679:1.03969:-1.31837:-1.6027:-2.3411:-1.66058:0.667026:-2.29592:0.671407:-0.659384:0.816981:-0.24767:-0.126195:-0.470633:0.0286233:-0.618726:1.31509:-2.70014:2.06278:-0.589631:2.23622:0.908881:-0.4114:0.34558:0.435415:0.202053:-0.884076:-0.267251:0.763433:1.08869:1.86604:1.47164:-0.528982:-0.242119:1.62122:-1.26616:-0.829194,s3,-28.24407958984375,0,0
0,level1-0,test:l1:t0:paligned:c50:i23,11,aligned,1,1.02054:-0.947779:-0.959682:0.524101:-0.872934:0.418457:1.51933:-0.59778:-0.454929:-1.99807:-2.16922:1.11212:3.08236:-0.966588:-0.869742:2.20336:-1.05332:1.64995:3.01438:1.95529:2.11621:-0.75636:-3.24495:1.31733:-0.647251:-1.01375:0.410146:-0.0113876:-0.470919:0.108586:-0.308599:-3.65184:-1.29251:1.47207:-1.65311:0.713817:-1.21471:-2.16766:0.695519:-0.994971:0.920367:-0.706677:-0.835308:1.63331:-1.70997:0.886722:1.28067:0.610267:0.00437677:-0.350043:0.311339:1.69351:0.629615:-1.39651:0.133552:0.29233:-1.27091:1.3329:1.74794:-0.257589:-0.747375:0.205803:-1.30048:-0.306764,s3,-36.16386413574219,0,0
0,level1-1,test:l1:t0:paligned:c55:i24,11,aligned,1,0.803083:0.496888:-0.837336:0.0103623:-0.672069:-1.54217:1.37463:-0.628948:1.73423:-1.35127:-2.24586:-1.87037:2.72163:-2.17107:0.0120229:2.37553:-2.43418:3.24839:-0.303057:1.52573:1.90882:-1.79583:-2.15042:1.1885:-1.98482:0.832834:0.958995:-1.22113:1.20275:-2.71938:-0.473602:-2.86013:-2.46292:-1.21723:-0.221058:0.192663:-2.7378:1.68995:-0.533898:-0.607925:-2.3693:-0.726655:0.703395:2.61204:-1.7718:2.11818:0.697735:2.4818:-1.8154:-0.542353:-0.282734:1.02873:0.974403:0.864482:-1.06094:0.874638:1.08528:1.3046:0.00851458:0.801246:-1.32985:1.68787:-0.459311:-0.927714,s3,-44.89643859863281,0,0
0,level1-0,test:l1:t0:paligned:c60:i25,11,aligned,1,1.90235:1.30227:-0.602218:0.414828:-0.976136:1.36028:-0.447198:-0.898288:0.607476:-2.55784:-2.36251:1.96848:1.28142:-0.180636:1.00519:0.839594:-1.3594:0.703861:-0.27014:4.09247:2.6801:-1.52405:-3.07759:0.0552484:-1.67461:0.5236:-0.0464177:-0.0418261:2.10916:-0.592094:-0.93716:-1.4339:-1.12181:-0.1803:0.32751:0.620036:-0.183095:0.0779226:-0.440925:-1.69027:-0.264476:0.517119:1.44098:0.779951:-1.47996:2.12242:-0.287136:0.843877:0.18873:-0.401851:0.236046:1.62373:2.56972:1.34653:-0.733381:1.24561:-0.0863604:1.47932:0.630199:-0.648833:2.48463:-0.37986:-2.62158:-1.25721,s3,-37.183982849121094,0,0
0,level1-0,test:l1:t0:paligned:c0:i26,11,aligned,1,1.07254:1.41721:-1.26188:-1.52543:-0.122123:2.42068:1.29127:-0.966755:0.768429:-2.94577:-2.44504:-0.133015:1.50264:-1.46524:-1.50565:0.675936:-1.59764:0.909158:-0.713698:2.52758:3.01715:-0.338286:-1.18723:-1.23912:-3.13191:-0.761547:0.539451:-0.448206:1.69066:0.378741:-0.89543:-1.5448:-0.406672:-0.0809915:-2.98975:1.24648:-0.0213109:0.717377:-0.291027:-3.4634:-0.924657:-1.7446:0.253746:2.80645:-3.27831:0.725652:1.36571:-0.535002:-0.320495:-1.02662:0.35845:0.508028:1.11689:-0.187887:-0.0682738:0.938875:-1.57685:1.41256:2.15119:0.0458504:-0.79632:1.62534:-1.57041:-2.09839,s3,-37.4095344543457,0,0
0,level1-1,test:l1:t0:paligned:c5:i27,11,aligned,1,-0.787442:0.270239:-0.413922:1.53161:0.558482:1.87753:0.765062:0.675159:0.769847:-3.88902:-2.3299:0.524589:-0.506804:-0.482716:-2.71697:2.85078:-2.04735:1.79174:-0.675518:3.03387:3.25612:-1.30176:-0.436109:-0.666126:-2.29797:0.711012:-0.374777:0.800275:0.368137:-0.179437:-1.62585:-1.57519:-1.34033:-0.0656101:0.498725:-0.0477568:-1.4106:-0.0755888:-0.564372:-1.87995:-0.953655:-2.4571:-0.63859:2.32335:-3.37803:0.976335:1.23845:0.884624:-0.882306:-1.56512:-1.51023:0.0821155:1.94667:-0.978422:-0.0719659:-0.0254567:-0.654272:1.25963:0.242214:-1.76801:1.23932:0.699948:-1.01215:-1.2024,s3,-42.81914520263672,0,0
0,level1-0,test:l1:t0:paligned:c10:i28,11,aligned,1,0.297354:-0.322696:0.635261:1.85288:-3.59843:-0.0789141:2.79106:-0.878032:1.60904:-3.53067:-2.72345:0.265208:1.79301:-1.13034:1.95208:1.32301:-0.954107:0.741604:0.523987:1.7234:2.89733:-1.34324:-2.31967:0.582975:0.226351:-1.62792:-0.159554:-0.531054:-0.95436:-1.41162:1.41836:-0.0945227:-2.39053:0.434152:-0.785464:0.86488:-1.09248:-0.0663221:-0.77264:-2.28918:-1.80383:-1.69877:-1.17861:1.33055:-1.00501:2.02793:-1.11748:-0.295507:-0.583321:0.931203:0.651653:0.516481:1.52567:0.0659385:-0.193465:-0.421296:0.282779:1.96754:1.46934:-1.35657:-0.263331:0.529008:-1.32734:-1.08902,s3,-41.22490692138672,0,0
0,level1-1,test:l1:t0:paligned:c15:i29,11,aligned,1,-0.098429:0.243716:-0.894921:0.637257:-0.24872:0.421642:1.80129:-0.829352:-1.20639:-2.69556:-2.28036:-0.731586:0.436453:-1.84642:-0.182359:3.75616:-0.763666:2.588:0.502236:3.52777:3.27853:-1.38449:-0.0872545:0.100333:-3.30297:-0.631895:0.18973:1.48724:0.33377:-1.1629:-1.35984:-2.6074:-0.426843:-1.34825:-0.295472:1.40895:-0.374724:-0.827681:0.0914335:-0.874667:-0.413622:0.280066:0.710721:3.61692:-3.11074:2.00283:0.425834:0.0679382:-1.44288:-0.732923:-0.540525:1.14186:1.52658:0.00252985:0.0437001:-1.0524:-1.6381:-0.755614:-0.791703:0.818806:-1.73574:-0.458989:-0.286138:-1.46823,s3,-40.38542175292969,0,0
