class_id,entity_id,example_id,feature_bits,label_mode,model_seed,output_entropy,position_mode,predictive_order,stage,target_margin,target_probability,template_id,top1_correct
level1-0,test-entity-113,test:l1:t0:prandomized:c0:i13,000000,arbitrary,11,2.2390040612663142e-06,randomized,1,s3,15.830224990844727,0.9999998807907104,0,1
level1-1,test-entity-114,test:l1:t0:prandomized:c5:i14,101000,arbitrary,11,4.606315773258984e-09,randomized,1,s3,22.379789352416992,1.0,0,1
level1-0,test-entity-115,test:l1:t0:prandomized:c10:i15,010100,arbitrary,11,1.04744894997566e-05,randomized,1,s3,14.190845489501953,0.9999992847442627,0,1
level1-1,test-entity-116,test:l1:t0:prandomized:c15:i16,111100,arbitrary,11,1.1756831952425273e-08,randomized,1,s3,21.346317291259766,1.0,0,1
level1-0,test-entity-117,test:l1:t0:prandomized:c20:i17,001010,arbitrary,11,0.0007219251710921526,randomized,1,s3,9.593935012817383,0.999931812286377,0,1
level1-1,test-entity-118,test:l1:t0:prandomized:c25:i18,100110,arbitrary,11,9.921797783363218e-08,randomized,1,s3,19.079689025878906,1.0,0,1
level1-0,test-entity-119,test:l1:t0:prandomized:c30:i19,011110,arbitrary,11,0.00013058033073320985,randomized,1,s3,11.466850280761719,0.9999895095825195,0,1
level1-1,test-entity-120,test:l1:t0:prandomized:c35:i20,110001,arbitrary,11,1.302964165006415e-06,randomized,1,s3,16.552045822143555,0.9999998807907104,0,1
level1-0,test-entity-121,test:l1:t0:prandomized:c40:i21,000101,arbitrary,11,0.035303276032209396,randomized,1,s3,5.238945007324219,0.9944973587989807,0,1
level1-1,test-entity-122,test:l1:t0:prandomized:c45:i22,101101,arbitrary,11,6.752181798219681e-05,randomized,1,s3,12.183784484863281,0.9999948740005493,0,1
level1-0,test-entity-123,test:l1:t0:prandomized:c50:i23,010011,arbitrary,11,0.015805531293153763,randomized,1,s3,6.175195693969727,0.9978442192077637,0,1
level1-1,test-entity-124,test:l1:t0:prandomized:c55:i24,111011,arbitrary,11,9.19117098874267e-07,randomized,1,s3,16.7465763092041,1.0,0,1
level1-0,test-entity-125,test:l1:t0:prandomized:c60:i25,001111,arbitrary,11,0.0010388115188106894,randomized,1,s3,9.197137832641602,0.9998983144760132,0,1
level1-0,test-entity-126,test:l1:t0:prandomized:c0:i26,000000,arbitrary,11,7.001386279625876e-07,randomized,1,s3,17.071855545043945,1.0,0,1
level1-1,test-entity-127,test:l1:t0:prandomized:c5:i27,101000,arbitrary,11,1.0708429698524924e-07,randomized,1,s3,19.00639533996582,1.0,0,1
level1-0,test-entity-128,test:l1:t0:prandomized:c10:i28,010100,arbitrary,11,0.00030780001543462276,randomized,1,s3,10.531225204467773,0.9999732971191406,0,1
level1-1,test-entity-129,test:l1:t0:prandomized:c15:i29,111100,arbitrary,11,4.39654104411602e-06,randomized,1,s3,15.119302749633789,0.9999997615814209,0,1
level1-0,test-entity-130,test:l1:t0:prandomized:c20:i30,001010,arbitrary,11,2.087121356453281e-05,randomized,1,s3,13.447261810302734,0.9999985694885254,0,1
level1-1,test-entity-131,test:l1:t0:prandomized:c25:i31,100110,arbitrary,11,5.180343265465126e-08,randomized,1,s3,19.832162857055664,1.0,0,1
level1-0,test-entity-100,test:l1:t1:paligned:c0:i0,000000,arbitrary,11,0.00014710109098814428,aligned,1,s3,11.340198516845703,0.9999880790710449,1,1
level1-1,test-entity-101,test:l1:t1:paligned:c5:i1,101000,arbitrary,11,1.407654881546705e-09,aligned,1,s3,23.841093063354492,1.0,1,1
level1-0,test-entity-102,test:l1:t1:paligned:c10:i2,010100,arbitrary,11,0.0004916191683150828,aligned,1,s3,10.018455505371094,0.999955415725708,1,1
level1-1,test-entity-103,test:l1:t1:paligned:c15:i3,111100,arbitrary,11,5.1145317148115765e-11,aligned,1,s3,27.169784545898438,1.0,1,1
level1-0,test-entity-104,test:l1:t1:paligned:c20:i4,001010,arbitrary,11,0.0020032781176269054,aligned,1,s3,8.459924697875977,0.999788224697113,1,1
level1-1,test-entity-105,test:l1:t1:paligned:c25:i5,100110,arbitrary,11,2.7260265156314745e-08,aligned,1,s3,20.456756591796875,1.0,1,1
level1-0,test-entity-106,test:l1:t1:paligned:c30:i6,011110,arbitrary,11,0.00042332152952440083,aligned,1,s3,10.181812286376953,0.9999620914459229,1,1
level1-1,test-entity-107,test:l1:t1:paligned:c35:i7,110001,arbitrary,11,4.22474067818257e-06,aligned,1,s3,15.179283142089844,0.9999997615814209,1,1
level1-0,test-entity-108,test:l1:t1:paligned:c40:i8,000101,arbitrary,11,0.0038102115504443645,aligned,1,s3,7.950191497802734,0.999592125415802,1,1
level1-1,test-entity-109,test:l1:t1:paligned:c45:i9,101101,arbitrary,11,3.667060965995006e-08,aligned,1,s3,20.434934616088867,1.0,1,1
level1-0,test-entity-110,test:l1:t1:paligned:c50:i10,010011,arbitrary,11,0.06282278150320053,aligned,1,s3,4.70050048828125,0.9895403981208801,1,1
level1-1,test-entity-111,test:l1:t1:paligned:c55:i11,111011,arbitrary,11,2.7966839510895625e-08,aligned,1,s3,20.801990509033203,1.0,1,1
level1-0,test-entity-112,test:l1:t1:paligned:c60:i12,001111,arbitrary,11,0.004818343091756105,aligned,1,s3,7.472787857055664,0.9994316697120667,1,1
level1-0,test-entity-113,test:l1:t1:paligned:c0:i13,000000,arbitrary,11,5.9860816691070795e-05,aligned,1,s3,12.314168930053711,0.9999954700469971,1,1
level1-1,test-entity-114,test:l1:t1:paligned:c5:i14,101000,arbitrary,11,2.107105323556624e-10,aligned,1,s3,25.82215118408203,1.0,1,1
level1-0,test-entity-115,test:l1:t1:paligned:c10:i15,010100,arbitrary,11,0.0007132178288884461,aligned,1,s3,9.607330322265625,0.9999327659606934,1,1
level1-1,test-entity-116,test:l1:t1:paligned:c15:i16,111100,arbitrary,11,2.4589924541018604e-10,aligned,1,s3,26.05864143371582,1.0,1,1
level1-0,test-entity-117,test:l1:t1:paligned:c20:i17,001010,arbitrary,11,0.00024539651349186897,aligned,1,s3,10.779123306274414,0.9999791383743286,1,1
level1-1,test-entity-118,test:l1:t1:paligned:c25:i18,100110,arbitrary,11,3.708959361858888e-09,aligned,1,s3,22.586637496948242,1.0,1,1
level1-0,test-entity-119,test:l1:t1:paligned:c30:i19,011110,arbitrary,11,0.0005376375047490001,aligned,1,s3,9.918790817260742,0.9999507665634155,1,1
level1-1,test-entity-120,test:l1:t1:paligned:c35:i20,110001,arbitrary,11,2.4891298266993545e-07,aligned,1,s3,18.32099151611328,1.0,1,1
level1-0,test-entity-121,test:l1:t1:paligned:c40:i21,000101,arbitrary,11,0.013037255965173244,aligned,1,s3,6.5166015625,0.9983376264572144,1,1
level1-1,test-entity-122,test:l1:t1:paligned:c45:i22,101101,arbitrary,11,2.098816054285635e-08,aligned,1,s3,20.782424926757812,1.0,1,1
level1-0,test-entity-123,test:l1:t1:paligned:c50:i23,010011,arbitrary,11,0.039145924150943756,aligned,1,s3,5.135128021240234,0.9938156604766846,1,1
level1-1,test-entity-124,test:l1:t1:paligned:c55:i24,111011,arbitrary,11,1.0010893447542912e-07,aligned,1,s3,19.124521255493164,1.0,1,1
level1-0,test-entity-125,test:l1:t1:paligned:c60:i25,001111,arbitrary,11,0.006097248289734125,aligned,1,s3,7.205833435058594,0.9992576241493225,1,1
level1-0,test-entity-126,test:l1:t1:paligned:c0:i26,000000,arbitrary,11,2.69604533968959e-05,aligned,1,s3,13.178779602050781,0.9999980926513672,1,1
level1-1,test-entity-127,test:l1:t1:paligned:c5:i27,101000,arbitrary,11,1.0926072269157316e-09,aligned,1,s3,24.01166534423828,1.0,1,1
level1-0,test-entity-128,test:l1:t1:paligned:c10:i28,010100,arbitrary,11,0.00036401284160092473,aligned,1,s3,10.347742080688477,0.9999679327011108,1,1
level1-1,test-entity-129,test:l1:t1:paligned:c15:i29,111100,arbitrary,11,3.7459004786910555e-09,aligned,1,s3,22.867115020751953,1.0,1,1
level1-0,test-entity-130,test:l1:t1:paligned:c20:i30,001010,arbitrary,11,0.0004704446764662862,aligned,1,s3,10.065780639648438,0.9999574422836304,1,1
level1-1,test-entity-131,test:l1:t1:paligned:c25:i31,100110,arbitrary,11,1.8172573446051388e-09,aligned,1,s3,23.727031707763672,1.0,1,1
level1-0,test-entity-100,test:l1:t1:prandomized:c0:i0,000000,arbitrary,11,2.1970128727843985e-05,randomized,1,s3,13.399581909179688,0.9999984502792358,1,1
level1-1,test-entity-101,test:l1:t1:prandomized:c5:i1,101000,arbitrary,11,3.6703923234071567e-10,randomized,1,s3,25.167308807373047,1.0,1,1
level1-0,test-entity-102,test:l1:t1:prandomized:c10:i2,010100,arbitrary,11,0.00024818387464620173,randomized,1,s3,10.769344329833984,0.9999788999557495,1,1
level1-1,test-entity-103,test:l1:t1:prandomized:c15:i3,111100,arbitrary,11,1.1929376930730484e-10,randomized,1,s3,26.245325088500977,1.0,1,1
level1-0,test-entity-104,test:l1:t1:prandomized:c20:i4,001010,arbitrary,11,0.0012011303333565593,randomized,1,s3,9.03016471862793,0.999880313873291,1,1
level1-1,test-entity-105,test:l1:t1:prandomized:c25:i5,100110,arbitrary,11,2.896812247854541e-06,randomized,1,s3,15.538009643554688,0.9999998807907104,1,1
level1-0,test-entity-106,test:l1:t1:prandomized:c30:i6,011110,arbitrary,11,0.0457751527428627,randomized,1,s3,4.841884613037109,0.9921696782112122,1,1
level1-1,test-entity-107,test:l1:t1:prandomized:c35:i7,110001,arbitrary,11,4.023189376312075e-06,randomized,1,s3,15.233552932739258,0.9999997615814209,1,1
level1-0,test-entity-108,test:l1:t1:prandomized:c40:i8,000101,arbitrary,11,0.007947470061480999,randomized,1,s3,7.067142486572266,0.9990525841712952,1,1
level1-1,test-entity-109,test:l1:t1:prandomized:c45:i9,101101,arbitrary,11,2.5622203025932322e-08,randomized,1,s3,21.199451446533203,1.0,1,1
level1-0,test-entity-110,test:l1:t1:prandomized:c50:i10,010011,arbitrary,11,0.08396334946155548,randomized,1,s3,4.434822082519531,0.9854728579521179,1,1
level1-1,test-entity-111,test:l1:t1:prandomized:c55:i11,111011,arbitrary,11,1.407971517153328e-08,randomized,1,s3,21.916688919067383,1.0,1,1
level1-0,test-entity-112,test:l1:t1:prandomized:c60:i12,001111,arbitrary,11,0.09747549891471863,randomized,1,s3,3.899566650390625,0.9801498055458069,1,1
level1-0,test-entity-113,test:l1:t1:prandomized:c0:i13,000000,arbitrary,11,9.220101492246613e-05,randomized,1,s3,11.84515380859375,0.999992847442627,1,1
level1-1,test-entity-114,test:l1:t1:prandomized:c5:i14,101000,arbitrary,11,5.674957725965157e-10,randomized,1,s3,24.70061683654785,1.0,1,1
level1-0,test-entity-115,test:l1:t1:prandomized:c10:i15,010100,arbitrary,11,0.0006134631112217903,randomized,1,s3,9.773551940917969,0.9999430179595947,1,1
level1-1,test-entity-116,test:l1:t1:prandomized:c15:i16,111100,arbitrary,11,2.3254684636264678e-11,randomized,1,s3,28.26886558532715,1.0,1,1
level1-0,test-entity-117,test:l1:t1:prandomized:c20:i17,001010,arbitrary,11,2.918937934737187e-05,randomized,1,s3,13.085468292236328,0.9999979734420776,1,1
level1-1,test-entity-118,test:l1:t1:prandomized:c25:i18,100110,arbitrary,11,4.269837461379211e-08,randomized,1,s3,19.97051239013672,1.0,1,1
level1-0,test-entity-119,test:l1:t1:prandomized:c30:i19,011110,arbitrary,11,0.0004101980593986809,randomized,1,s3,10.216327667236328,0.9999634027481079,1,1
level1-1,test-entity-120,test:l1:t1:prandomized:c35:i20,110001,arbitrary,11,2.0184799609523907e-07,randomized,1,s3,18.506362915039062,1.0,1,1
level1-0,test-entity-121,test:l1:t1:prandomized:c40:i21,000101,arbitrary,11,0.10185932368040085,randomized,1,s3,3.888448715209961,0.9795833230018616,1,1
level1-1,test-entity-122,test:l1:t1:prandomized:c45:i22,101101,arbitrary,11,6.221885229251711e-08,randomized,1,s3,19.63772201538086,1.0,1,1
level1-0,test-entity-123,test:l1:t1:prandomized:c50:i23,010011,arbitrary,11,0.0007920775678940117,randomized,1,s3,9.495258331298828,0.9999246597290039,1,1
level1-1,test-entity-124,test:l1:t1:prandomized:c55:i24,111011,arbitrary,11,3.9166351939456945e-07,randomized,1,s3,17.69215202331543,1.0,1,1
