accuracy,architecture,heads,layers,mean_margin,model_seed,n,required_path,split,width
0.4635416666666667,L4_W64_H4,4,4,-0.003755872448285421,11,384,4,test,64
0.46875,L4_W64_H4,4,4,-0.012055029471715292,11,384,6,test,64
0.4817708333333333,L4_W64_H4,4,4,0.00018264353275299072,11,384,8,test,64
0.515625,L4_W64_H4,4,4,0.002889340122540792,11,384,1,validation,64
0.5078125,L4_W64_H4,4,4,0.002546409765879313,11,384,12,validation,64
0.5364583333333334,L4_W64_H4,4,4,0.006498133142789205,11,384,16,validation,64
0.3932291666666667,L4_W64_H4,4,4,-0.003848165273666382,11,384,2,validation,64
0.5130208333333334,L4_W64_H4,4,4,0.004742244879404704,11,384,3,validation,64
0.4921875,L4_W64_H4,4,4,0.002240921060244242,11,384,4,validation,64
0.5338541666666666,L4_W64_H4,4,4,0.009388362367947897,11,384,6,validation,64
0.4635416666666667,L4_W64_H4,4,4,-0.0031992743412653604,11,384,8,validation,64
0.5677083333333334,L4_W64_H4,4,4,0.008023624618848165,23,384,1,test,64
0.453125,L4_W64_H4,4,4,-0.004613444209098816,23,384,12,test,64
0.6614583333333334,L4_W64_H4,4,4,0.025876422723134358,23,384,16,test,64
0.3984375,L4_W64_H4,4,4,-0.015056689580281576,23,384,2,test,64
0.6302083333333334,L4_W64_H4,4,4,0.01532443364461263,23,384,3,test,64
0.515625,L4_W64_H4,4,4,0.008393978079160055,23,384,4,test,64
0.453125,L4_W64_H4,4,4,-0.0008761535088221232,23,384,6,test,64
0.5651041666666666,L4_W64_H4,4,4,0.013915836811065674,23,384,8,test,64
0.5104166666666666,L4_W64_H4,4,4,0.002707516153653463,23,384,1,validation,64
0.5364583333333334,L4_W64_H4,4,4,0.004152546326319377,23,384,12,validation,64
0.4583333333333333,L4_W64_H4,4,4,-0.00605886181195577,23,384,16,validation,64
0.4817708333333333,L4_W64_H4,4,4,0.002405807375907898,23,384,2,validation,64
0.5026041666666666,L4_W64_H4,4,4,-0.006066376964251201,23,384,3,validation,64
0.3984375,L4_W64_H4,4,4,-0.013114740451176962,23,384,4,validation,64
0.5364583333333334,L4_W64_H4,4,4,0.00026081005732218426,23,384,6,validation,64
0.5260416666666666,L4_W64_H4,4,4,0.0034305155277252197,23,384,8,validation,64
0.5,L4_W64_H4,4,4,0.0008081297079722086,37,384,1,test,64
0.4479166666666667,L4_W64_H4,4,4,-0.011622428894042969,37,384,12,test,64
0.5703125,L4_W64_H4,4,4,0.004880011081695557,37,384,16,test,64
0.4479166666666667,L4_W64_H4,4,4,-0.001537710428237915,37,384,2,test,64
0.5338541666666666,L4_W64_H4,4,4,0.008287668228149414,37,384,3,test,64
0.4166666666666667,L4_W64_H4,4,4,-0.015171155333518982,37,384,4,test,64
0.640625,L4_W64_H4,4,4,0.017389540870984394,37,384,6,test,64
0.4973958333333333,L4_W64_H4,4,4,-0.004854122797648112,37,384,8,test,64
0.5572916666666666,L4_W64_H4,4,4,0.01068513592084249,37,384,1,validation,64
0.5859375,L4_W64_H4,4,4,0.005559782187143962,37,384,12,validation,64
0.5052083333333334,L4_W64_H4,4,4,0.0010511229435602825,37,384,16,validation,64
0.4609375,L4_W64_H4,4,4,-0.0025674551725387573,37,384,2,validation,64
0.4244791666666667,L4_W64_H4,4,4,-0.00970757007598877,37,384,3,validation,64
0.5390625,L4_W64_H4,4,4,-0.003675222396850586,37,384,4,validation,64
0.53125,L4_W64_H4,4,4,0.002157241106033325,37,384,6,validation,64
0.5260416666666666,L4_W64_H4,4,4,0.0068428417046864825,37,384,8,validation,64
0.4869791666666667,L8_W64_H4,4,8,-0.00698023537794749,11,384,1,test,64
0.4739583333333333,L8_W64_H4,4,8,-0.009257664283116659,11,384,12,test,64
0.4713541666666667,L8_W64_H4,4,8,-0.004496067762374878,11,384,16,test,64
0.4947916666666667,L8_W64_H4,4,8,0.010563333829243978,11,384,2,test,64
0.5104166666666666,L8_W64_H4,4,8,-0.008897453546524048,11,384,3,test,64
0.4557291666666667,L8_W64_H4,4,8,-0.001588741938273112,11,384,4,test,64
0.5104166666666666,L8_W64_H4,4,8,0.00010718901952107747,11,384,6,test,64
0.4947916666666667,L8_W64_H4,4,8,-0.01825004816055298,11,384,8,test,64
0.4453125,L8_W64_H4,4,8,-0.00132348636786143,11,384,1,validation,64
0.4609375,L8_W64_H4,4,8,-0.010991101463635763,11,384,12,validation,64
0.4557291666666667,L8_W64_H4,4,8,-0.005779743194580078,11,384,16,validation,64
0.5130208333333334,L8_W64_H4,4,8,0.0011963148911794026,11,384,2,validation,64
0.4869791666666667,L8_W64_H4,4,8,-0.009022379914919535,11,384,3,validation,64
0.4947916666666667,L8_W64_H4,4,8,0.005008344848950704,11,384,4,validation,64
0.5104166666666666,L8_W64_H4,4,8,0.0007885644833246867,11,384,6,validation,64
0.4895833333333333,L8_W64_H4,4,8,0.004197801152865092,11,384,8,validation,64
0.5,L8_W64_H4,4,8,-0.0023490190505981445,23,384,1,test,64
0.5104166666666666,L8_W64_H4,4,8,0.008548388878504435,23,384,12,test,64
0.4973958333333333,L8_W64_H4,4,8,0.003172496954600016,23,384,16,test,64
0.5182291666666666,L8_W64_H4,4,8,-0.003049661715825399,23,384,2,test,64
0.5130208333333334,L8_W64_H4,4,8,0.007016857465108235,23,384,3,test,64
0.4895833333333333,L8_W64_H4,4,8,0.0026658326387405396,23,384,4,test,64
0.4869791666666667,L8_W64_H4,4,8,-0.004397198557853699,23,384,6,test,64
