accuracy,architecture,heads,layers,mean_margin,model_seed,n,position_mode,required_path,split,template_id,tree_seed,width
0.625,L2_W64_H4,4,2,-0.004032254219055176,11,16,aligned,4,test,0,307,64
0.5625,L2_W64_H4,4,2,0.002444028854370117,11,16,randomized,4,test,0,101,64
0.5,L2_W64_H4,4,2,-0.003753066062927246,11,16,randomized,4,test,0,211,64
0.4375,L2_W64_H4,4,2,-0.025011539459228516,11,16,randomized,4,test,0,307,64
0.3125,L2_W64_H4,4,2,-0.014523029327392578,11,16,aligned,4,test,1,101,64
0.5625,L2_W64_H4,4,2,0.012950778007507324,11,16,aligned,4,test,1,211,64
0.625,L2_W64_H4,4,2,-0.004095315933227539,11,16,aligned,4,test,1,307,64
0.5625,L2_W64_H4,4,2,0.0013210773468017578,11,16,randomized,4,test,1,101,64
0.5,L2_W64_H4,4,2,-0.0036908388137817383,11,16,randomized,4,test,1,211,64
0.4375,L2_W64_H4,4,2,-0.022553682327270508,11,16,randomized,4,test,1,307,64
0.3125,L2_W64_H4,4,2,-0.013087153434753418,11,16,aligned,4,test,2,101,64
0.5625,L2_W64_H4,4,2,0.009854793548583984,11,16,aligned,4,test,2,211,64
0.5625,L2_W64_H4,4,2,-0.006100654602050781,11,16,aligned,4,test,2,307,64
0.5,L2_W64_H4,4,2,-0.00011789798736572266,11,16,randomized,4,test,2,101,64
0.625,L2_W64_H4,4,2,0.022254586219787598,11,16,randomized,4,test,2,211,64
0.4375,L2_W64_H4,4,2,-0.022908926010131836,11,16,randomized,4,test,2,307,64
0.3125,L2_W64_H4,4,2,-0.015743374824523926,11,16,aligned,4,test,3,101,64
0.5625,L2_W64_H4,4,2,0.011127948760986328,11,16,aligned,4,test,3,211,64
0.625,L2_W64_H4,4,2,-0.003664851188659668,11,16,aligned,4,test,3,307,64
0.5,L2_W64_H4,4,2,0.0034636259078979492,11,16,randomized,4,test,3,101,64
0.625,L2_W64_H4,4,2,0.021550774574279785,11,16,randomized,4,test,3,211,64
0.4375,L2_W64_H4,4,2,-0.025477886199951172,11,16,randomized,4,test,3,307,64
0.4375,L2_W64_H4,4,2,-0.02210819721221924,11,16,aligned,6,test,0,101,64
0.5,L2_W64_H4,4,2,0.010875344276428223,11,16,aligned,6,test,0,211,64
0.5,L2_W64_H4,4,2,0.017788171768188477,11,16,aligned,6,test,0,307,64
0.375,L2_W64_H4,4,2,-0.011322975158691406,11,16,randomized,6,test,0,101,64
0.4375,L2_W64_H4,4,2,0.0017639398574829102,11,16,randomized,6,test,0,211,64
0.5625,L2_W64_H4,4,2,0.02910900115966797,11,16,randomized,6,test,0,307,64
0.4375,L2_W64_H4,4,2,-0.029327869415283203,11,16,aligned,6,test,1,101,64
0.5,L2_W64_H4,4,2,0.012474894523620605,11,16,aligned,6,test,1,211,64
0.5,L2_W64_H4,4,2,0.01888442039489746,11,16,aligned,6,test,1,307,64
0.375,L2_W64_H4,4,2,-0.01147913932800293,11,16,randomized,6,test,1,101,64
0.4375,L2_W64_H4,4,2,0.0033235549926757812,11,16,randomized,6,test,1,211,64
0.5625,L2_W64_H4,4,2,0.027498841285705566,11,16,randomized,6,test,1,307,64
0.4375,L2_W64_H4,4,2,-0.027919411659240723,11,16,aligned,6,test,2,101,64
0.5,L2_W64_H4,4,2,0.01104724407196045,11,16,aligned,6,test,2,211,64
0.5,L2_W64_H4,4,2,0.01690089702606201,11,16,aligned,6,test,2,307,64
0.5,L2_W64_H4,4,2,-0.004540443420410156,11,16,randomized,6,test,2,101,64
0.5625,L2_W64_H4,4,2,0.018487215042114258,11,16,randomized,6,test,2,211,64
0.5625,L2_W64_H4,4,2,0.015978217124938965,11,16,randomized,6,test,2,307,64
0.4375,L2_W64_H4,4,2,-0.03146171569824219,11,16,aligned,6,test,3,101,64
0.5,L2_W64_H4,4,2,0.01064598560333252,11,16,aligned,6,test,3,211,64
0.5,L2_W64_H4,4,2,0.01885855197906494,11,16,aligned,6,test,3,307,64
0.5,L2_W64_H4,4,2,-0.004374265670776367,11,16,randomized,6,test,3,101,64
0.5625,L2_W64_H4,4,2,0.01992201805114746,11,16,randomized,6,test,3,211,64
0.5625,L2_W64_H4,4,2,0.016301751136779785,11,16,randomized,6,test,3,307,64
0.5,L2_W64_H4,4,2,0.010044217109680176,11,16,aligned,8,test,0,101,64
0.5,L2_W64_H4,4,2,-0.019401192665100098,11,16,aligned,8,test,0,211,64
0.3125,L2_W64_H4,4,2,-0.044251084327697754,11,16,aligned,8,test,0,307,64
0.6875,L2_W64_H4,4,2,0.022403478622436523,11,16,randomized,8,test,0,101,64
0.3125,L2_W64_H4,4,2,-0.009656071662902832,11,16,randomized,8,test,0,211,64
0.5625,L2_W64_H4,4,2,0.00811624526977539,11,16,randomized,8,test,0,307,64
0.5,L2_W64_H4,4,2,0.017381906509399414,11,16,aligned,8,test,1,101,64
0.5,L2_W64_H4,4,2,-0.02098548412322998,11,16,aligned,8,test,1,211,64
0.3125,L2_W64_H4,4,2,-0.04514110088348389,11,16,aligned,8,test,1,307,64
0.6875,L2_W64_H4,4,2,0.022663116455078125,11,16,randomized,8,test,1,101,64
0.3125,L2_W64_H4,4,2,-0.00929403305053711,11,16,randomized,8,test,1,211,64
0.5625,L2_W64_H4,4,2,0.007721066474914551,11,16,randomized,8,test,1,307,64
0.5,L2_W64_H4,4,2,0.017316222190856934,11,16,aligned,8,test,2,101,64
0.5,L2_W64_H4,4,2,-0.018714308738708496,11,16,aligned,8,test,2,211,64
0.3125,L2_W64_H4,4,2,-0.0422823429107666,11,16,aligned,8,test,2,307,64
0.625,L2_W64_H4,4,2,0.0006694793701171875,11,16,randomized,8,test,2,101,64
0.375,L2_W64_H4,4,2,0.009182095527648926,11,16,randomized,8,test,2,211,64
0.4375,L2_W64_H4,4,2,-0.025381803512573242,11,16,randomized,8,test,2,307,64
0.5,L2_W64_H4,4,2,0.012975573539733887,11,16,aligned,8,test,3,101,64
0.5,L2_W64_H4,4,2,-0.02156686782836914,11,16,aligned,8,test,3,211,64
0.3125,L2_W64_H4,4,2,-0.045084357261657715,11,16,aligned,8,test,3,307,64
0.625,L2_W64_H4,4,2,-0.003121614456176758,11,16,randomized,8,test,3,101,64
0.375,L2_W64_H4,4,2,0.007831454277038574,11,16,randomized,8,test,3,211,64
0.5,L2_W64_H4,4,2,-0.02700364589691162,11,16,randomized,8,test,3,307,64
0.625,L2_W64_H4,4,2,0.04887568950653076,11,16,aligned,1,validation,0,101,64
0.375,L2_W64_H4,4,2,-0.04806077480316162,11,16,aligned,1,validation,0,211,64
0.5,L2_W64_H4,4,2,-0.02992713451385498,11,16,aligned,1,validation,0,307,64
