architecture,branching,budget_multiplier,diagnostic_tier,distractors,evaluation_axis,example_id,heads,label_mode,model_depth,model_seed,output_entropy,position_mode,predicate,required_path,sequence_length,target_margin,target_probability,target_rank,template_id,top1_correct,total_depth,tree_seed,width
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t0:paligned:tree101:i0,4,arbitrary,4,11,2.7187490463256836,aligned,parent,1,16,2.1120128631591797,0.464206337928772,1,0,1,3,101,64
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t1:paligned:tree101:i1,4,arbitrary,4,11,2.841858148574829,aligned,parent,1,16,1.1655082702636719,0.3624172508716583,1,1,1,3,101,64
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t2:paligned:tree101:i2,4,arbitrary,4,11,2.6188607215881348,aligned,parent,1,16,-1.905012607574463,0.05977553129196167,3,2,0,3,101,64
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t3:paligned:tree101:i3,4,arbitrary,4,11,2.201857089996338,aligned,parent,1,16,1.056839942932129,0.4647586941719055,1,3,1,3,101,64
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t3:prandomized:tree101:i7,4,arbitrary,4,11,2.5579745769500732,randomized,parent,1,16,-0.06612873077392578,0.1989675909280777,2,3,0,3,101,64
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t0:paligned:tree211:i0,4,arbitrary,4,11,2.8996224403381348,aligned,parent,1,16,2.068545341491699,0.43628227710723877,1,0,1,3,211,64
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t1:paligned:tree211:i1,4,arbitrary,4,11,2.957352876663208,aligned,parent,1,16,-0.8051109313964844,0.11671651899814606,3,1,0,3,211,64
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t2:paligned:tree211:i2,4,arbitrary,4,11,1.3798469305038452,aligned,parent,1,16,0.44388389587402344,0.5023738741874695,1,2,1,3,211,64
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t3:paligned:tree211:i3,4,arbitrary,4,11,1.9559928178787231,aligned,parent,1,16,-4.14402437210083,0.008505390025675297,12,3,0,3,211,64
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t0:paligned:tree307:i0,4,arbitrary,4,11,1.7328680753707886,aligned,parent,1,16,-3.7039008140563965,0.017071405425667763,6,0,0,3,307,64
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t1:paligned:tree307:i1,4,arbitrary,4,11,0.3585580885410309,aligned,parent,1,16,-6.406145095825195,0.0015510600060224533,5,1,0,3,307,64
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t2:paligned:tree307:i2,4,arbitrary,4,11,3.5909833908081055,aligned,parent,1,16,0.18236923217773438,0.16679081320762634,1,2,1,3,307,64
baseline,2,2,easy,4,depth_path,test:parent:D3:d1:b2:N4:t3:paligned:tree307:i3,4,arbitrary,4,11,1.0585366487503052,aligned,parent,1,16,-2.553010940551758,0.06307283043861389,2,3,0,3,307,64
baseline,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:prandomized:tree101:i4,4,arbitrary,4,11,0.5723012685775757,randomized,grandparent,2,16,1.9038801193237305,0.8481457233428955,1,0,1,2,101,64
baseline,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:prandomized:tree211:i6,4,arbitrary,4,11,2.1408209800720215,randomized,grandparent,2,16,-4.760878562927246,0.005064129829406738,21,2,0,2,211,64
baseline,2,2,easy,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:prandomized:tree307:i4,4,arbitrary,4,11,0.7781601548194885,randomized,grandparent,2,16,3.827251434326172,0.8747780323028564,1,0,1,2,307,64
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t0:paligned:tree101:i0,4,arbitrary,4,11,2.613818883895874,aligned,grandparent,2,16,-6.279070854187012,0.0009085252531804144,68,0,0,3,101,64
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t1:paligned:tree101:i1,4,arbitrary,4,11,2.850696563720703,aligned,grandparent,2,16,-1.874222755432129,0.05508846417069435,4,1,0,3,101,64
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t2:paligned:tree101:i2,4,arbitrary,4,11,2.637434720993042,aligned,grandparent,2,16,-1.1909189224243164,0.11920704692602158,2,2,0,3,101,64
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t3:paligned:tree101:i3,4,arbitrary,4,11,2.259890556335449,aligned,grandparent,2,16,-3.5710320472717285,0.012582292780280113,12,3,0,3,101,64
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t3:prandomized:tree101:i7,4,arbitrary,4,11,2.5581579208374023,randomized,grandparent,2,16,-0.7108602523803711,0.10292669385671616,4,3,0,3,101,64
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t0:paligned:tree211:i0,4,arbitrary,4,11,2.889453649520874,aligned,grandparent,2,16,-4.866762161254883,0.003343302756547928,40,0,0,3,211,64
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t1:paligned:tree211:i1,4,arbitrary,4,11,2.980405330657959,aligned,grandparent,2,16,0.778045654296875,0.25959962606430054,1,1,1,3,211,64
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t2:paligned:tree211:i2,4,arbitrary,4,11,1.4171295166015625,aligned,grandparent,2,16,-0.5626115798950195,0.2884894609451294,2,2,0,3,211,64
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t3:paligned:tree211:i3,4,arbitrary,4,11,1.9206041097640991,aligned,grandparent,2,16,-1.3899517059326172,0.137670636177063,2,3,0,3,211,64
