architecture_depth,dependency_span,family_id,first_top1_layer,model_seed,nuisance_count,pattern_length,position_mode,predictive_order,regime,settling_delay,span_mode,stable_top1_layer,top1_reversal_count
8,3,"redundant:(1, 1):5",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(2, 3):6",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(2, 2):7",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(2, 1):1",4,11,2,2,randomized,2,redundant,2,sparse,6,3
8,3,"redundant:(0, 1):2",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(2, 1):3",4,11,2,2,randomized,2,redundant,0,sparse,4,1
8,3,"redundant:(0, 3):5",5,11,2,2,randomized,2,redundant,0,sparse,5,1
8,3,"redundant:(2, 2):6",3,11,2,2,randomized,2,redundant,0,sparse,3,1
8,3,"redundant:(3, 3):7",7,11,2,2,randomized,2,redundant,2,sparse,9,3
8,2,"redundant:(2, 2):0",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 0):1",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 1):2",4,11,4,2,aligned,2,redundant,0,contiguous,4,1
8,2,"redundant:(3, 0):3",7,11,4,2,aligned,2,redundant,0,contiguous,7,1
8,2,"redundant:(1, 3):4",3,11,4,2,aligned,2,redundant,4,contiguous,7,3
8,2,"redundant:(3, 2):5",5,11,4,2,aligned,2,redundant,4,contiguous,9,3
8,2,"redundant:(3, 2):6",5,11,4,2,aligned,2,redundant,4,contiguous,9,3
8,2,"redundant:(3, 2):7",5,11,4,2,aligned,2,redundant,4,contiguous,9,3
8,2,"redundant:(3, 1):0",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(0, 1):1",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(3, 1):2",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(3, 3):3",10,11,4,2,aligned,2,redundant,8,contiguous,18,3
8,2,"redundant:(0, 1):4",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(1, 2):5",6,11,4,2,aligned,2,redundant,0,contiguous,6,1
8,2,"redundant:(1, 2):6",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 1):7",8,11,4,2,aligned,2,redundant,0,contiguous,8,1
8,2,"redundant:(1, 3):0",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(0, 2):1",5,11,4,2,aligned,2,redundant,0,contiguous,5,1
8,2,"redundant:(2, 0):2",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(0, 3):4",5,11,4,2,aligned,2,redundant,0,contiguous,5,1
8,2,"redundant:(1, 3):5",3,11,4,2,aligned,2,redundant,2,contiguous,5,3
8,2,"redundant:(2, 1):6",4,11,4,2,aligned,2,redundant,0,contiguous,4,1
8,2,"redundant:(1, 2):7",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(3, 2):0",5,11,4,2,aligned,2,redundant,4,contiguous,9,3
8,2,"redundant:(1, 3):1",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(1, 2):2",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 3):3",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(1, 0):4",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 2):6",3,11,4,2,aligned,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 2):0",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 0):1",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 1):2",4,11,4,2,randomized,2,redundant,0,contiguous,4,1
8,2,"redundant:(3, 0):3",7,11,4,2,randomized,2,redundant,0,contiguous,7,1
8,2,"redundant:(1, 3):4",3,11,4,2,randomized,2,redundant,6,contiguous,9,5
8,2,"redundant:(3, 2):5",5,11,4,2,randomized,2,redundant,4,contiguous,9,3
8,2,"redundant:(3, 2):6",5,11,4,2,randomized,2,redundant,4,contiguous,9,3
8,2,"redundant:(3, 2):7",5,11,4,2,randomized,2,redundant,4,contiguous,9,3
8,2,"redundant:(3, 1):0",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(0, 1):1",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(3, 1):2",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(3, 3):3",10,11,4,2,randomized,2,redundant,8,contiguous,18,3
8,2,"redundant:(0, 1):4",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(1, 2):5",6,11,4,2,randomized,2,redundant,0,contiguous,6,1
8,2,"redundant:(1, 2):6",5,11,4,2,randomized,2,redundant,0,contiguous,5,1
8,2,"redundant:(2, 1):7",8,11,4,2,randomized,2,redundant,4,contiguous,12,3
8,2,"redundant:(1, 3):0",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(0, 2):1",5,11,4,2,randomized,2,redundant,0,contiguous,5,1
8,2,"redundant:(2, 0):2",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(0, 3):4",5,11,4,2,randomized,2,redundant,0,contiguous,5,1
8,2,"redundant:(1, 3):5",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 1):6",4,11,4,2,randomized,2,redundant,7,contiguous,11,5
8,2,"redundant:(1, 2):7",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(3, 2):0",5,11,4,2,randomized,2,redundant,4,contiguous,9,3
8,2,"redundant:(1, 3):1",3,11,4,2,randomized,2,redundant,4,contiguous,7,3
8,2,"redundant:(1, 2):2",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(2, 3):3",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
8,2,"redundant:(1, 0):4",3,11,4,2,randomized,2,redundant,0,contiguous,3,1
