architecture_depth,block_update_cosine,ff_update_cosine,layer,long_length,model_seed,regime,sa_update_cosine,short_length
8,0.5767568945884705,0.9697118401527405,4,3,11,redundant,0.5158120393753052,2
8,0.9411030411720276,0.38304567337036133,4,3,11,redundant,0.9562642574310303,2
8,-0.18472030758857727,0.5026570558547974,4,3,11,redundant,-0.335036039352417,2
8,0.22181159257888794,0.6429847478866577,4,3,11,redundant,0.15345484018325806,2
8,-0.7398592233657837,-0.7856196165084839,4,3,11,redundant,-0.7501922249794006,2
8,0.873432457447052,0.03789025545120239,4,3,11,redundant,0.9005879163742065,2
8,0.3162456750869751,0.8773277401924133,4,3,11,redundant,0.2526940107345581,2
8,0.8434827923774719,0.9274399280548096,4,3,11,redundant,0.8159030079841614,2
8,0.6860865354537964,0.43519842624664307,4,3,11,redundant,0.6850091218948364,2
8,-0.20139776170253754,0.5899853110313416,4,3,11,redundant,-0.2634495794773102,2
8,0.27533575892448425,0.8437336683273315,4,3,11,redundant,0.0304799173027277,2
8,-0.7719006538391113,-0.34784775972366333,4,3,11,redundant,-0.797133207321167,2
8,-0.20574338734149933,0.6357150077819824,4,3,11,redundant,-0.2201128900051117,2
8,0.9920980930328369,0.6555081009864807,4,3,11,redundant,0.994065523147583,2
8,0.7414580583572388,0.8965177536010742,4,3,11,redundant,0.7974846363067627,2
8,-0.24978484213352203,-0.36756670475006104,4,3,11,redundant,-0.06435691565275192,2
8,-0.1760534644126892,-0.34966209530830383,4,3,11,redundant,0.12190458178520203,2
8,0.7150954008102417,0.7436611652374268,4,3,11,redundant,0.6928627490997314,2
8,-0.018625736236572266,0.6732514500617981,4,3,11,redundant,-0.13497774302959442,2
8,0.9390513300895691,0.7275615334510803,4,3,11,supportive,0.8729687929153442,2
8,0.7055082321166992,0.6845836043357849,4,3,11,supportive,0.6646174788475037,2
8,0.9969998598098755,0.9945735931396484,4,3,11,supportive,0.9988467693328857,2
8,0.7574042081832886,0.5947601199150085,4,3,11,supportive,0.7942878603935242,2
8,-0.44134971499443054,0.9633588790893555,4,3,11,supportive,-0.5286004543304443,2
8,0.10606499761343002,0.801042914390564,4,3,11,supportive,0.005851425230503082,2
8,0.5471938848495483,0.4744115471839905,4,3,11,supportive,0.5512880086898804,2
8,0.6341074705123901,0.3492949306964874,4,3,11,supportive,0.6742885708808899,2
8,-0.5921827554702759,0.2240307331085205,4,3,11,supportive,-0.6110433340072632,2
8,-0.658981204032898,0.6669193506240845,4,3,11,supportive,-0.756962239742279,2
8,0.5701008439064026,0.9541034698486328,4,3,11,supportive,0.3835754990577698,2
8,0.38023507595062256,0.2753889262676239,4,3,11,supportive,0.5483609437942505,2
8,-0.15566006302833557,0.3221112787723541,4,3,11,supportive,-0.2100716084241867,2
8,0.460679292678833,0.7451770305633545,4,3,11,supportive,0.21889200806617737,2
8,0.9905582666397095,0.5676225423812866,4,3,11,supportive,0.9946586489677429,2
8,0.12367244064807892,0.6925025582313538,4,3,11,supportive,0.028467904776334763,2
8,0.227865532040596,-0.14514580368995667,4,3,11,supportive,0.3650006055831909,2
8,0.5378642082214355,0.8321017622947693,4,3,11,supportive,0.530178427696228,2
8,-0.4614717364311218,0.5366889834403992,4,3,11,supportive,-0.5291223526000977,2
8,0.9950616359710693,0.9979023337364197,4,3,11,supportive,0.9947013258934021,2
8,0.9700175523757935,0.9998723268508911,4,3,11,supportive,0.9458028674125671,2
8,-0.8479060530662537,-0.7609485387802124,4,3,11,supportive,-0.8438825607299805,2
8,-0.09237422049045563,0.839121401309967,4,3,11,supportive,-0.17442841827869415,2
8,-0.10733816027641296,0.31717073917388916,4,3,11,supportive,-0.21953804790973663,2
8,0.1523839235305786,0.5436831116676331,4,3,11,supportive,0.12294334918260574,2
8,0.7055082321166992,0.6845836043357849,4,3,11,supportive,0.6646174788475037,2
8,0.4137181341648102,0.5618828535079956,4,3,11,supportive,0.2738706171512604,2
8,0.6943844556808472,0.828391432762146,4,3,11,supportive,0.6648489236831665,2
8,0.9905582666397095,0.5676225423812866,4,3,11,supportive,0.9946586489677429,2
8,0.7055082321166992,0.6845836043357849,4,3,11,supportive,0.6646174788475037,2
8,0.9554470181465149,0.20086854696273804,4,3,11,supportive,0.9580228328704834,2
8,0.9969998002052307,0.9945736527442932,4,3,11,supportive,0.998846709728241,2
8,-0.4386862516403198,0.12063721567392349,5,3,11,redundant,-0.371768593788147,2
8,0.8848949670791626,0.7405533194541931,5,3,11,redundant,0.9732968807220459,2
8,0.12237510085105896,0.8443660736083984,5,3,11,redundant,-0.31231844425201416,2
8,0.7622275352478027,0.9868386387825012,5,3,11,redundant,0.7389253377914429,2
8,-0.19088304042816162,0.660885214805603,5,3,11,redundant,0.08840227127075195,2
8,0.8693612813949585,0.7165263295173645,5,3,11,redundant,0.8465712070465088,2
8,0.9580020904541016,0.9797720909118652,5,3,11,redundant,0.921403706073761,2
8,0.8648179769515991,0.681593120098114,5,3,11,redundant,0.840458333492279,2
8,-0.5429245233535767,0.9431397914886475,5,3,11,redundant,-0.62359619140625,2
8,-0.5432224869728088,0.9434053897857666,5,3,11,redundant,-0.6237294673919678,2
