accuracy,architecture_depth,mean_final_margin,model_seed,n,nuisance_count,pattern_length,position_mode,regime,span_mode
1.0,8,11.581320226192474,11,32,8,2,aligned,necessary,contiguous
1.0,8,10.372625291347504,11,32,8,2,randomized,necessary,contiguous
1.0,8,11.364367246627808,11,32,8,2,aligned,necessary,sparse
1.0,8,10.300949960947037,11,32,8,2,randomized,necessary,sparse
0.90625,8,3.3955574333667755,11,32,0,3,aligned,necessary,contiguous
0.84375,8,1.3699935972690582,11,32,0,3,randomized,necessary,contiguous
0.96875,8,3.4237836450338364,11,32,0,3,aligned,necessary,sparse
0.90625,8,1.5579410940408707,11,32,0,3,randomized,necessary,sparse
0.875,8,3.872836872935295,11,32,2,3,aligned,necessary,contiguous
0.78125,8,1.34965381026268,11,32,2,3,randomized,necessary,contiguous
0.90625,8,3.536591589450836,11,32,2,3,aligned,necessary,sparse
0.8125,8,1.1281767785549164,11,32,2,3,randomized,necessary,sparse
0.9375,8,4.433700397610664,11,32,4,3,aligned,necessary,contiguous
0.75,8,0.5945039391517639,11,32,4,3,randomized,necessary,contiguous
0.90625,8,3.651199609041214,11,32,4,3,aligned,necessary,sparse
0.71875,8,0.8874295353889465,11,32,4,3,randomized,necessary,sparse
0.96875,8,4.133847385644913,11,32,8,3,aligned,necessary,contiguous
0.59375,8,0.5017227828502655,11,32,8,3,randomized,necessary,contiguous
1.0,8,3.9553457647562027,11,32,8,3,aligned,necessary,sparse
0.75,8,0.7949246168136597,11,32,8,3,randomized,necessary,sparse
0.5,8,-0.10070084035396576,11,32,0,4,aligned,necessary,contiguous
0.46875,8,-0.2148994505405426,11,32,0,4,randomized,necessary,contiguous
0.5,8,-0.10859555006027222,11,32,0,4,aligned,necessary,sparse
0.46875,8,-0.21199022233486176,11,32,0,4,randomized,necessary,sparse
0.46875,8,-0.01809561252593994,11,32,2,4,aligned,necessary,contiguous
0.46875,8,-0.18512997031211853,11,32,2,4,randomized,necessary,contiguous
0.46875,8,0.0792141854763031,11,32,2,4,aligned,necessary,sparse
0.4375,8,-0.08692465722560883,11,32,2,4,randomized,necessary,sparse
0.53125,8,0.3965051621198654,11,32,4,4,aligned,necessary,contiguous
0.53125,8,0.1329372376203537,11,32,4,4,randomized,necessary,contiguous
0.65625,8,0.42179907858371735,11,32,4,4,aligned,necessary,sparse
0.5625,8,0.09930016100406647,11,32,4,4,randomized,necessary,sparse
0.5,8,-0.07971705496311188,11,32,8,4,aligned,necessary,contiguous
0.46875,8,-0.11220395565032959,11,32,8,4,randomized,necessary,contiguous
0.5625,8,0.0651773065328598,11,32,8,4,aligned,necessary,sparse
0.40625,8,-0.19354525208473206,11,32,8,4,randomized,necessary,sparse
0.4375,8,-0.2564731538295746,11,32,0,6,aligned,necessary,contiguous
0.40625,8,-0.16177040338516235,11,32,0,6,randomized,necessary,contiguous
0.34375,8,-0.23493167757987976,11,32,0,6,aligned,necessary,sparse
0.34375,8,-0.25053852796554565,11,32,0,6,randomized,necessary,sparse
0.40625,8,-0.29137901961803436,11,32,2,6,aligned,necessary,contiguous
0.21875,8,-0.420785054564476,11,32,2,6,randomized,necessary,contiguous
0.28125,8,-0.3515070378780365,11,32,2,6,aligned,necessary,sparse
0.25,8,-0.37780022621154785,11,32,2,6,randomized,necessary,sparse
0.40625,8,-0.12601244449615479,11,32,4,6,aligned,necessary,contiguous
0.46875,8,-0.17331530153751373,11,32,4,6,randomized,necessary,contiguous
0.40625,8,-0.09750568866729736,11,32,4,6,aligned,necessary,sparse
0.25,8,-0.3532730042934418,11,32,4,6,randomized,necessary,sparse
0.25,8,-0.49378861486911774,11,32,8,6,aligned,necessary,contiguous
0.1875,8,-0.5475182235240936,11,32,8,6,randomized,necessary,contiguous
0.25,8,-0.45744045078754425,11,32,8,6,aligned,necessary,sparse
0.25,8,-0.4779129922389984,11,32,8,6,randomized,necessary,sparse
0.21875,8,-0.23861607909202576,11,32,0,8,aligned,necessary,contiguous
0.28125,8,-0.1804540455341339,11,32,0,8,randomized,necessary,contiguous
0.25,8,-0.2337535321712494,11,32,0,8,aligned,necessary,sparse
0.25,8,-0.2565656304359436,11,32,0,8,randomized,necessary,sparse
0.15625,8,-0.3627195954322815,11,32,2,8,aligned,necessary,contiguous
0.1875,8,-0.3598070442676544,11,32,2,8,randomized,necessary,contiguous
0.1875,8,-0.3352387845516205,11,32,2,8,aligned,necessary,sparse
0.21875,8,-0.4625406563282013,11,32,2,8,randomized,necessary,sparse
0.25,8,-0.146280437707901,11,32,4,8,aligned,necessary,contiguous
0.46875,8,-0.08176049590110779,11,32,4,8,randomized,necessary,contiguous
0.34375,8,-0.12325546145439148,11,32,4,8,aligned,necessary,sparse
0.40625,8,-0.12832805514335632,11,32,4,8,randomized,necessary,sparse
0.15625,8,-0.4797700494527817,11,32,8,8,aligned,necessary,contiguous
0.1875,8,-0.4797550141811371,11,32,8,8,randomized,necessary,contiguous
0.15625,8,-0.4442259967327118,11,32,8,8,aligned,necessary,sparse
0.125,8,-0.47345031797885895,11,32,8,8,randomized,necessary,sparse
