competent,correct_accuracy,examples,heads,layers,majority_baseline,mean_target_margin,no_context_accuracy,seed,selectivity,shuffled_accuracy,split,uniform_baseline,variant,width,wrong_rule_accuracy
0,0.08333333333333333,240,4,2,0.09583333333333334,-0.9502918382485708,0.05416666666666667,23,0.0,0.07916666666666666,unseen_parameter,0.11930735930735929,sa_only,64,0.08333333333333333
0,0.125,96,4,2,0.16666666666666666,-0.8991695592800776,0.09375,23,0.02083333333333333,0.10416666666666667,unseen_family,0.14458874458874454,sa_only,64,0.10416666666666667
0,0.15081521739130435,736,4,2,0.11820652173913043,-0.946386447419291,0.12771739130434784,37,-0.010869565217391297,0.15896739130434784,seen_parameter,0.12106154714850367,sa_only,64,0.16168478260869565
0,0.075,240,4,2,0.09583333333333334,-1.056658500432968,0.0875,37,-0.029166666666666674,0.08333333333333333,unseen_parameter,0.11930735930735929,sa_only,64,0.10416666666666667
0,0.125,96,4,2,0.16666666666666666,-1.0227188517649968,0.13541666666666666,37,-0.020833333333333343,0.14583333333333334,unseen_family,0.14458874458874454,sa_only,64,0.125
0,0.13994565217391305,736,4,2,0.11820652173913043,-1.189437854549159,0.11684782608695653,11,0.019021739130434798,0.12092391304347826,seen_parameter,0.12106154714850367,sa_ff,64,0.11413043478260869
0,0.07916666666666666,240,4,2,0.09583333333333334,-1.457390401760737,0.10416666666666667,11,-0.04166666666666667,0.12083333333333333,unseen_parameter,0.11930735930735929,sa_ff,64,0.09166666666666666
0,0.17708333333333334,96,4,2,0.16666666666666666,-1.205833171804746,0.21875,11,-0.04166666666666666,0.20833333333333334,unseen_family,0.14458874458874454,sa_ff,64,0.16666666666666666
0,0.10869565217391304,736,4,2,0.11820652173913043,-1.8740900456905365,0.12092391304347826,23,-0.01766304347826088,0.12635869565217392,seen_parameter,0.12106154714850367,sa_ff,64,0.09375
0,0.09583333333333334,240,4,2,0.09583333333333334,-1.8345129549503327,0.1125,23,-0.02916666666666666,0.1125,unseen_parameter,0.11930735930735929,sa_ff,64,0.125
0,0.08333333333333333,96,4,2,0.16666666666666666,-2.2799167186021805,0.125,23,-0.07291666666666667,0.13541666666666666,unseen_family,0.14458874458874454,sa_ff,64,0.15625
0,0.10461956521739131,736,4,2,0.11820652173913043,-2.718730060302693,0.09782608695652174,37,-0.033967391304347824,0.13858695652173914,seen_parameter,0.12106154714850367,sa_ff,64,0.11820652173913043
0,0.12083333333333333,240,4,2,0.09583333333333334,-2.798463358481725,0.075,37,-0.02083333333333333,0.12083333333333333,unseen_parameter,0.11930735930735929,sa_ff,64,0.14166666666666666
0,0.10416666666666667,96,4,2,0.16666666666666666,-2.751795843243599,0.15625,37,-0.05208333333333333,0.09375,unseen_family,0.14458874458874454,sa_ff,64,0.125
