condition,episode_id,family,heads,layers,modulus,parameters,seed,split,target,target_margin,target_rank,top1,variant,width
none,dcd715802bb3b6f1,multiply_a,1,1,5,1,11,seen_parameter,2,0.24338579177856445,1,1,sa_only,32
shuffled,dcd715802bb3b6f1,multiply_a,1,1,5,1,11,seen_parameter,2,1.4861650466918945,1,1,sa_only,32
wrong_rule,dcd715802bb3b6f1,multiply_a,1,1,5,1,11,seen_parameter,2,1.4408493041992188,1,1,sa_only,32
correct,23361052213ceb20,multiply_a,1,1,5,1,11,seen_parameter,4,0.8782005310058594,1,1,sa_only,32
none,23361052213ceb20,multiply_a,1,1,5,1,11,seen_parameter,4,0.9699883460998535,1,1,sa_only,32
shuffled,23361052213ceb20,multiply_a,1,1,5,1,11,seen_parameter,4,0.8435873985290527,1,1,sa_only,32
wrong_rule,23361052213ceb20,multiply_a,1,1,5,1,11,seen_parameter,4,0.9033093452453613,1,1,sa_only,32
correct,bcb5b1f7b060f964,multiply_a,1,1,5,1,11,seen_parameter,2,1.270251750946045,1,1,sa_only,32
none,bcb5b1f7b060f964,multiply_a,1,1,5,1,11,seen_parameter,2,0.24338579177856445,1,1,sa_only,32
shuffled,bcb5b1f7b060f964,multiply_a,1,1,5,1,11,seen_parameter,2,1.3097901344299316,1,1,sa_only,32
wrong_rule,bcb5b1f7b060f964,multiply_a,1,1,5,1,11,seen_parameter,2,1.160029411315918,1,1,sa_only,32
correct,c1bbacd917e0d1fd,multiply_a,1,1,5,4,11,seen_parameter,1,-1.992992877960205,5,0,sa_only,32
none,c1bbacd917e0d1fd,multiply_a,1,1,5,4,11,seen_parameter,1,-2.0032873153686523,5,0,sa_only,32
shuffled,c1bbacd917e0d1fd,multiply_a,1,1,5,4,11,seen_parameter,1,-1.9243919849395752,4,0,sa_only,32
wrong_rule,c1bbacd917e0d1fd,multiply_a,1,1,5,4,11,seen_parameter,1,-1.8398017883300781,5,0,sa_only,32
correct,a856b391fbfb95c5,multiply_a,1,1,5,4,11,seen_parameter,4,-2.9474680423736572,17,0,sa_only,32
none,a856b391fbfb95c5,multiply_a,1,1,5,4,11,seen_parameter,4,-2.310424327850342,18,0,sa_only,32
shuffled,a856b391fbfb95c5,multiply_a,1,1,5,4,11,seen_parameter,4,-2.8273820877075195,18,0,sa_only,32
wrong_rule,a856b391fbfb95c5,multiply_a,1,1,5,4,11,seen_parameter,4,-2.9407503604888916,17,0,sa_only,32
correct,4dac4b669205acc9,multiply_a,1,1,5,4,11,seen_parameter,0,1.5170907974243164,1,1,sa_only,32
