accuracy_delta,component,example_id,js_damage,layer,margin_delta,mode,model_depth,model_seed,predicate,stage,status
0,sa,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.49082255363464355,0,-6.166701316833496,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.3502327799797058,0,-5.304112434387207,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.000124386977404356,1,-0.4348945617675781,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.00010528686107136309,1,0.2179088592529297,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.0004070876457262784,2,0.5547285079956055,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.00016298267291858792,2,0.3537731170654297,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.00067623530048877,3,0.8525218963623047,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.0001408278476446867,3,0.28177738189697266,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.0006305016577243805,4,0.9644584655761719,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.0001953839382622391,4,0.49031925201416016,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.00047102884855121374,5,0.669525146484375,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0.00012023470480926335,5,0.3204803466796875,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.3021410268265754e-05,0,1.560342788696289,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.0031983038061298e-05,0,-1.6502037048339844,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.468109530833317e-05,0,1.7537670135498047,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,4.631990577763645e-07,0,0.2222766876220703,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,6.16938109487819e-08,0,-0.2606697082519531,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,8.25498887024878e-08,0,-0.0261077880859375,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2.2648515596301877e-07,1,0.10920238494873047,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3.565298243302095e-07,1,-0.3167686462402344,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.7225067949766526e-06,1,0.27190589904785156,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.1280951639491832e-07,1,-0.030414581298828125,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,5.581441087088024e-09,1,0.05300712585449219,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,8.942043905335595e-08,1,0.06369400024414062,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,6.73994691169355e-08,2,0.11175727844238281,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2.131927772097697e-07,2,-0.36989784240722656,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.5946100120345363e-06,2,0.3015260696411133,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,4.981146162208461e-09,2,0.005812644958496094,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,6.888662085202668e-09,2,-0.05636787414550781,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.7867876067612087e-08,2,0.025287628173828125,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.298369056712545e-08,3,0.02948760986328125,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3.8634254906355636e-08,3,-0.09295272827148438,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,4.539904239209136e-07,3,0.17001914978027344,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.791022441466339e-09,3,0.0065631866455078125,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3.816786886545742e-10,3,-0.026094436645507812,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.4429701877816115e-09,3,-0.0013933181762695312,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,8.362007974938024e-09,4,0.02205657958984375,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.341211941507936e-08,4,-0.059963226318359375,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,4.092805738764582e-08,4,0.03485298156738281,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3.807173243330908e-09,4,-0.0055332183837890625,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2.0035706427279365e-10,4,-0.001140594482421875,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,8.899618819668831e-10,4,1.430511474609375e-05,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.1797197885243804e-08,5,-0.04836845397949219,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3.4049083552645243e-09,5,-0.08092021942138672,mean,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2.6782231543620583e-08,5,-0.0005092620849609375,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,6.643183780852269e-10,5,0.0037088394165039062,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.673381433420218e-10,5,0.0054607391357421875,mean,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,6.593019463707606e-10,5,0.002422332763671875,mean,6,11,isAncestor,s1,
-1,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0.6448286175727844,0,-10.687829494476318,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.158109625976067e-05,0,-0.3945741653442383,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,4.835787331103347e-05,1,1.8908195495605469,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.3451019185595214e-05,1,0.6065635681152344,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,5.0531147280707955e-05,2,1.9513435363769531,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.7813328668125905e-05,2,0.7415609359741211,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3.915686102118343e-05,3,1.3692131042480469,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.5759089365019463e-05,3,0.7672557830810547,zero,4,23,isAncestor,s1,
-1,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.6452980041503906,0,-8.067612171173096,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.0010916190221905708,0,-1.3336248397827148,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.0008289729594253004,1,3.0825185775756836,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.0001917931658681482,1,0.7796230316162109,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.0005867674481123686,2,1.899409294128418,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.00032003902015276253,2,1.242732048034668,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.000579645624384284,3,2.0443601608276367,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.00016738857084419578,3,0.7204389572143555,zero,4,23,isAncestor,s1,
-1,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0.6659955978393555,0,-12.110443115234375,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0.0001085951371351257,0,-1.8311309814453125,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3.770312468986958e-05,1,2.5083208084106445,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1.8306844140170142e-05,1,1.0857715606689453,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3.470552110229619e-05,2,1.1383705139160156,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1.5287390851881355e-05,2,0.711522102355957,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3.341816409374587e-05,3,1.3961668014526367,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1.403700571245281e-05,3,0.9260568618774414,zero,4,23,isAncestor,s1,
-1,sa,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.6753654479980469,0,-11.227738380432129,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,4.938670463161543e-05,0,-0.1835308074951172,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0005142198642715812,1,0.8544282913208008,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.00039696466410532594,1,0.8962736129760742,zero,4,23,isAncestor,s1,
