boundary,example_id,model_depth,model_seed,path_probabilities,required_path,target_margin,top_path_hop,total_depth
11,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,11,7.298148e-11;1.874275e-05;1.624172e-06;1.112471e-08;5.072539e-07;1.889642e-07;3.81584e-07;1.251153e-07;3.271532e-08;5.053329e-06;7.734606e-06;9.407042e-06;1.442845e-05;1.798151e-05;4.863488e-08;0.0001049525;2.855052e-06;7.087819e-07;3.818323e-07;1.311285e-07;4.391366e-08;3.139505e-07;4.296029e-07;3.036543e-09;1.315567e-07,4,7.518404006958008,15,24
12,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,11,1.004765e-10;2.882494e-05;2.71693e-06;2.40997e-08;8.409157e-07;4.388851e-07;7.581104e-07;2.609067e-07;7.479142e-08;7.718932e-06;1.17576e-05;1.757474e-05;2.371679e-05;2.936143e-05;1.019288e-07;0.0001612348;5.167736e-06;1.231177e-06;7.341712e-07;2.473251e-07;7.993186e-08;5.305401e-07;8.721057e-07;7.312091e-09;2.820136e-07,4,7.2220916748046875,15,24
0,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,6,11,3.243844e-14;1.811933e-24;1.417183e-26;1.411506e-18;1.703347e-20;1.47951e-19;3.386347e-19;1.283103e-19;6.521391e-15;9.868039e-21;9.572276e-20;3.132575e-19;7.704474e-23;5.094358e-18;2.385463e-22;4.47885e-22;2.986247e-23;2.555686e-12;5.590272e-24;2.294251e-23;1.843743e-14;2.338632e-19;1.27641e-23;5.669983e-23;2.547395e-20;1.777517e-17;9.515522e-18;1.814248e-22;4.726364e-18;1.150405e-20;1.912277e-22;7.436793e-22;7.156949e-22,3,-39.81454849243164,17,32
1,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,6,11,2.282356e-12;4.164367e-20;5.713267e-20;1.751581e-16;4.164724e-13;1.566824e-15;3.641805e-16;2.044848e-18;1.093001e-10;1.146859e-16;3.064361e-15;2.990369e-15;1.203089e-19;3.832842e-14;2.65521e-13;1.526998e-16;4.095809e-18;1.677462e-16;7.092578e-13;1.359759e-16;8.144601e-18;1.153571e-14;4.042069e-18;2.323074e-15;3.857978e-16;1.671389e-11;5.756263e-15;5.094959e-16;1.977066e-15;1.076321e-20;1.711603e-18;5.272128e-15;1.745543e-16,3,14.01806640625,8,32
2,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,6,11,7.651526e-15;1.753571e-20;9.991321e-20;2.774151e-18;1.949447e-15;4.159308e-16;4.125458e-17;6.772919e-20;2.46208e-12;4.540401e-18;9.614956e-17;3.055371e-16;8.422976e-22;6.888554e-17;7.273522e-15;1.081507e-17;1.809864e-18;1.01957e-17;8.488652e-15;3.829867e-18;2.292338e-18;5.195672e-17;1.327933e-19;2.773553e-17;1.180393e-17;1.184865e-13;1.231748e-15;7.349742e-18;2.789683e-17;7.384904e-22;1.317963e-19;2.871163e-15;7.926832e-18,3,17.31712532043457,8,32
3,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,6,11,1.476907e-15;1.92781e-19;3.673759e-19;7.851237e-18;4.59088e-15;1.264832e-15;1.359034e-16;1.680022e-19;1.896672e-12;1.297682e-17;4.137557e-16;8.103942e-16;6.927534e-21;1.923922e-16;1.775034e-14;2.728513e-17;3.028831e-17;8.203059e-17;1.142459e-14;1.345374e-17;4.237929e-18;7.359319e-17;1.403311e-18;4.408873e-17;2.045474e-17;2.47226e-13;2.232912e-15;2.237315e-17;5.949356e-17;2.476552e-21;1.237993e-18;2.417644e-14;8.179677e-18,3,18.633094787597656,8,32
4,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,6,11,1.323334e-15;2.155065e-18;2.489252e-18;5.431158e-17;2.709873e-14;7.418086e-15;7.056958e-16;1.994097e-18;6.050674e-12;1.696752e-16;2.638472e-15;5.116558e-15;5.292405e-20;1.27279e-15;9.200268e-14;1.606918e-16;1.906214e-16;5.462562e-16;8.063437e-14;9.134107e-17;3.340811e-17;4.414408e-16;1.444812e-17;2.996573e-16;1.954642e-16;1.291584e-12;1.659315e-14;1.924054e-16;5.763844e-16;2.906487e-20;8.987118e-18;1.302402e-13;5.962458e-17,3,19.31090545654297,8,32
5,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,6,11,1.838089e-15;7.271831e-17;6.202005e-17;1.263288e-15;2.65183e-13;7.802953e-14;7.204824e-15;4.413865e-17;7.225542e-11;2.361586e-15;2.614274e-14;6.407647e-14;2.116982e-18;1.599241e-14;7.774686e-13;2.797268e-15;3.455899e-15;8.213107e-15;9.855757e-13;1.125077e-15;5.568084e-16;3.309398e-15;1.55444e-16;3.980835e-15;3.877642e-15;1.047087e-11;2.549925e-13;3.009774e-15;8.369106e-15;5.234156e-19;1.453609e-16;1.410021e-12;9.980152e-16,3,19.401460647583008,8,32
6,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,6,11,4.223492e-15;1.272877e-15;1.095918e-15;1.380289e-14;2.477957e-12;8.174758e-13;7.743901e-14;7.863203e-16;3.87859e-10;3.332311e-14;2.714409e-13;7.178487e-13;5.101846e-17;1.912507e-13;5.597874e-12;4.260692e-14;4.996585e-14;1.037409e-13;7.13601e-12;1.191804e-14;7.170747e-15;3.645276e-14;2.421288e-15;5.607162e-14;6.541242e-14;6.83353e-11;2.821794e-12;4.064364e-14;1.351646e-13;1.232543e-17;1.885733e-15;1.087702e-11;1.36658e-14,3,18.905384063720703,8,32
7,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,6,11,9.314492e-15;6.342061e-14;2.97498e-14;4.205294e-13;3.528885e-11;1.379218e-11;1.650022e-12;3.030277e-14;2.824396e-09;1.005005e-12;4.404567e-12;2.103276e-11;2.155387e-15;5.228519e-12;7.085219e-11;1.695165e-12;1.575794e-12;1.612562e-12;1.108225e-10;4.165256e-13;1.83215e-13;6.543741e-13;9.644606e-14;1.295908e-12;1.895844e-12;7.34138e-10;5.150818e-11;1.047504e-12;3.427474e-12;6.932086e-16;6.599144e-14;1.292776e-10;2.505519e-13,3,17.477794647216797,8,32
