accuracy_delta,component,donor,donor_type,js_damage,layer,margin_damage,model_depth,model_seed,predicate,recipient,stage,status
-1,sa,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,0.6877356767654419,0,18.274849891662598,6,11,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,0.21392348408699036,0,3.4434871673583984,6,11,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,0.00355811626650393,1,-0.8011770248413086,6,11,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,0.0001559211523272097,1,-0.018235206604003906,6,11,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,0.0001285202451981604,2,-0.01758098602294922,6,11,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,0.00010160227247979492,2,0.1378011703491211,6,11,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,6.519595626741648e-05,3,-0.10394001007080078,6,11,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,4.258728586137295e-05,3,0.09720039367675781,6,11,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,0.0003379965201020241,4,-0.11785316467285156,6,11,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,4.041241481900215e-05,4,-0.02436542510986328,6,11,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,2.8873211704194546e-05,5,0.033626556396484375,6,11,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,1.960875124495942e-05,5,0.06560516357421875,6,11,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,0.16534140706062317,0,8.295514106750488,4,23,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,3.8814596337033436e-05,0,0.9572391510009766,4,23,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,6.685052539978642e-06,1,-0.4758033752441406,4,23,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,2.181973286496941e-07,1,-0.09720897674560547,4,23,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,7.819148777343798e-07,2,-0.17773151397705078,4,23,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,7.360795279964805e-07,2,0.09965229034423828,4,23,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,5.0415565056027845e-08,3,-0.040958404541015625,4,23,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,1.894495653687045e-07,3,0.043221473693847656,4,23,,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,0.000959571625571698,0,-3.4815444946289062,4,23,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,7.004917279118672e-06,0,-0.03718757629394531,4,23,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,8.704348874744028e-05,1,-0.5718793869018555,4,23,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,1.4253946574172005e-06,1,0.00209808349609375,4,23,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,6.183693585626315e-06,2,0.11868000030517578,4,23,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
