example_id,layer,model_depth,model_seed,off_path_mass,path_attention_mass,preferred_hop,preferred_mass,required_path,total_depth
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0,4,23,0.5317663709893168,0.4682336290106832,12,0.24034708738327026,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1,4,23,0.8097907844930887,0.19020921550691128,11,0.044408734887838364,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2,4,23,0.3314618431031704,0.6685381568968296,1,0.16547101736068726,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3,4,23,0.7084870999678969,0.29151290003210306,0,0.038996078073978424,8,12
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0,4,23,0.6752818341024702,0.3247181658975298,13,0.09535961598157883,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1,4,23,0.7742493273399305,0.22575067266006954,16,0.10731752216815948,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2,4,23,0.3500440935604274,0.6499559064395726,4,0.08896870911121368,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3,4,23,0.556473565287888,0.44352643471211195,0,0.10585958510637283,6,16
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0,4,23,0.5361981195338785,0.4638018804661215,14,0.22003477811813354,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1,4,23,0.7798685322050005,0.22013146779499948,6,0.0402672216296196,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2,4,23,0.2890438393224031,0.7109561606775969,4,0.1817421019077301,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3,4,23,0.5516038797795773,0.44839612022042274,0,0.034238118678331375,4,24
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0,4,23,0.5255135764018632,0.47448642359813675,7,0.22792868316173553,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1,4,23,0.5092224038671702,0.4907775961328298,31,0.11897698044776917,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2,4,23,0.5417759772390127,0.4582240227609873,0,0.06591084599494934,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3,4,23,0.5289691761136055,0.4710308238863945,1,0.03354719281196594,3,32
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0,4,23,0.4990531749699585,0.5009468250300415,8,0.24983954429626465,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1,4,23,0.4331672745756805,0.5668327254243195,4,0.2443571239709854,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2,4,23,0.7407456915825605,0.25925430841743946,0,0.04418746381998062,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3,4,23,0.7770603485405445,0.2229396514594555,0,0.0547979474067688,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0,4,23,0.7995601765578613,0.20043982344213873,3,0.1495598703622818,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,1,4,23,0.7484990397351794,0.2515009602648206,8,0.15987439453601837,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,2,4,23,0.5602264269255102,0.43977357307448983,8,0.17021708190441132,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,3,4,23,0.9657397732371464,0.03426022676285356,0,0.009025147184729576,3,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0,6,37,0.6277217078022659,0.3722782921977341,7,0.18863332271575928,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1,6,37,0.935583245513044,0.06441675448695605,1,0.022853614762425423,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2,6,37,0.9535191373433918,0.046480862656608224,8,0.016440952196717262,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3,6,37,0.6348873535171151,0.3651126464828849,6,0.058671366423368454,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,4,6,37,0.6475758347660303,0.3524241652339697,6,0.055571042001247406,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,5,6,37,0.756078889593482,0.24392111040651798,7,0.03414349630475044,1,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0,6,37,0.4370329165212752,0.5629670834787248,1,0.25711390376091003,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1,6,37,0.8849405935798131,0.11505940642018686,0,0.11300554871559143,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2,6,37,0.6192954115904286,0.38070458840957144,0,0.3666146397590637,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3,6,37,0.6557229636237025,0.3442770363762975,1,0.09235474467277527,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,4,6,37,0.6510894931852818,0.34891050681471825,0,0.059967122972011566,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,5,6,37,0.7301864195615053,0.2698135804384947,0,0.07460501790046692,8,8
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0,6,37,0.4967930324005465,0.5032069675994535,11,0.2500542402267456,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1,6,37,0.7728728201182093,0.22712717988179065,3,0.1519898921251297,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2,6,37,0.9414142414461821,0.05858575855381787,5,0.011465862393379211,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3,6,37,0.620858097448945,0.37914190255105495,12,0.04962882399559021,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,4,6,37,0.5436112992465496,0.4563887007534504,1,0.041934408247470856,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,5,6,37,0.7291624881327152,0.2708375118672848,0,0.029661862179636955,8,12
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0,6,37,0.41484620708615694,0.5851537929138431,14,0.25284647941589355,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1,6,37,0.9209016929903555,0.07909830700964449,0,0.07525047659873962,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2,6,37,0.9488102890463779,0.051189710953622125,0,0.018485214561223984,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3,6,37,0.455382339656353,0.544617660343647,10,0.05672015994787216,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,4,6,37,0.4342033388093114,0.5657966611906886,10,0.04596797376871109,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,5,6,37,0.6318930014967918,0.36810699850320816,10,0.02738923579454422,6,16
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0,6,37,0.49984673948713976,0.5001532605128602,5,0.24997982382774353,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1,6,37,0.9868305457530369,0.013169454246963141,8,0.003538441378623247,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2,6,37,0.9868858044910667,0.013114195508933335,0,0.008243855088949203,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3,6,37,0.43194518703967333,0.5680548129603267,2,0.061680860817432404,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,4,6,37,0.3090210221707821,0.6909789778292179,4,0.04913131520152092,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,5,6,37,0.5891371155157685,0.41086288448423147,0,0.028739850968122482,4,24
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0,6,37,0.4986830214320328,0.5013169785679672,19,0.2457030862569809,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1,6,37,0.8542182808123471,0.14578171918765293,24,0.05022173002362251,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2,6,37,0.7675314953085035,0.2324685046914965,0,0.016239864751696587,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3,6,37,0.40977969858795404,0.590220301412046,27,0.030181189998984337,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,4,6,37,0.29273548163473606,0.7072645183652639,0,0.030592629685997963,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,5,6,37,0.49941466096788645,0.5005853390321136,0,0.02667410299181938,3,32
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0,6,37,0.49554594085941517,0.5044540591405848,2,0.44718027114868164,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1,6,37,0.9630964598400169,0.036903540159983095,6,0.014893549494445324,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2,6,37,0.9860290246281238,0.013970975371876193,0,0.013845664449036121,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3,6,37,0.6474395785480738,0.35256042145192623,0,0.04835252836346626,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,4,6,37,0.5729078650474548,0.42709213495254517,0,0.07716486603021622,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,5,6,37,0.7206145748496056,0.27938542515039444,0,0.06778804957866669,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0,6,37,0.6277824031421915,0.37221759685780853,6,0.19443568587303162,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,1,6,37,0.9568730875889742,0.04312691241102584,6,0.01604495197534561,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,2,6,37,0.9105461532253685,0.08945384677463153,0,0.08666118234395981,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,3,6,37,0.7646938962861896,0.23530610371381044,6,0.0695548877120018,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,4,6,37,0.9305523866787553,0.06944761332124472,0,0.01149766705930233,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,5,6,37,0.9501829701475799,0.04981702985242009,1,0.008210580796003342,3,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0,8,11,0.459078648378636,0.540921351621364,2,0.3307589292526245,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1,8,11,0.9679340374750609,0.032065962524939096,3,0.01500447653234005,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2,8,11,0.3265178669244051,0.6734821330755949,2,0.21603403985500336,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3,8,11,0.12201842578474498,0.877981574215255,2,0.4684262275695801,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,4,8,11,0.3808927405625582,0.6191072594374418,5,0.11222879588603973,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,5,8,11,0.441630095243454,0.558369904756546,4,0.09667443484067917,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,6,8,11,0.6976008079946041,0.3023991920053959,0,0.0653911605477333,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,7,8,11,0.6736011896282434,0.32639881037175655,0,0.08214689791202545,1,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0,8,11,0.4402727866258829,0.5597272133741171,2,0.24855513870716095,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1,8,11,0.654089186940837,0.34591081305916305,0,0.3184428811073303,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2,8,11,0.29000673070549965,0.7099932692945004,8,0.19161178171634674,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3,8,11,0.12219236550663481,0.8778076344933652,3,0.2871902883052826,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,4,8,11,0.36399114690721035,0.6360088530927896,3,0.2107371985912323,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,5,8,11,0.4064242411404848,0.5935757588595152,1,0.23564192652702332,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,6,8,11,0.6159722711890936,0.3840277288109064,1,0.11575990915298462,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,7,8,11,0.6466133557260036,0.35338664427399635,0,0.09084763377904892,8,8
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0,8,11,0.49218069110793294,0.5078193088920671,10,0.2865496277809143,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1,8,11,0.7298973092583765,0.2701026907416235,0,0.25683799386024475,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2,8,11,0.14809054729994386,0.8519094527000561,7,0.2122305929660797,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3,8,11,0.006009629618972667,0.9939903703810273,8,0.36247920989990234,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,4,8,11,0.2433119397610426,0.7566880602389574,3,0.16284072399139404,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,5,8,11,0.33416529558598995,0.66583470441401,7,0.10084031522274017,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,6,8,11,0.6079211309552193,0.39207886904478073,0,0.07888463884592056,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,7,8,11,0.5699775125831366,0.43002248741686344,0,0.09299685060977936,8,12
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0,8,11,0.750979851150066,0.24902014884993395,6,0.14875873923301697,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1,8,11,0.9117787375412263,0.08822126245877371,0,0.0849609300494194,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2,8,11,0.2917756251990795,0.7082243748009205,3,0.0733039379119873,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3,8,11,0.0013421710436887224,0.9986578289563113,3,0.2904013395309448,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,4,8,11,0.13205289747565985,0.8679471025243402,7,0.1511327177286148,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,5,8,11,0.16680746711790562,0.8331925328820944,7,0.1288699507713318,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,6,8,11,0.5037927785888314,0.4962072214111686,1,0.11137735843658447,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,7,8,11,0.5914451275020838,0.4085548724979162,0,0.053417421877384186,6,16
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0,8,11,0.634899771772325,0.36510022822767496,21,0.15724687278270721,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1,8,11,0.8657549536609395,0.13424504633906054,0,0.12861572206020355,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2,8,11,0.23205220722593367,0.7679477927740663,7,0.09505292773246765,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3,8,11,0.00917691276356436,0.9908230872364356,6,0.1665458381175995,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,4,8,11,0.08670416800305247,0.9132958319969475,17,0.08603629469871521,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,5,8,11,0.1519350907765329,0.8480649092234671,2,0.22790031135082245,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6,8,11,0.45264872536063194,0.5473512746393681,2,0.17780429124832153,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,7,8,11,0.5361738484352827,0.4638261515647173,0,0.03730762004852295,4,24
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0,8,11,0.4032209479676112,0.5967790520323888,2,0.16706080734729767,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1,8,11,0.9177699878400745,0.08223001215992554,7,0.015140767209231853,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2,8,11,0.0966862392378971,0.9033137607621029,26,0.11667690426111221,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3,8,11,0.036527614549413556,0.9634723854505864,14,0.14406456053256989,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,4,8,11,0.1499666254967451,0.8500333745032549,26,0.08710723370313644,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,5,8,11,0.30199471954256296,0.698005280457437,23,0.044111575931310654,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,6,8,11,0.47547462675720453,0.5245253732427955,0,0.06945674121379852,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,7,8,11,0.5211823005229235,0.47881769947707653,0,0.033408403396606445,3,32
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0,8,11,0.4985162659722846,0.5014837340277154,4,0.28984761238098145,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1,8,11,0.9982638829405914,0.0017361170594085706,4,0.0010554887121543288,3,8
