accuracy_delta,example_id,head,js_damage,layer,margin_delta,mode,model_seed,predictive_order
0,test:l1:t2:prandomized:c45:i22,0,1.741195632121162e-09,2,-0.20001220703125,,11,1
0,test:l1:t2:prandomized:c45:i22,1,4.246761520221298e-08,2,1.5273666381835938,,11,1
0,test:l1:t2:prandomized:c45:i22,2,1.3478114624376758e-07,2,-1.3363113403320312,,11,1
0,test:l1:t2:prandomized:c45:i22,3,1.2602436072484124e-07,2,-1.297189712524414,,11,1
0,test:l1:t2:prandomized:c45:i22,0,1.7738916113785308e-08,3,0.8330936431884766,,11,1
0,test:l1:t2:prandomized:c45:i22,1,3.247610180778793e-08,3,-0.7583942413330078,,11,1
0,test:l1:t2:prandomized:c45:i22,2,1.6547701875424536e-08,3,0.7957077026367188,,11,1
0,test:l1:t2:prandomized:c45:i22,3,8.19349033065464e-10,3,-0.1389904022216797,,11,1
0,test:l1:t2:prandomized:c45:i22,0,8.382086136293765e-09,4,0.5293731689453125,,11,1
0,test:l1:t2:prandomized:c45:i22,1,1.9533004547156452e-08,4,0.8852310180664062,,11,1
0,test:l1:t2:prandomized:c45:i22,2,9.664445244084163e-09,4,-0.4470710754394531,,11,1
0,test:l1:t2:prandomized:c45:i22,3,1.5127348262922169e-09,4,-0.18870162963867188,,11,1
0,test:l1:t2:prandomized:c45:i22,0,4.451848667486047e-09,5,0.37062644958496094,,11,1
0,test:l1:t2:prandomized:c45:i22,1,2.5859492325253086e-10,5,0.082672119140625,,11,1
0,test:l1:t2:prandomized:c45:i22,2,8.77291661538493e-09,5,0.5440025329589844,,11,1
0,test:l1:t2:prandomized:c45:i22,3,1.1167394120548124e-08,5,0.6267433166503906,,11,1
0,test:l1:t3:paligned:c0:i26,0,3.963311314691964e-07,0,0.7433547973632812,,11,1
0,test:l1:t3:paligned:c0:i26,1,1.310554353040061e-06,0,1.8525943756103516,,11,1
0,test:l1:t3:paligned:c0:i26,2,2.6474101559870178e-06,0,0.6689949035644531,,11,1
0,test:l1:t3:paligned:c0:i26,3,2.460680548210803e-08,0,-0.1215362548828125,,11,1
0,test:l1:t3:paligned:c0:i26,0,2.286025119246915e-05,1,-2.5496788024902344,,11,1
0,test:l1:t3:paligned:c0:i26,1,5.22438654115831e-07,1,-0.6153831481933594,,11,1
0,test:l1:t3:paligned:c0:i26,2,0.00027977325953543186,1,-4.726430892944336,,11,1
0,test:l1:t3:paligned:c0:i26,3,4.7329774588433793e-07,1,0.8755283355712891,,11,1
0,test:l1:t3:paligned:c0:i26,0,8.269751106126932e-09,2,-0.09082794189453125,,11,1
0,test:l1:t3:paligned:c0:i26,1,1.256933046533959e-07,2,-0.3334808349609375,,11,1
0,test:l1:t3:paligned:c0:i26,2,1.5553405319224112e-07,2,0.451416015625,,11,1
0,test:l1:t3:paligned:c0:i26,3,7.561779057141393e-06,2,-1.7902946472167969,,11,1
0,test:l1:t3:paligned:c0:i26,0,5.109731091579306e-07,3,-0.6251602172851562,,11,1
0,test:l1:t3:paligned:c0:i26,1,2.2709662061970448e-07,3,0.5606880187988281,,11,1
0,test:l1:t3:paligned:c0:i26,2,4.482703843677882e-07,3,0.8457736968994141,,11,1
0,test:l1:t3:paligned:c0:i26,3,6.887328822813288e-07,3,1.1232128143310547,,11,1
