accuracy_delta,baseline_correct,changed_correct,condition,example_id,js_damage,margin_delta,model_depth,model_seed,required_path,total_depth
0,1,1,sibling_branch,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3.5176199730813096e-09,-0.0036745071411132812,8,11,8,8
0,1,1,parent,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2.5809256953834847e-08,0.11905288696289062,8,11,8,12
0,1,1,intermediate_candidate,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,8.643411320008454e-09,-0.0841054916381836,8,11,8,12
0,1,1,root,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1.2411423000457944e-08,-0.02285003662109375,8,11,8,12
0,1,1,off_path_distractors,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3.8419614156737225e-09,-0.03710174560546875,8,11,8,12
0,1,1,sibling_branch,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,4.815525755930139e-10,-0.007091522216796875,8,11,8,12
0,1,1,parent,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3.3924669651241857e-07,0.008209228515625,8,11,6,16
0,1,1,intermediate_candidate,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3.897152055287734e-05,0.6731033325195312,8,11,6,16
0,1,1,root,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,6.432264854083769e-08,0.0063419342041015625,8,11,6,16
0,1,1,off_path_distractors,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,8.011866884771734e-05,1.0633316040039062,8,11,6,16
0,1,1,sibling_branch,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3.1621442758478224e-05,0.5951576232910156,8,11,6,16
0,0,0,parent,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3.589806146919727e-05,0.079315185546875,8,11,4,24
0,0,0,intermediate_candidate,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1.6408739611506462e-06,0.017229080200195312,8,11,4,24
0,0,0,root,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6.389978807419538e-05,0.10573005676269531,8,11,4,24
1,0,1,off_path_distractors,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.5372055768966675,6.6061859130859375,8,11,4,24
0,0,0,sibling_branch,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.04032757133245468,1.8620262145996094,8,11,4,24
0,1,1,parent,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1.0242192729492672e-06,-0.6749963760375977,8,11,3,32
0,1,1,intermediate_candidate,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,5.784706047506916e-10,-0.0074520111083984375,8,11,3,32
0,1,1,root,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2.0048407378681077e-11,-0.005757331848144531,8,11,3,32
0,1,1,off_path_distractors,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1.6665815394389938e-09,0.03960227966308594,8,11,3,32
0,1,1,sibling_branch,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1.2190959353119979e-09,0.03178596496582031,8,11,3,32
0,1,1,parent,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.7962645415536826e-07,0.21207046508789062,8,11,3,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2.9044513212284073e-06,-0.8347225189208984,8,11,3,8
0,1,1,root,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2.05278638532036e-08,-0.040637969970703125,8,11,3,8
0,1,1,off_path_distractors,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1.1857167692141957e-08,0.06616878509521484,8,11,3,8
0,1,1,sibling_branch,test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3.206608312211756e-09,0.03351116180419922,8,11,3,8
0,1,1,parent,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,2.483597199898213e-05,-0.5178451538085938,8,11,3,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,7.573476068500895e-09,-0.010279655456542969,8,11,3,8
0,1,1,root,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,7.466383067367133e-08,-0.027460098266601562,8,11,3,8
0,1,1,off_path_distractors,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,3.659020512714051e-05,-0.4202556610107422,8,11,3,8
0,1,1,sibling_branch,test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,2.2143094611237757e-06,0.1098775863647461,8,11,3,8
0,1,1,parent,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3.93609116144944e-06,-0.09781837463378906,12,23,1,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3.93609116144944e-06,-0.09781837463378906,12,23,1,8
0,1,1,root,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.3633894013764802e-07,-0.010968208312988281,12,23,1,8
0,1,1,off_path_distractors,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.4283839846029878e-05,-0.3865480422973633,12,23,1,8
0,1,1,sibling_branch,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,8.428614819422364e-07,-0.10492706298828125,12,23,1,8
0,1,1,parent,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.3765842595603317e-05,0.11655616760253906,12,23,8,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.0751609806902707e-06,-0.04942798614501953,12,23,8,8
0,1,1,root,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.0751609806902707e-06,-0.04942798614501953,12,23,8,8
0,1,1,off_path_distractors,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.00016530530410818756,-0.5818376541137695,12,23,8,8
0,1,1,sibling_branch,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.00014583554002456367,-0.5507593154907227,12,23,8,8
0,1,1,parent,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2.327951733605005e-05,-0.24071407318115234,12,23,8,12
0,1,1,intermediate_candidate,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1.8599526811158285e-05,-0.26593494415283203,12,23,8,12
