architecture,loss,machine,seed,step
diversity_48k,0.00632266141474247,M3,37,900
diversity_48k,0.0076059140264987946,M3,37,950
diversity_48k,0.00612106965854764,M3,37,1000
diversity_48k,20.242294311523438,M4,11,1
diversity_48k,5.071836948394775,M4,11,50
diversity_48k,3.4324893951416016,M4,11,100
diversity_48k,2.754671096801758,M4,11,150
diversity_48k,2.698713541030884,M4,11,200
diversity_48k,2.1662497520446777,M4,11,250
diversity_48k,2.6323745250701904,M4,11,300
diversity_48k,2.5260095596313477,M4,11,350
diversity_48k,2.247997522354126,M4,11,400
diversity_48k,1.783807396888733,M4,11,450
diversity_48k,1.6421785354614258,M4,11,500
diversity_48k,1.1015530824661255,M4,11,550
diversity_48k,1.0920995473861694,M4,11,600
diversity_48k,0.9521053433418274,M4,11,650
diversity_48k,0.5830228328704834,M4,11,700
diversity_48k,0.3223704695701599,M4,11,750
diversity_48k,0.18406204879283905,M4,11,800
diversity_48k,0.107674241065979,M4,11,850
diversity_48k,0.08800169080495834,M4,11,900
diversity_48k,0.0901498794555664,M4,11,950
diversity_48k,0.03574356809258461,M4,11,1000
diversity_48k,22.295942306518555,M4,23,1
diversity_48k,7.32881498336792,M4,23,50
diversity_48k,4.04387903213501,M4,23,100
diversity_48k,3.477490186691284,M4,23,150
diversity_48k,2.8674049377441406,M4,23,200
diversity_48k,2.6262223720550537,M4,23,250
diversity_48k,2.703871488571167,M4,23,300
diversity_48k,2.120091676712036,M4,23,350
diversity_48k,1.6965590715408325,M4,23,400
diversity_48k,1.2276400327682495,M4,23,450
diversity_48k,0.7905828356742859,M4,23,500
diversity_48k,0.3677925765514374,M4,23,550
diversity_48k,0.18977206945419312,M4,23,600
diversity_48k,0.052087146788835526,M4,23,650
diversity_48k,0.03338473662734032,M4,23,700
diversity_48k,0.04290790483355522,M4,23,750
diversity_48k,0.019158339127898216,M4,23,800
diversity_48k,0.02000068873167038,M4,23,850
diversity_48k,0.015874963253736496,M4,23,900
diversity_48k,0.00895492173731327,M4,23,950
diversity_48k,0.008440959267318249,M4,23,1000
diversity_48k,22.767343521118164,M4,37,1
diversity_48k,8.17056941986084,M4,37,50
diversity_48k,4.591307640075684,M4,37,100
diversity_48k,3.549684762954712,M4,37,150
diversity_48k,3.120436906814575,M4,37,200
diversity_48k,2.378481149673462,M4,37,250
diversity_48k,2.9769256114959717,M4,37,300
diversity_48k,2.317368507385254,M4,37,350
diversity_48k,1.6556506156921387,M4,37,400
diversity_48k,0.866929829120636,M4,37,450
diversity_48k,0.23998087644577026,M4,37,500
diversity_48k,0.1489035040140152,M4,37,550
diversity_48k,0.14085756242275238,M4,37,600
diversity_48k,0.05126963555812836,M4,37,650
diversity_48k,0.03275946155190468,M4,37,700
diversity_48k,0.02015335112810135,M4,37,750
diversity_48k,0.0320756621658802,M4,37,800
diversity_48k,0.015116852708160877,M4,37,850
diversity_48k,0.00993456318974495,M4,37,900
diversity_48k,0.006539545953273773,M4,37,950
diversity_48k,0.00693226745352149,M4,37,1000
diversity_96k,18.372987747192383,M3,11,1
diversity_96k,6.46469259262085,M3,11,50
diversity_96k,4.214628219604492,M3,11,100
diversity_96k,3.783642053604126,M3,11,150
diversity_96k,3.7462310791015625,M3,11,200
diversity_96k,3.6386966705322266,M3,11,250
diversity_96k,3.1552798748016357,M3,11,300
diversity_96k,3.193521499633789,M3,11,350
diversity_96k,2.350797414779663,M3,11,400
diversity_96k,1.6321719884872437,M3,11,450
diversity_96k,1.1472033262252808,M3,11,500
diversity_96k,0.6727719902992249,M3,11,550
diversity_96k,0.233711838722229,M3,11,600
diversity_96k,0.07377523928880692,M3,11,650
diversity_96k,0.0455763041973114,M3,11,700
diversity_96k,0.03630606085062027,M3,11,750
diversity_96k,0.01737324893474579,M3,11,800
diversity_96k,0.00845019519329071,M3,11,850
diversity_96k,0.0071907006204128265,M3,11,900
diversity_96k,0.005553389433771372,M3,11,950
diversity_96k,0.005117328371852636,M3,11,1000
diversity_96k,18.53205680847168,M3,23,1
diversity_96k,7.998767375946045,M3,23,50
diversity_96k,4.320272922515869,M3,23,100
diversity_96k,3.708242177963257,M3,23,150
diversity_96k,3.4946768283843994,M3,23,200
diversity_96k,3.307565689086914,M3,23,250
diversity_96k,3.7121667861938477,M3,23,300
diversity_96k,3.3698761463165283,M3,23,350
diversity_96k,2.7864227294921875,M3,23,400
diversity_96k,1.5557268857955933,M3,23,450
diversity_96k,0.40503671765327454,M3,23,500
diversity_96k,0.05163809657096863,M3,23,550
diversity_96k,0.026832817122340202,M3,23,600
diversity_96k,0.025090714916586876,M3,23,650
diversity_96k,0.019267380237579346,M3,23,700
diversity_96k,0.0069714798592031,M3,23,750
diversity_96k,0.009274104610085487,M3,23,800
diversity_96k,0.008269041776657104,M3,23,850
diversity_96k,0.005118784960359335,M3,23,900
diversity_96k,0.006450943648815155,M3,23,950
diversity_96k,0.0028393759857863188,M3,23,1000
diversity_96k,18.004722595214844,M3,37,1
diversity_96k,8.08758544921875,M3,37,50
diversity_96k,4.733022212982178,M3,37,100
diversity_96k,3.9632155895233154,M3,37,150
diversity_96k,3.585496664047241,M3,37,200
diversity_96k,3.4935920238494873,M3,37,250
diversity_96k,3.285860776901245,M3,37,300
diversity_96k,3.3091132640838623,M3,37,350
diversity_96k,2.4294750690460205,M3,37,400
diversity_96k,1.5958420038223267,M3,37,450
diversity_96k,1.3527950048446655,M3,37,500
diversity_96k,0.5322229862213135,M3,37,550
diversity_96k,0.0906740203499794,M3,37,600
diversity_96k,0.030767425894737244,M3,37,650
diversity_96k,0.02175482176244259,M3,37,700
diversity_96k,0.017031675204634666,M3,37,750
diversity_96k,0.011672437191009521,M3,37,800
diversity_96k,0.005480360239744186,M3,37,850
diversity_96k,0.009207789786159992,M3,37,900
diversity_96k,0.008556270971894264,M3,37,950
diversity_96k,0.007464144378900528,M3,37,1000
diversity_96k,20.242294311523438,M4,11,1
diversity_96k,5.071836948394775,M4,11,50
diversity_96k,3.4324893951416016,M4,11,100
diversity_96k,2.754671096801758,M4,11,150
diversity_96k,2.698713541030884,M4,11,200
diversity_96k,2.166249990463257,M4,11,250
diversity_96k,2.6323745250701904,M4,11,300
diversity_96k,2.5260095596313477,M4,11,350
diversity_96k,2.247997522354126,M4,11,400
diversity_96k,1.783807396888733,M4,11,450
diversity_96k,1.6421785354614258,M4,11,500
diversity_96k,1.255806565284729,M4,11,550
diversity_96k,1.155508041381836,M4,11,600
diversity_96k,1.0150113105773926,M4,11,650
diversity_96k,0.5603153705596924,M4,11,700
diversity_96k,0.4958609640598297,M4,11,750
diversity_96k,0.198581263422966,M4,11,800
diversity_96k,0.14073555171489716,M4,11,850
diversity_96k,0.08535528182983398,M4,11,900
diversity_96k,0.03285732492804527,M4,11,950
diversity_96k,0.05146681144833565,M4,11,1000
diversity_96k,22.295942306518555,M4,23,1
diversity_96k,7.32881498336792,M4,23,50
diversity_96k,4.04387903213501,M4,23,100
diversity_96k,3.477490186691284,M4,23,150
diversity_96k,2.8674049377441406,M4,23,200
diversity_96k,2.6262223720550537,M4,23,250
diversity_96k,2.703871488571167,M4,23,300
diversity_96k,2.120091438293457,M4,23,350
diversity_96k,1.696558952331543,M4,23,400
diversity_96k,1.2276397943496704,M4,23,450
diversity_96k,0.7905824184417725,M4,23,500
diversity_96k,0.23607289791107178,M4,23,550
diversity_96k,0.12559479475021362,M4,23,600
diversity_96k,0.05144233629107475,M4,23,650
diversity_96k,0.03565266355872154,M4,23,700
diversity_96k,0.017906492576003075,M4,23,750
diversity_96k,0.021083176136016846,M4,23,800
diversity_96k,0.012842929922044277,M4,23,850
diversity_96k,0.014987572096288204,M4,23,900
diversity_96k,0.008673577569425106,M4,23,950
diversity_96k,0.011448080651462078,M4,23,1000
diversity_96k,22.767343521118164,M4,37,1
diversity_96k,8.17056941986084,M4,37,50
diversity_96k,4.591308116912842,M4,37,100
diversity_96k,3.549684762954712,M4,37,150
diversity_96k,3.120436906814575,M4,37,200
diversity_96k,2.378481149673462,M4,37,250
diversity_96k,2.9769256114959717,M4,37,300
diversity_96k,2.317368268966675,M4,37,350
diversity_96k,1.6556504964828491,M4,37,400
diversity_96k,0.8669301867485046,M4,37,450
diversity_96k,0.23998086154460907,M4,37,500
diversity_96k,0.0938715934753418,M4,37,550
diversity_96k,0.04626506194472313,M4,37,600
diversity_96k,0.03998030722141266,M4,37,650
diversity_96k,0.031044935807585716,M4,37,700
diversity_96k,0.03506147116422653,M4,37,750
diversity_96k,0.012973400764167309,M4,37,800
diversity_96k,0.016493014991283417,M4,37,850
diversity_96k,0.013876081444323063,M4,37,900
diversity_96k,0.007909614592790604,M4,37,950
diversity_96k,0.009976084344089031,M4,37,1000
