architecture,depth,exact_trajectory_accuracy,final_accuracy,invalid_call_rate,machine,mean_model_forwards,mean_tool_calls,n,nontermination_rate,one_call_coverage,per_transition_accuracy,post_tool_answer_accuracy,seed,seed_pass,selected_edge_validity,termination_accuracy,termination_precision,termination_recall
one_head,2,,0.0,1.0,M3,,,64,,0.0,,0.0,23,0,0.0,,,
one_head,3,,0.0,0.984375,M3,,,64,,0.005208333333333333,,0.0,23,0,0.015625,,,
one_head,4,,0.0,1.0,M3,,,64,,0.0,,0.0,23,0,0.0,,,
one_head,6,,0.015625,1.0,M3,,,64,,0.0,,0.015625,23,0,0.0,,,
one_head,8,,0.015625,1.0,M3,,,64,,0.0,,0.015625,23,0,0.0,,,
one_head,1,,0.0,1.0,M3,,,64,,0.0,,0.0,37,0,0.0,,,
one_head,2,,0.0,0.984375,M3,,,64,,0.0078125,,0.0,37,0,0.015625,,,
one_head,3,,0.0,0.984375,M3,,,64,,0.005208333333333333,,0.0,37,0,0.015625,,,
one_head,4,,0.015625,0.984375,M3,,,64,,0.00390625,,0.015625,37,0,0.015625,,,
one_head,6,,0.0,0.984375,M3,,,64,,0.0026041666666666665,,0.0,37,0,0.015625,,,
one_head,8,,0.0,1.0,M3,,,64,,0.0,,0.0,37,0,0.0,,,
one_head,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
one_head,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
one_head,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
one_head,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,11,0,,0.0,0.0,0.0
one_head,6,0.0,0.0,1.0,M4,1.1875,1.1875,64,0.0,,0.03125,,11,0,,0.0,0.0,0.0
one_head,8,0.0,0.0,1.0,M4,1.609375,1.609375,64,0.0,,0.076171875,,11,0,,0.0,0.0,0.0
one_head,1,0.953125,0.953125,0.046875,M4,1.953125,1.0,64,0.0,,0.953125,,23,1,,0.953125,1.0,0.953125
one_head,2,0.0,0.0,1.0,M4,2.0,2.0,64,0.0,,0.5,,23,0,,0.0,0.0,0.0
one_head,3,0.0,0.0,1.0,M4,1.953125,1.953125,64,0.0,,0.3177083333333333,,23,0,,0.0,0.0,0.0
one_head,4,0.0,0.0,0.328125,M4,1.78125,1.109375,64,0.0,,0.1953125,,23,0,,0.0,0.0,0.0
one_head,6,0.0,0.0,0.9375,M4,1.703125,1.640625,64,0.0,,0.1171875,,23,0,,0.0,0.0,0.0
one_head,8,0.0,0.0,0.65625,M4,1.6875,1.34375,64,0.0,,0.0859375,,23,0,,0.0,0.0,0.0
one_head,1,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
one_head,2,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
one_head,3,0.0,0.0,1.0,M4,1.015625,1.015625,64,0.0,,0.005208333333333333,,37,0,,0.0,0.0,0.0
one_head,4,0.0,0.0,0.984375,M4,1.015625,1.0,64,0.0,,0.00390625,,37,0,,0.0,0.0,0.0
one_head,6,0.0,0.0,0.96875,M4,1.0,0.96875,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
one_head,8,0.0,0.0,0.890625,M4,1.0,0.890625,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
wide,1,,1.0,0.0,M3,,,64,,1.0,,1.0,11,1,1.0,,,
wide,2,,1.0,0.0,M3,,,64,,0.5,,1.0,11,0,1.0,,,
wide,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,11,0,1.0,,,
wide,4,,0.015625,0.4375,M3,,,64,,0.140625,,0.015625,11,0,0.5625,,,
wide,6,,0.015625,0.953125,M3,,,64,,0.0078125,,0.015625,11,0,0.046875,,,
wide,8,,0.0,1.0,M3,,,64,,0.0,,0.0,11,0,0.0,,,
wide,1,,1.0,0.0,M3,,,64,,1.0,,1.0,23,1,1.0,,,
wide,2,,1.0,0.0,M3,,,64,,0.5,,1.0,23,0,1.0,,,
wide,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,23,0,1.0,,,
wide,4,,0.015625,0.984375,M3,,,64,,0.00390625,,0.015625,23,0,0.015625,,,
wide,6,,0.0,0.40625,M3,,,64,,0.09895833333333331,,0.0,23,0,0.59375,,,
wide,8,,0.015625,0.703125,M3,,,64,,0.037109375,,0.015625,23,0,0.296875,,,
wide,1,,1.0,0.0,M3,,,64,,1.0,,1.0,37,1,1.0,,,
wide,2,,1.0,0.015625,M3,,,64,,0.4921875,,1.0,37,0,0.984375,,,
wide,3,,1.0,0.0,M3,,,64,,0.3333333333333333,,1.0,37,0,1.0,,,
wide,4,,0.015625,0.9375,M3,,,64,,0.015625,,0.015625,37,0,0.0625,,,
wide,6,,0.0,0.640625,M3,,,64,,0.05989583333333333,,0.0,37,0,0.359375,,,
wide,8,,0.0,0.515625,M3,,,64,,0.060546875,,0.0,37,0,0.484375,,,
wide,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
wide,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
wide,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,11,1,,1.0,1.0,1.0
wide,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,11,0,,0.0,0.0,0.0
wide,6,0.0,0.0,0.78125,M4,1.0,0.78125,64,0.0,,0.0,,11,0,,0.0,0.0,0.0
wide,8,0.0,0.0,0.890625,M4,1.0,0.890625,64,0.0,,0.0,,11,0,,0.0,0.0,0.0
wide,1,0.984375,0.984375,0.015625,M4,1.984375,1.0,64,0.0,,0.984375,,23,1,,0.984375,1.0,0.984375
wide,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
wide,3,1.0,1.0,0.0,M4,4.0,3.0,64,0.0,,1.0,,23,1,,1.0,1.0,1.0
wide,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,23,0,,0.0,0.0,0.0
wide,6,0.0,0.0,0.90625,M4,1.796875,1.703125,64,0.0,,0.1328125,,23,0,,0.0,0.0,0.0
wide,8,0.0,0.0,0.96875,M4,1.5625,1.53125,64,0.0,,0.0703125,,23,0,,0.0,0.0,0.0
wide,1,1.0,1.0,0.0,M4,2.0,1.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
wide,2,1.0,1.0,0.0,M4,3.0,2.0,64,0.0,,1.0,,37,1,,1.0,1.0,1.0
wide,3,0.984375,0.984375,0.015625,M4,3.953125,2.96875,64,0.0,,0.984375,,37,1,,0.984375,1.0,0.984375
wide,4,0.0,0.0,1.0,M4,1.0,1.0,64,0.0,,0.0,,37,0,,0.0,0.0,0.0
wide,6,0.0,0.0,0.984375,M4,1.53125,1.515625,64,0.0,,0.08854166666666666,,37,0,,0.0,0.0,0.0
wide,8,0.0,0.0,0.984375,M4,1.765625,1.75,64,0.0,,0.095703125,,37,0,,0.0,0.0,0.0
