dependency_span,family_id,final_margin,model_depth,model_seed,model_type,model_width,nuisance_count,parameter_count,predictive_order,raw_length,span_mode,top1_correct,training_budget,training_steps
1,"p1:(3,):14",6.34758186340332,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(2,):15",6.407783508300781,2,11,transformer,32,2,22784,1,4,contiguous,1,1,400
1,"p1:(2,):0",6.217833518981934,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(3,):1",6.346085548400879,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(2,):2",6.421027183532715,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(0,):3",6.331146240234375,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(2,):4",6.400845527648926,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(0,):5",6.123612403869629,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(2,):6",6.557458877563477,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(2,):7",5.604924201965332,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(3,):8",6.669970512390137,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(3,):9",5.237123489379883,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(1,):10",7.599010467529297,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(1,):11",8.002413749694824,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(3,):12",6.471364974975586,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(3,):13",6.5435791015625,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(3,):14",6.190079689025879,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(2,):15",6.533049583435059,2,11,transformer,32,4,22784,1,4,contiguous,1,1,400
1,"p1:(2,):0",6.715832710266113,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(3,):1",5.863677024841309,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(2,):2",6.412009239196777,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(0,):3",6.170723915100098,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(2,):4",6.313267707824707,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(0,):5",6.379120826721191,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(2,):6",5.5197906494140625,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(2,):7",6.319652557373047,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(3,):8",6.788671493530273,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(3,):9",6.261930465698242,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(1,):10",8.010480880737305,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(1,):11",7.637468338012695,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(3,):12",6.093780517578125,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(3,):13",5.095150947570801,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(3,):14",6.169416427612305,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(2,):15",6.777621269226074,2,11,transformer,32,8,22784,1,4,contiguous,1,1,400
1,"p1:(2,):0",6.411789894104004,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(3,):1",6.669471740722656,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(2,):2",6.411789894104004,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(0,):3",6.485475540161133,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(2,):4",6.411789894104004,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(0,):5",6.485475540161133,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(2,):6",6.411789894104004,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(2,):7",6.411789894104004,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(3,):8",6.669471740722656,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(3,):9",6.669471740722656,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(1,):10",7.779227256774902,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(1,):11",7.779227256774902,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(3,):12",6.669471740722656,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(3,):13",6.669471740722656,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(3,):14",6.669471740722656,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(2,):15",6.411789894104004,2,11,transformer,32,0,22784,1,4,moderate,1,1,400
1,"p1:(2,):0",6.383021354675293,2,11,transformer,32,2,22784,1,4,moderate,1,1,400
1,"p1:(3,):1",6.508603096008301,2,11,transformer,32,2,22784,1,4,moderate,1,1,400
1,"p1:(2,):2",6.238677978515625,2,11,transformer,32,2,22784,1,4,moderate,1,1,400
1,"p1:(0,):3",6.584728240966797,2,11,transformer,32,2,22784,1,4,moderate,1,1,400
1,"p1:(2,):4",6.202976226806641,2,11,transformer,32,2,22784,1,4,moderate,1,1,400
1,"p1:(0,):5",6.915619850158691,2,11,transformer,32,2,22784,1,4,moderate,1,1,400
1,"p1:(2,):6",6.282854080200195,2,11,transformer,32,2,22784,1,4,moderate,1,1,400
