accuracy,accuracy_ci_high,accuracy_ci_low,dependency_span,mean_margin,model_depth,model_seed,model_width,n_families,nuisance_count,parameter_count,predictive_order,raw_length,span_mode,training_budget,training_steps
0.3125,0.5625,0.125,3,-0.45225512981414795,2,11,32,16,2,22784,3,3,contiguous,1,400
0.3125,0.5625,0.125,3,-0.45171064138412476,2,11,32,16,4,22784,3,3,contiguous,1,400
0.3125,0.5625,0.125,3,-0.45102035999298096,2,11,32,16,8,22784,3,3,contiguous,1,400
0.3125,0.5625,0.125,5,-0.3003300428390503,2,11,32,16,0,22784,3,3,moderate,1,400
0.3125,0.5625,0.125,5,-0.29254287481307983,2,11,32,16,2,22784,3,3,moderate,1,400
0.3125,0.5625,0.12343750000000009,5,-0.28974926471710205,2,11,32,16,4,22784,3,3,moderate,1,400
0.3125,0.5625,0.125,5,-0.29148972034454346,2,11,32,16,8,22784,3,3,moderate,1,400
0.3125,0.5625,0.125,7,-0.2729129195213318,2,11,32,16,0,22784,3,3,large,1,400
0.3125,0.5625,0.0625,7,-0.2707517743110657,2,11,32,16,2,22784,3,3,large,1,400
0.3125,0.5625,0.125,7,-0.26993751525878906,2,11,32,16,4,22784,3,3,large,1,400
0.3125,0.5625,0.0625,7,-0.2706133723258972,2,11,32,16,8,22784,3,3,large,1,400
0.3125,0.5625,0.125,3,-0.22730600833892822,2,11,32,16,0,22784,3,6,contiguous,1,400
0.3125,0.5625,0.0625,3,-0.2270578145980835,2,11,32,16,2,22784,3,6,contiguous,1,400
0.3125,0.5625,0.125,3,-0.2262357473373413,2,11,32,16,4,22784,3,6,contiguous,1,400
0.3125,0.5625,0.12343750000000009,3,-0.23191368579864502,2,11,32,16,8,22784,3,6,contiguous,1,400
0.3125,0.5625,0.125,5,-0.19634675979614258,2,11,32,16,0,22784,3,6,moderate,1,400
0.3125,0.5625,0.12343750000000009,5,-0.19537150859832764,2,11,32,16,2,22784,3,6,moderate,1,400
0.3125,0.5625,0.125,5,-0.193955659866333,2,11,32,16,4,22784,3,6,moderate,1,400
0.3125,0.5625,0.125,5,-0.1895279884338379,2,11,32,16,8,22784,3,6,moderate,1,400
0.3125,0.5625,0.125,7,-0.23544031381607056,2,11,32,16,0,22784,3,6,large,1,400
0.3125,0.5625,0.125,7,-0.22853130102157593,2,11,32,16,2,22784,3,6,large,1,400
0.3125,0.5,0.125,7,-0.216083824634552,2,11,32,16,4,22784,3,6,large,1,400
0.25,0.5,0.0625,7,-0.30077242851257324,2,11,32,16,8,22784,3,6,large,1,400
0.3125,0.5625,0.0625,3,-0.26554566621780396,2,11,32,16,0,22784,3,8,contiguous,1,400
0.3125,0.5625,0.125,3,-0.265616238117218,2,11,32,16,2,22784,3,8,contiguous,1,400
0.3125,0.5625,0.125,3,-0.2672944664955139,2,11,32,16,4,22784,3,8,contiguous,1,400
0.3125,0.5625,0.125,3,-0.2631228566169739,2,11,32,16,8,22784,3,8,contiguous,1,400
0.3125,0.5625,0.125,5,-0.2783263921737671,2,11,32,16,0,22784,3,8,moderate,1,400
0.3125,0.5625,0.125,5,-0.2702324390411377,2,11,32,16,2,22784,3,8,moderate,1,400
0.3125,0.5625,0.125,5,-0.2582157850265503,2,11,32,16,4,22784,3,8,moderate,1,400
0.1875,0.375,0.0,5,-0.3464811444282532,2,11,32,16,8,22784,3,8,moderate,1,400
0.25,0.5,0.0625,7,-0.2284470796585083,2,11,32,16,0,22784,3,8,large,1,400
0.25,0.4375,0.0625,7,-0.20150339603424072,2,11,32,16,2,22784,3,8,large,1,400
0.25,0.4390624999999986,0.0625,7,-0.22310900688171387,2,11,32,16,4,22784,3,8,large,1,400
0.3125,0.5625,0.125,7,-0.17905712127685547,2,11,32,16,8,22784,3,8,large,1,400
0.1875,0.375,0.0,4,-0.4217923879623413,2,11,32,16,0,22784,4,4,contiguous,1,400
0.1875,0.375,0.0,4,-0.4185526371002197,2,11,32,16,2,22784,4,4,contiguous,1,400
0.1875,0.4375,0.0,4,-0.4185498356819153,2,11,32,16,4,22784,4,4,contiguous,1,400
0.1875,0.375,0.0,4,-0.4139830470085144,2,11,32,16,8,22784,4,4,contiguous,1,400
0.1875,0.375,0.0,7,-0.3794035315513611,2,11,32,16,0,22784,4,4,moderate,1,400
0.1875,0.4375,0.0,7,-0.37602049112319946,2,11,32,16,2,22784,4,4,moderate,1,400
0.1875,0.375,0.0,7,-0.3770213723182678,2,11,32,16,4,22784,4,4,moderate,1,400
0.1875,0.375,0.0,7,-0.36948198080062866,2,11,32,16,8,22784,4,4,moderate,1,400
0.1875,0.375,0.0,10,-0.3969919681549072,2,11,32,16,0,22784,4,4,large,1,400
0.1875,0.375,0.0,10,-0.3928554058074951,2,11,32,16,2,22784,4,4,large,1,400
0.1875,0.375,0.0,10,-0.3927266001701355,2,11,32,16,4,22784,4,4,large,1,400
0.1875,0.375,0.0,10,-0.3920741677284241,2,11,32,16,8,22784,4,4,large,1,400
0.1875,0.375,0.0,4,-0.33824384212493896,2,11,32,16,0,22784,4,6,contiguous,1,400
0.1875,0.3765624999999986,0.0,4,-0.33647578954696655,2,11,32,16,2,22784,4,6,contiguous,1,400
0.1875,0.375,0.0,4,-0.333135724067688,2,11,32,16,4,22784,4,6,contiguous,1,400
0.1875,0.375,0.0,4,-0.328782856464386,2,11,32,16,8,22784,4,6,contiguous,1,400
0.1875,0.375,0.0,7,-0.369498074054718,2,11,32,16,0,22784,4,6,moderate,1,400
0.1875,0.375,0.0,7,-0.3686354160308838,2,11,32,16,2,22784,4,6,moderate,1,400
0.1875,0.375,0.0,7,-0.3651468753814697,2,11,32,16,4,22784,4,6,moderate,1,400
0.1875,0.375,0.0,7,-0.3631035089492798,2,11,32,16,8,22784,4,6,moderate,1,400
0.25,0.4375,0.0625,10,-0.23296356201171875,2,11,32,16,0,22784,4,6,large,1,400
0.25,0.5,0.0625,10,-0.232008159160614,2,11,32,16,2,22784,4,6,large,1,400
0.25,0.5,0.0625,10,-0.2308993935585022,2,11,32,16,4,22784,4,6,large,1,400
0.1875,0.375,0.0,10,-0.22938472032546997,2,11,32,16,8,22784,4,6,large,1,400
0.1875,0.375,0.0,4,-0.2953782081604004,2,11,32,16,0,22784,4,8,contiguous,1,400
0.1875,0.375,0.0,4,-0.2930724620819092,2,11,32,16,2,22784,4,8,contiguous,1,400
0.1875,0.3765624999999986,0.0,4,-0.28757715225219727,2,11,32,16,4,22784,4,8,contiguous,1,400
0.1875,0.4375,0.0,4,-0.2862547039985657,2,11,32,16,8,22784,4,8,contiguous,1,400
0.3125,0.5625,0.125,7,-0.3003060221672058,2,11,32,16,0,22784,4,8,moderate,1,400
0.3125,0.5015624999999986,0.125,7,-0.29654109477996826,2,11,32,16,2,22784,4,8,moderate,1,400
0.3125,0.5625,0.125,7,-0.2951217293739319,2,11,32,16,4,22784,4,8,moderate,1,400
0.3125,0.5625,0.125,7,-0.2854424715042114,2,11,32,16,8,22784,4,8,moderate,1,400
0.1875,0.375,0.0,10,-0.39525043964385986,2,11,32,16,0,22784,4,8,large,1,400
0.1875,0.375,0.0,10,-0.39514434337615967,2,11,32,16,2,22784,4,8,large,1,400
0.1875,0.375,0.06093750000000009,10,-0.4011126160621643,2,11,32,16,4,22784,4,8,large,1,400
0.1875,0.375,0.0,10,-0.382182776927948,2,11,32,16,8,22784,4,8,large,1,400
0.375,0.625,0.125,6,-0.32307201623916626,2,11,32,16,0,22784,6,6,contiguous,1,400
0.375,0.625,0.125,6,-0.32043004035949707,2,11,32,16,2,22784,6,6,contiguous,1,400
0.375,0.625,0.125,6,-0.3166077733039856,2,11,32,16,4,22784,6,6,contiguous,1,400
0.375,0.625,0.125,6,-0.3076293468475342,2,11,32,16,8,22784,6,6,contiguous,1,400
0.375,0.625,0.125,11,-0.34659087657928467,2,11,32,16,0,22784,6,6,moderate,1,400
0.375,0.625,0.125,11,-0.3407512307167053,2,11,32,16,2,22784,6,6,moderate,1,400
0.375,0.625,0.125,11,-0.3399592638015747,2,11,32,16,4,22784,6,6,moderate,1,400
0.375,0.625,0.125,11,-0.33283209800720215,2,11,32,16,8,22784,6,6,moderate,1,400
0.375,0.625,0.125,16,-0.3253991603851319,2,11,32,16,0,22784,6,6,large,1,400
0.375,0.625,0.125,16,-0.32805895805358887,2,11,32,16,2,22784,6,6,large,1,400
0.375,0.625,0.1875,16,-0.3219943046569824,2,11,32,16,4,22784,6,6,large,1,400
0.3125,0.5625,0.125,16,-0.339477002620697,2,11,32,16,8,22784,6,6,large,1,400
0.375,0.625,0.125,6,-0.34436899423599243,2,11,32,16,0,22784,6,8,contiguous,1,400
0.375,0.625,0.1875,6,-0.3404775857925415,2,11,32,16,2,22784,6,8,contiguous,1,400
0.375,0.625,0.125,6,-0.32894569635391235,2,11,32,16,4,22784,6,8,contiguous,1,400
0.375,0.625,0.125,6,-0.3288844227790833,2,11,32,16,8,22784,6,8,contiguous,1,400
0.375,0.625,0.1875,11,-0.35241055488586426,2,11,32,16,0,22784,6,8,moderate,1,400
0.375,0.625,0.125,11,-0.35015809535980225,2,11,32,16,2,22784,6,8,moderate,1,400
0.375,0.625,0.125,11,-0.3466854691505432,2,11,32,16,4,22784,6,8,moderate,1,400
0.375,0.625,0.125,11,-0.3379697799682617,2,11,32,16,8,22784,6,8,moderate,1,400
0.375,0.625,0.1875,16,-0.3585137724876404,2,11,32,16,0,22784,6,8,large,1,400
0.375,0.625,0.125,16,-0.35623520612716675,2,11,32,16,2,22784,6,8,large,1,400
0.375,0.625,0.1875,16,-0.3580971360206604,2,11,32,16,4,22784,6,8,large,1,400
0.375,0.625,0.125,16,-0.3399849534034729,2,11,32,16,8,22784,6,8,large,1,400
0.4375,0.6875,0.1875,6,-0.3263472318649292,2,11,32,16,0,22784,6,10,contiguous,1,400
0.375,0.5625,0.125,6,-0.31518375873565674,2,11,32,16,2,22784,6,10,contiguous,1,400
0.375,0.625,0.125,6,-0.31361711025238037,2,11,32,16,4,22784,6,10,contiguous,1,400
0.3125,0.5625,0.125,6,-0.3251917362213135,2,11,32,16,8,22784,6,10,contiguous,1,400
0.375,0.625,0.1875,11,-0.29125452041625977,2,11,32,16,0,22784,6,10,moderate,1,400
0.375,0.625,0.125,11,-0.2935940623283386,2,11,32,16,2,22784,6,10,moderate,1,400
0.375,0.625,0.1875,11,-0.35047733783721924,2,11,32,16,4,22784,6,10,moderate,1,400
0.25,0.4375,0.0625,11,-0.43819355964660645,2,11,32,16,8,22784,6,10,moderate,1,400
0.375,0.625,0.1875,16,-0.24653226137161255,2,11,32,16,0,22784,6,10,large,1,400
0.375,0.625,0.125,16,-0.3097154498100281,2,11,32,16,2,22784,6,10,large,1,400
0.3125,0.5625,0.12343750000000009,16,-0.32525867223739624,2,11,32,16,4,22784,6,10,large,1,400
0.4375,0.6875,0.1875,16,-0.20414996147155762,2,11,32,16,8,22784,6,10,large,1,400
0.4375,0.6875,0.1875,8,-0.233289897441864,2,11,32,16,0,22784,8,8,contiguous,1,400
0.4375,0.6875,0.1875,8,-0.23347365856170654,2,11,32,16,2,22784,8,8,contiguous,1,400
0.4375,0.6875,0.2484375000000001,8,-0.23319822549819946,2,11,32,16,4,22784,8,8,contiguous,1,400
0.4375,0.6875,0.1875,8,-0.22981584072113037,2,11,32,16,8,22784,8,8,contiguous,1,400
0.375,0.625,0.125,15,-0.3489055633544922,2,11,32,16,0,22784,8,8,moderate,1,400
0.375,0.625,0.125,15,-0.34851503372192383,2,11,32,16,2,22784,8,8,moderate,1,400
0.375,0.625,0.125,15,-0.34502673149108887,2,11,32,16,4,22784,8,8,moderate,1,400
0.375,0.625,0.1875,15,-0.3326382040977478,2,11,32,16,8,22784,8,8,moderate,1,400
0.375,0.625,0.125,22,-0.12925291061401367,2,11,32,16,0,22784,8,8,large,1,400
0.375,0.625,0.125,22,-0.1309780478477478,2,11,32,16,2,22784,8,8,large,1,400
0.4375,0.6875,0.1875,22,-0.12665563821792603,2,11,32,16,4,22784,8,8,large,1,400
0.4375,0.6875,0.1875,22,-0.1359933614730835,2,11,32,16,8,22784,8,8,large,1,400
0.375,0.625,0.125,8,-0.17893463373184204,2,11,32,16,0,22784,8,10,contiguous,1,400
0.375,0.625,0.1875,8,-0.17230147123336792,2,11,32,16,2,22784,8,10,contiguous,1,400
0.375,0.625,0.125,8,-0.1717584729194641,2,11,32,16,4,22784,8,10,contiguous,1,400
0.375,0.625,0.125,8,-0.17835229635238647,2,11,32,16,8,22784,8,10,contiguous,1,400
0.375,0.625,0.1875,15,-0.18969273567199707,2,11,32,16,0,22784,8,10,moderate,1,400
0.375,0.625,0.1875,15,-0.18900644779205322,2,11,32,16,2,22784,8,10,moderate,1,400
0.375,0.625,0.125,15,-0.1856709122657776,2,11,32,16,4,22784,8,10,moderate,1,400
0.375,0.625,0.125,15,-0.18849581480026245,2,11,32,16,8,22784,8,10,moderate,1,400
0.375,0.625,0.125,22,-0.21990787982940674,2,11,32,16,0,22784,8,10,large,1,400
0.375,0.625,0.1875,22,-0.23592913150787354,2,11,32,16,2,22784,8,10,large,1,400
0.375,0.625,0.125,22,-0.23775917291641235,2,11,32,16,4,22784,8,10,large,1,400
0.375,0.625,0.125,22,-0.25364744663238525,2,11,32,16,8,22784,8,10,large,1,400
1.0,1.0,1.0,1,9.950698137283325,2,11,64,16,0,78336,1,1,contiguous,1,400
1.0,1.0,1.0,1,9.83604633808136,2,11,64,16,2,78336,1,1,contiguous,1,400
1.0,1.0,1.0,1,10.099658727645874,2,11,64,16,4,78336,1,1,contiguous,1,400
1.0,1.0,1.0,1,9.775797665119171,2,11,64,16,8,78336,1,1,contiguous,1,400
1.0,1.0,1.0,1,9.950698137283325,2,11,64,16,0,78336,1,1,large,1,400
1.0,1.0,1.0,1,9.83604633808136,2,11,64,16,2,78336,1,1,large,1,400
1.0,1.0,1.0,1,10.099658727645874,2,11,64,16,4,78336,1,1,large,1,400
1.0,1.0,1.0,1,9.775797665119171,2,11,64,16,8,78336,1,1,large,1,400
1.0,1.0,1.0,1,9.950698137283325,2,11,64,16,0,78336,1,1,moderate,1,400
1.0,1.0,1.0,1,9.83604633808136,2,11,64,16,2,78336,1,1,moderate,1,400
1.0,1.0,1.0,1,10.099658727645874,2,11,64,16,4,78336,1,1,moderate,1,400
1.0,1.0,1.0,1,9.775797665119171,2,11,64,16,8,78336,1,1,moderate,1,400
1.0,1.0,1.0,1,7.825974941253662,2,11,64,16,0,78336,1,4,contiguous,1,400
1.0,1.0,1.0,1,7.7459588050842285,2,11,64,16,2,78336,1,4,contiguous,1,400
1.0,1.0,1.0,1,7.701038718223572,2,11,64,16,4,78336,1,4,contiguous,1,400
1.0,1.0,1.0,1,7.423455238342285,2,11,64,16,8,78336,1,4,contiguous,1,400
1.0,1.0,1.0,1,7.825974941253662,2,11,64,16,0,78336,1,4,large,1,400
1.0,1.0,1.0,1,7.7459588050842285,2,11,64,16,2,78336,1,4,large,1,400
1.0,1.0,1.0,1,7.701038718223572,2,11,64,16,4,78336,1,4,large,1,400
1.0,1.0,1.0,1,7.423455238342285,2,11,64,16,8,78336,1,4,large,1,400
1.0,1.0,1.0,1,7.825974941253662,2,11,64,16,0,78336,1,4,moderate,1,400
1.0,1.0,1.0,1,7.7459588050842285,2,11,64,16,2,78336,1,4,moderate,1,400
1.0,1.0,1.0,1,7.701038718223572,2,11,64,16,4,78336,1,4,moderate,1,400
1.0,1.0,1.0,1,7.423455238342285,2,11,64,16,8,78336,1,4,moderate,1,400
1.0,1.0,1.0,1,8.624082446098328,2,11,64,16,0,78336,1,8,contiguous,1,400
1.0,1.0,1.0,1,8.49214893579483,2,11,64,16,2,78336,1,8,contiguous,1,400
1.0,1.0,1.0,1,8.420023798942566,2,11,64,16,4,78336,1,8,contiguous,1,400
1.0,1.0,1.0,1,8.03858631849289,2,11,64,16,8,78336,1,8,contiguous,1,400
1.0,1.0,1.0,1,8.624082446098328,2,11,64,16,0,78336,1,8,large,1,400
1.0,1.0,1.0,1,8.49214893579483,2,11,64,16,2,78336,1,8,large,1,400
1.0,1.0,1.0,1,8.420023798942566,2,11,64,16,4,78336,1,8,large,1,400
1.0,1.0,1.0,1,8.03858631849289,2,11,64,16,8,78336,1,8,large,1,400
1.0,1.0,1.0,1,8.624082446098328,2,11,64,16,0,78336,1,8,moderate,1,400
1.0,1.0,1.0,1,8.49214893579483,2,11,64,16,2,78336,1,8,moderate,1,400
1.0,1.0,1.0,1,8.420023798942566,2,11,64,16,4,78336,1,8,moderate,1,400
1.0,1.0,1.0,1,8.03858631849289,2,11,64,16,8,78336,1,8,moderate,1,400
0.625,0.8125,0.375,2,1.1999040842056274,2,11,64,16,0,78336,2,2,contiguous,1,400
0.625,0.8125,0.375,2,1.222109079360962,2,11,64,16,2,78336,2,2,contiguous,1,400
0.625,0.875,0.375,2,1.2428611516952515,2,11,64,16,4,78336,2,2,contiguous,1,400
0.625,0.875,0.375,2,1.2842183113098145,2,11,64,16,8,78336,2,2,contiguous,1,400
0.625,0.875,0.375,3,1.4339221715927124,2,11,64,16,0,78336,2,2,moderate,1,400
0.625,0.875,0.375,3,1.4542512893676758,2,11,64,16,2,78336,2,2,moderate,1,400
0.625,0.875,0.375,3,1.4677958488464355,2,11,64,16,4,78336,2,2,moderate,1,400
0.625,0.875,0.375,3,1.4739686250686646,2,11,64,16,8,78336,2,2,moderate,1,400
0.625,0.875,0.375,4,1.3874353170394897,2,11,64,16,0,78336,2,2,large,1,400
0.625,0.8125,0.375,4,1.4044212102890015,2,11,64,16,2,78336,2,2,large,1,400
0.625,0.875,0.375,4,1.4093278646469116,2,11,64,16,4,78336,2,2,large,1,400
0.625,0.8125,0.375,4,1.385952353477478,2,11,64,16,8,78336,2,2,large,1,400
0.5,0.75,0.25,2,0.6449124813079834,2,11,64,16,0,78336,2,4,contiguous,1,400
0.5625,0.8125,0.3125,2,0.644094705581665,2,11,64,16,2,78336,2,4,contiguous,1,400
0.625,0.8125,0.375,2,0.6519001722335815,2,11,64,16,4,78336,2,4,contiguous,1,400
0.5625,0.8125,0.3125,2,0.634319543838501,2,11,64,16,8,78336,2,4,contiguous,1,400
0.5,0.75,0.25,3,0.7409161329269409,2,11,64,16,0,78336,2,4,moderate,1,400
0.625,0.875,0.375,3,0.7385358810424805,2,11,64,16,2,78336,2,4,moderate,1,400
0.625,0.875,0.375,3,0.7453416585922241,2,11,64,16,4,78336,2,4,moderate,1,400
0.5625,0.8125,0.3125,3,0.7628166675567627,2,11,64,16,8,78336,2,4,moderate,1,400
0.5,0.75,0.25,4,0.033190011978149414,2,11,64,16,0,78336,2,4,large,1,400
0.4375,0.6875,0.1875,4,-0.2788587808609009,2,11,64,16,2,78336,2,4,large,1,400
0.4375,0.6875,0.1875,4,-0.2046964168548584,2,11,64,16,4,78336,2,4,large,1,400
0.375,0.625,0.125,4,-0.24157655239105225,2,11,64,16,8,78336,2,4,large,1,400
0.5,0.75,0.25,2,0.6616607904434204,2,11,64,16,0,78336,2,8,contiguous,1,400
0.5,0.75,0.25,2,0.6573120355606079,2,11,64,16,2,78336,2,8,contiguous,1,400
0.5,0.75,0.25,2,0.6321107149124146,2,11,64,16,4,78336,2,8,contiguous,1,400
0.5,0.75,0.25,2,0.5626257658004761,2,11,64,16,8,78336,2,8,contiguous,1,400
0.5,0.75,0.25,3,0.5936424732208252,2,11,64,16,0,78336,2,8,moderate,1,400
0.5,0.75,0.25,3,0.5964899063110352,2,11,64,16,2,78336,2,8,moderate,1,400
0.5,0.75,0.25,3,0.5837523937225342,2,11,64,16,4,78336,2,8,moderate,1,400
0.5,0.75,0.25,3,0.5307019948959351,2,11,64,16,8,78336,2,8,moderate,1,400
0.5,0.75,0.25,4,0.6414510011672974,2,11,64,16,0,78336,2,8,large,1,400
0.5,0.75,0.25,4,0.6479188203811646,2,11,64,16,2,78336,2,8,large,1,400
0.5,0.75,0.25,4,0.6292378902435303,2,11,64,16,4,78336,2,8,large,1,400
0.5,0.75,0.25,4,0.5285826921463013,2,11,64,16,8,78336,2,8,large,1,400
0.0625,0.1875,0.0,3,-0.28104889392852783,2,11,64,16,0,78336,3,3,contiguous,1,400
0.0625,0.1875,0.0,3,-0.2802598476409912,2,11,64,16,2,78336,3,3,contiguous,1,400
