dependency_span,family_id,first_top1_layer,margin_trajectory,model_depth,model_seed,model_type,model_width,nuisance_count,parameter_count,predictive_order,raw_length,settling_delay,span_mode,stable_top1_layer,top1_reversals,training_budget,training_steps
8,"p8:(2, 0, 1, 2, 0, 2, 2, 2):13",1,-17.2894;0.839102;-0.250387,2,11,transformer,32,0,22784,8,8,,contiguous,,2,1,400
8,"p8:(0, 2, 2, 0, 2, 3, 2, 1):14",,-30.8781;-3.74418;-0.478985,2,11,transformer,32,0,22784,8,8,,contiguous,,0,1,400
8,"p8:(3, 2, 3, 1, 1, 2, 3, 2):15",2,-23.4829;-1.53873;0.462872,2,11,transformer,32,0,22784,8,8,0,contiguous,2,1,1,400
1,"p1:(2,):0",2,-50.6095;-11.9;7.96509,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
1,"p1:(3,):1",2,-37.1035;-19.6864;11.0859,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
1,"p1:(2,):2",2,-50.6095;-11.9;7.96509,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
1,"p1:(0,):3",1,-32.3207;2.71266;12.7132,2,11,transformer,64,0,78336,1,1,0,contiguous,1,1,1,400
1,"p1:(2,):4",2,-50.6095;-11.9;7.96509,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
1,"p1:(0,):5",1,-32.3207;2.71266;12.7132,2,11,transformer,64,0,78336,1,1,0,contiguous,1,1,1,400
1,"p1:(2,):6",2,-50.6095;-11.9;7.96509,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
1,"p1:(2,):7",2,-50.6095;-11.9;7.96509,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
1,"p1:(3,):8",2,-37.1035;-19.6864;11.0859,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
1,"p1:(3,):9",2,-37.1035;-19.6864;11.0859,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
1,"p1:(1,):10",2,-46.7437;-1.02846;9.73935,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
