condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
irrelevant,49,6,1,,6,-10.217886924743652,11,3.233058305340819e-05,36,D4,6,0,8
reversed,49,6,1,,6,6.906601905822754,11,0.990568995475769,1,D4,6,1,8
none,50,6,1,,6,-15.174169540405273,11,2.432618657621788e-07,121,D4,6,0,8
correct,50,6,1,21.64249563217163,6,6.468326091766357,11,0.9897832274436951,1,D4,6,1,8
shuffled,50,6,1,,6,-13.480574607849121,11,1.3813903478876455e-06,96,D4,6,0,8
wrong_chain,50,6,1,,6,-12.909552574157715,11,2.436929889881867e-06,93,D4,6,0,8
irrelevant,50,6,1,,6,-10.217886924743652,11,3.233058305340819e-05,36,D4,6,0,8
reversed,50,6,1,,6,6.906601905822754,11,0.990568995475769,1,D4,6,1,8
none,51,6,1,,6,-15.174169540405273,11,2.432618657621788e-07,121,D4,6,0,8
correct,51,6,1,21.64249563217163,6,6.468326091766357,11,0.9897832274436951,1,D4,6,1,8
shuffled,51,6,1,,6,-8.135258674621582,11,0.000291714008199051,6,D4,6,0,8
wrong_chain,51,6,1,,6,-12.909552574157715,11,2.436929889881867e-06,93,D4,6,0,8
irrelevant,51,6,1,,6,-10.217886924743652,11,3.233058305340819e-05,36,D4,6,0,8
reversed,51,6,1,,6,6.906601905822754,11,0.990568995475769,1,D4,6,1,8
none,52,6,1,,6,-15.174169540405273,11,2.432618657621788e-07,121,D4,6,0,8
correct,52,6,1,21.64249563217163,6,6.468326091766357,11,0.9897832274436951,1,D4,6,1,8
shuffled,52,6,1,,6,-13.480574607849121,11,1.3813903478876455e-06,96,D4,6,0,8
wrong_chain,52,6,1,,6,-12.909552574157715,11,2.436929889881867e-06,93,D4,6,0,8
irrelevant,52,6,1,,6,-10.217886924743652,11,3.233058305340819e-05,36,D4,6,0,8
reversed,52,6,1,,6,6.906601905822754,11,0.990568995475769,1,D4,6,1,8
none,53,6,1,,6,-15.174169540405273,11,2.432618657621788e-07,121,D4,6,0,8
correct,53,6,1,21.64249563217163,6,6.468326091766357,11,0.9897832274436951,1,D4,6,1,8
shuffled,53,6,1,,6,-13.480574607849121,11,1.3813903478876455e-06,96,D4,6,0,8
wrong_chain,53,6,1,,6,-12.909552574157715,11,2.436929889881867e-06,93,D4,6,0,8
irrelevant,53,6,1,,6,-10.217886924743652,11,3.233058305340819e-05,36,D4,6,0,8
reversed,53,6,1,,6,6.906601905822754,11,0.990568995475769,1,D4,6,1,8
none,54,6,1,,6,-15.174169540405273,11,2.432618657621788e-07,121,D4,6,0,8
correct,54,6,1,21.64249563217163,6,6.468326091766357,11,0.9897832274436951,1,D4,6,1,8
shuffled,54,6,1,,6,-13.480574607849121,11,1.3813903478876455e-06,96,D4,6,0,8
wrong_chain,54,6,1,,6,-12.909552574157715,11,2.436929889881867e-06,93,D4,6,0,8
irrelevant,54,6,1,,6,-10.217886924743652,11,3.233058305340819e-05,36,D4,6,0,8
reversed,54,6,1,,6,6.906601905822754,11,0.990568995475769,1,D4,6,1,8
none,55,6,1,,6,-15.174169540405273,11,2.432618657621788e-07,121,D4,6,0,8
correct,55,6,1,21.64249563217163,6,6.468326091766357,11,0.9897832274436951,1,D4,6,1,8
shuffled,55,6,1,,6,-8.135258674621582,11,0.000291714008199051,6,D4,6,0,8
wrong_chain,55,6,1,,6,-12.909552574157715,11,2.436929889881867e-06,93,D4,6,0,8
irrelevant,55,6,1,,6,-10.217886924743652,11,3.233058305340819e-05,36,D4,6,0,8
reversed,55,6,1,,6,6.906601905822754,11,0.990568995475769,1,D4,6,1,8
none,56,7,1,,6,-15.355817794799805,11,1.8162485559969355e-07,124,D4,6,0,8
correct,56,7,1,22.37655735015869,6,7.020739555358887,11,0.9910764694213867,1,D4,6,1,8
shuffled,56,7,1,,6,-8.174898147583008,11,0.0002804326650220901,6,D4,6,0,8
wrong_chain,56,7,1,,6,-10.364337921142578,11,3.0165227144607343e-05,60,D4,6,0,8
irrelevant,56,7,1,,6,-8.437128067016602,11,0.0001995215134229511,15,D4,6,0,8
reversed,56,7,1,,6,7.3788065910339355,11,0.9909703731536865,1,D4,6,1,8
none,57,7,1,,6,-15.355817794799805,11,1.8162485559969355e-07,124,D4,6,0,8
correct,57,7,1,22.37655735015869,6,7.020739555358887,11,0.9910764694213867,1,D4,6,1,8
shuffled,57,7,1,,6,-13.771787643432617,11,1.0331386874895543e-06,101,D4,6,0,8
wrong_chain,57,7,1,,6,-10.364337921142578,11,3.0165227144607343e-05,60,D4,6,0,8
irrelevant,57,7,1,,6,-8.437128067016602,11,0.0001995215134229511,15,D4,6,0,8
reversed,57,7,1,,6,7.3788065910339355,11,0.9909703731536865,1,D4,6,1,8
none,58,7,1,,6,-15.355817794799805,11,1.8162485559969355e-07,124,D4,6,0,8
correct,58,7,1,22.37655735015869,6,7.020739555358887,11,0.9910764694213867,1,D4,6,1,8
shuffled,58,7,1,,6,-8.174898147583008,11,0.0002804326650220901,6,D4,6,0,8
wrong_chain,58,7,1,,6,-10.364337921142578,11,3.0165227144607343e-05,60,D4,6,0,8
