actual_cumulative_variance,family,model_seed,nuisance_distance,nuisance_type,predictive_span,repair_fraction,summed_marginal_variance,summed_off_diagonal_covariance
1.6524548283822849,3:3,11,4,N3,2,0.27382319162689783,2.2755543957460986,-0.9344149890426934
0.0032699544390197843,0:0,11,8,N1,2,0.9930384637873448,0.46971736397426855,-0.4567273181003959
0.36223141443610984,0:1,11,8,N1,2,0.8844187775437717,3.1339988169210637,0.5574601127685059
0.2696181268046682,0:2,11,8,N1,2,0.62841807332611,0.7255953733220508,-0.36487302947322564
0.48418249116207335,0:3,11,8,N1,2,0.9333883821138184,7.268739396022322,0.2896396692382259
0.47142648170021556,1:0,11,8,N1,2,0.7723573800272336,2.070906062127619,-1.5073644063464062
0.5336364601985982,1:1,11,8,N1,2,0.8940620286075436,5.0372539060776935,0.5805605335995105
0.0168518590653548,1:2,11,8,N1,2,0.9770761441097736,0.735123233458277,-0.7203723492375502
0.10446023031605971,1:3,11,8,N1,2,0.8744185276651686,0.8318124351778806,-0.8268878064941418
0.1074554500424559,2:0,11,8,N1,2,0.8891310166852541,0.9692111069279007,-0.8742140858824238
0.29564833301931986,2:1,11,8,N1,2,0.8849496214666125,2.569729337600772,-0.48876990225790085
2.9515051136703883,2:2,11,8,N1,2,0.7966639970426941,14.515408342565438,-8.747223746616893
0.15840210382096606,2:3,11,8,N1,2,0.9241554883414406,2.0885110914032716,-1.953961068531612
0.14401528060526894,3:0,11,8,N1,2,0.5329250046448679,0.30833438320920925,-0.15633419237807775
0.03648986533903553,3:1,11,8,N1,2,0.9904847004158426,3.834862477665941,4.370481487229578
0.3354745270519288,3:2,11,8,N1,2,0.7782288337607353,1.512705789218747,-0.8687379011988318
6.671651859996018,3:3,11,8,N1,2,0.3766026191186028,10.702085162057035,1.6089611902916285
0.02307848099818936,0:0,11,8,N2,2,0.906432504874655,0.24665062335240387,-0.2364196608127713
0.006422312042559497,0:1,11,8,N2,2,0.9994731551433356,12.190139015915596,-8.116269701608871
0.6909826372990059,0:2,11,8,N2,2,0.8596812655423209,4.9243790572199755,-4.193157954347423
0.29148409585589735,0:3,11,8,N2,2,0.9455122742725555,5.34953683539561,1.4249270094977282
0.15674010881434697,1:0,11,8,N2,2,0.9170274623449653,1.8890600823372095,-1.68642304444711
0.0,1:1,11,8,N2,2,,0.0,0.0
0.0765024758780631,1:2,11,8,N2,2,0.9568727775087714,1.7738790364629342,-1.7028369517624924
0.032658067044697724,1:3,11,8,N2,2,0.9218145642675183,0.41770013479799667,-0.41610600880509685
0.027795540334409452,2:0,11,8,N2,2,0.9199336157874598,0.34715618305710905,-0.3187784896450694
0.0565797445053704,2:1,11,8,N2,2,0.7919275857638821,0.27192333358118503,0.15412127651882201
0.00198903328509914,2:2,11,8,N2,2,0.988277106660148,0.16967085065402898,-0.16605217950427686
0.4914653528063961,2:3,11,8,N2,2,0.8808977545202541,4.126415508177577,-3.5209628430070166
0.03610866866582304,3:0,11,8,N2,2,0.9828205049856955,2.1018469190018245,-2.0521885491392213
0.008032790147732763,3:1,11,8,N2,2,0.9792277428517215,0.38670762115028384,-0.3548424638741683
0.40957066725362284,3:2,11,8,N2,2,0.8217157157297275,2.2972897971911452,-1.8676900417472098
0.3409243232983954,3:3,11,8,N2,2,-0.1530711906578155,0.29566632664189757,0.4881253944437655
0.016067957368174273,0:0,11,8,N3,2,0.91968150817546,0.20005302643475412,-0.17916980286512776
0.043343714180082316,0:1,11,8,N3,2,0.9944233384673414,7.772340839810453,-4.208798224735688
0.7685373999865988,0:2,11,8,N3,2,0.8092288173559122,4.028582248821199,-3.4274504873225546
0.5853888227623733,0:3,11,8,N3,2,0.9081893162539914,6.376042513547039,0.8426520748197
0.48799487121224655,1:0,11,8,N3,2,0.7354502138748504,1.8446239490868188,-1.2843637530532988
0.0024777079217983555,1:1,11,8,N3,2,0.9683854732527493,0.07837245015897072,-0.06724326494637958
3.803071842734653,1:2,11,8,N3,2,0.5035226526368608,7.660111509484371,-6.479090054472939
