depth,ff_update_norm,layer,model_seed,n,nuisance_distance,nuisance_type,per_head_output_norm_mean,predictive_span,sa_nuisance_attention_mass,sa_signal_attention_mass,sa_update_norm,trained_window,window
6,1.8636183217167854,0,11,64,16,N2,2.3871786445379257,8,0.0,0.5661515016108751,5.650064766407013,full,8
6,1.988844309002161,1,11,64,16,N1,2.6319521944969893,8,0.0,0.47744135186076164,6.2793955728411674,full,8
6,1.9897889979183674,1,11,64,16,N2,2.632722444832325,8,0.0,0.4797677171882242,6.280158884823322,full,8
6,1.7932877615094185,2,11,64,16,N1,1.6289998013526201,8,0.0,0.6990382233634591,3.8931680098176003,full,8
6,1.8136426601558924,2,11,64,16,N2,1.5866807904094458,8,0.0,0.6839221073314548,3.817519996315241,full,8
6,1.3706458201631904,3,11,64,16,N1,1.4069185396656394,8,0.0,0.3820687572006136,3.745487779378891,full,8
6,1.3401971571147442,3,11,64,16,N2,1.4771336894482374,8,0.0,0.3761514825746417,4.009068861603737,full,8
6,1.047453154809773,4,11,64,16,N1,1.0023339120671153,8,0.0,0.4178748237900436,2.132110258564353,full,8
6,1.0572705389931798,4,11,64,16,N2,1.0245851408690214,8,0.0,0.4135749679990113,2.2083160243928432,full,8
6,1.3379325130954385,5,11,64,16,N1,0.6304429923184216,8,0.0,0.2587830787524581,1.3824331006035209,full,8
6,1.330485412850976,5,11,64,16,N2,0.630346477497369,8,0.0,0.2658063508570194,1.3622440248727798,full,8
6,1.8636183217167854,0,11,64,16,N3,2.3871786445379257,8,0.0,0.5661515016108751,5.650064766407013,full,8
6,1.8636183217167854,0,11,64,32,N1,2.3871786445379257,8,0.0,0.5661515016108751,5.650064766407013,full,8
6,1.9962280206382275,1,11,64,16,N3,2.645601149648428,8,0.0,0.4766221719328314,6.321011800318956,full,8
6,1.9907932057976723,1,11,64,32,N1,2.6323902755975723,8,0.0,0.48126751091331244,6.279281407594681,full,8
6,1.7937572170048952,2,11,64,16,N3,1.6059641856700182,8,0.0,0.6948011331260204,3.8191867284476757,full,8
6,1.8146440535783768,2,11,64,32,N1,1.577386811375618,8,0.0,0.6820628270506859,3.8022323548793793,full,8
6,1.3671207251027226,3,11,64,16,N3,1.4391973866149783,8,0.0,0.38077035918831825,3.869999712333083,full,8
6,1.3359466576948762,3,11,64,32,N1,1.4908302361145616,8,0.0,0.3727840182837099,4.047326326370239,full,8
6,1.0499747646972537,4,11,64,16,N3,1.0057496540248394,8,0.0,0.4147661901079118,2.1493138764053583,full,8
6,1.0562972677871585,4,11,64,32,N1,1.0247180294245481,8,0.0,0.4152373548131436,2.209228215739131,full,8
6,1.3315186752006412,5,11,64,16,N3,0.6305693523027003,8,0.0,0.2600826758425683,1.387024151161313,full,8
6,1.3294481970369816,5,11,64,32,N1,0.6297712014056742,8,0.0,0.2662969967350364,1.3557355524972081,full,8
6,1.8636183217167854,0,11,64,32,N2,2.3871786445379257,8,0.0,0.5661515016108751,5.650064766407013,full,8
6,1.8636183217167854,0,11,64,32,N3,2.3871786445379257,8,0.0,0.5661515016108751,5.650064766407013,full,8
6,1.9907932057976723,1,11,64,32,N2,2.6323902755975723,8,0.0,0.48126751091331244,6.279281407594681,full,8
6,1.9907932057976723,1,11,64,32,N3,2.6323902755975723,8,0.0,0.48126751091331244,6.279281407594681,full,8
6,1.8146440535783768,2,11,64,32,N2,1.577386811375618,8,0.0,0.6820628270506859,3.8022323548793793,full,8
6,1.8146440535783768,2,11,64,32,N3,1.577386811375618,8,0.0,0.6820628270506859,3.8022323548793793,full,8
6,1.3359372578561306,3,11,64,32,N2,1.4908090140670538,8,0.0,0.3727215747348964,4.047141827642918,full,8
6,1.3359686164185405,3,11,64,32,N3,1.4908867068588734,8,0.0,0.37279107654467225,4.047432579100132,full,8
6,1.0563086662441492,4,11,64,32,N2,1.0242916699498892,8,0.0,0.41535344650037587,2.208382360637188,full,8
6,1.056355188600719,4,11,64,32,N3,1.024635948240757,8,0.0,0.41521995211951435,2.209065068513155,full,8
6,1.329643745906651,5,11,64,32,N2,0.6297462680377066,8,0.0,0.26609780034050345,1.354934236034751,full,8
6,1.3295243065804243,5,11,64,32,N3,0.6298376540653408,8,0.0,0.2663498930633068,1.3558710999786854,full,8
6,1.9128608033061028,0,11,64,2,N1,2.2274833898991346,8,0.15280148600868415,0.4756880038185045,5.409345228224993,full,16
6,1.8850405663251877,0,11,64,2,N2,2.2624074313789606,8,0.08123551635071635,0.5223897509276867,5.465419713407755,full,16
6,1.9205600917339325,1,11,64,2,N1,2.450528807938099,8,0.11451725008373614,0.41811080661136657,5.986898850649595,full,16
6,1.9169977474957705,1,11,64,2,N2,2.452325476333499,8,0.0753562830213923,0.42333288316149265,5.983479376882315,full,16
6,1.8351683784276247,2,11,64,2,N1,1.6946554705500603,8,0.08116258698282763,0.6371382344514132,4.070956241339445,full,16
6,1.8436435107141733,2,11,64,2,N2,1.724956689402461,8,0.06932657834840938,0.6434513842687011,4.123228959739208,full,16
6,1.3903714697808027,3,11,64,2,N1,1.4878784101456404,8,0.08715732640121132,0.2579925393220037,3.8790743835270405,full,16
6,1.411133162677288,3,11,64,2,N2,1.4803665652871132,8,0.09656933671794832,0.2580887422664091,3.894027017056942,full,16
6,1.048582443036139,4,11,64,2,N1,1.0172884808853269,8,0.10283920681104064,0.33905974170193076,2.1665950007736683,full,16
6,1.050281323492527,4,11,64,2,N2,1.0266133062541485,8,0.09243017015978694,0.34109876630827785,2.1892413031309843,full,16
6,1.3592544877901673,5,11,64,2,N1,0.5849356264807284,8,0.1098903336096555,0.15904134511947632,1.4257209850475192,full,16
6,1.365065911784768,5,11,64,2,N2,0.5966430851258337,8,0.10968528944067657,0.15986074937973171,1.4463465316221118,full,16
6,1.9191380459815264,0,11,64,2,N3,2.2455862127244473,8,0.15583029482513666,0.47646799054928124,5.429011423140764,full,16
6,1.9735762868076563,0,11,64,4,N1,2.260082807391882,8,0.208940225027618,0.43803009553812444,5.432486180216074,full,16
6,1.932701826095581,1,11,64,2,N3,2.459674848243594,8,0.11963417282095179,0.41823726054280996,5.990650534629822,full,16
6,1.8465697783976793,1,11,64,4,N1,2.41610206104815,8,0.19570083817234263,0.4202583109145053,5.710433311760426,full,16
6,1.8335885293781757,2,11,64,2,N3,1.7151305507868528,8,0.0588652999867918,0.6453004092909396,4.107612039893866,full,16
6,1.8149900939315557,2,11,64,4,N1,1.732004689052701,8,0.06183744528243551,0.6447852151468396,4.10881582647562,full,16
6,1.4139799289405346,3,11,64,2,N3,1.4957437962293625,8,0.07896566926501691,0.25777221971657127,3.936578545719385,full,16
6,1.4298138730227947,3,11,64,4,N1,1.469730917364359,8,0.08805812377249822,0.258098860620521,3.8574592508375645,full,16
6,1.0502822306007147,4,11,64,2,N3,1.0162041187286377,8,0.09287620859686285,0.3418049293104559,2.1622085124254227,full,16
6,1.0363548947498202,4,11,64,4,N1,1.0061750169843435,8,0.09666752186603844,0.34028662368655205,2.1514256428927183,full,16
6,1.3714648503810167,5,11,64,2,N3,0.5820540757849813,8,0.10895315778907388,0.1595842532115057,1.4234854988753796,full,16
6,1.3810827787965536,5,11,64,4,N1,0.579643617849797,8,0.12251182913314551,0.15811284340452403,1.421192572452128,full,16
6,1.9561223052442074,0,11,64,4,N2,2.2867136374115944,8,0.13164986477931961,0.48067606845870614,5.47858377546072,full,16
6,1.9502599071711302,0,11,64,4,N3,2.2764077745378017,8,0.18527253839420155,0.4486349840881303,5.44642186537385,full,16
6,1.8701823689043522,1,11,64,4,N2,2.5069034602493048,8,0.2422853953903541,0.4232036480680108,5.976199608296156,full,16
6,1.8585307374596596,1,11,64,4,N3,2.3837664518505335,8,0.19198990310542285,0.42384624434635043,5.686811234802008,full,16
6,1.8538902048021555,2,11,64,4,N2,1.756905272603035,8,0.04659723497752566,0.6527521889656782,4.182848308235407,full,16
6,1.8230862077325583,2,11,64,4,N3,1.7213371563702822,8,0.053329307651438285,0.6400710316374898,4.105209745466709,full,16
6,1.4194596679881215,3,11,64,4,N2,1.472038896754384,8,0.09027074807090685,0.25851228670217097,3.859867725521326,full,16
6,1.4160409849137068,3,11,64,4,N3,1.4721228908747435,8,0.08638822461944073,0.25894578674342483,3.857928853482008,full,16
6,1.0471996432170272,4,11,64,4,N2,1.0272089494392276,8,0.08693943172693253,0.34901903360150754,2.1962123923003674,full,16
6,1.0405435441061854,4,11,64,4,N3,1.004789930768311,8,0.10339152708183974,0.3362307008355856,2.141460742801428,full,16
6,1.368992393836379,5,11,64,4,N2,0.593122819904238,8,0.11717403633520007,0.16145014867652208,1.4379673954099417,full,16
6,1.370533062145114,5,11,64,4,N3,0.5799545310437679,8,0.12199676793534309,0.15914037311449647,1.4277848172932863,full,16
6,1.9262978918850422,0,11,64,16,N1,2.1573649272322655,8,0.18513994602835737,0.4551878337515518,5.098359372466803,full,16
6,1.8925347104668617,0,11,64,16,N2,2.249066662043333,8,0.09085430653067306,0.5170657504349947,5.397025723010302,full,16
6,1.976165272295475,1,11,64,16,N1,2.408581068739295,8,0.20189121755538508,0.40469158918131143,5.973898466676474,full,16
6,1.9151901248842478,1,11,64,16,N2,2.460451688617468,8,0.1521815195446834,0.4146754766115919,5.9706164710223675,full,16
6,1.804622508585453,2,11,64,16,N1,1.7464997954666615,8,0.041104853902652394,0.6403658296912909,4.145610801875591,full,16
