delta_variance_ff,delta_variance_norm,delta_variance_sa,depth,layer,model_seed,nuisance_distance,nuisance_type,post_ff_signal,post_ff_variance,post_norm_variance,post_sa_signal,post_sa_variance,pre_sa_signal,pre_sa_variance,predictive_span,regime,trained_window,window
-1.9899117988957187,1.5132609946936668,-22.029524365642374,6,1,23,32,N1,-5.999701738357544,3.3910516364086902,28.92374879564045,-8.131507158279419,5.380963435304409,-16.20876717567444,27.410487800946782,16,signal_only_reachable,full,4
1.1806409452606204,0.5958229096694225,0.4805072049325645,6,2,23,32,N1,-3.175158739089966,5.052199786601875,3.9868745460781128,-4.040154218673706,3.8715588413412547,-5.999701738357544,3.3910516364086902,16,signal_only_reachable,full,4
10.851989726470116,0.7211264094529355,-2.428869096659278,6,3,23,32,N1,-2.279969662427902,13.475320416412712,5.773326196054811,-1.7106259763240814,2.623330689942597,-3.175158739089966,5.052199786601875,16,signal_only_reachable,full,4
1.1498911030927843,-3.6199389558678554,5.29386810424584,6,4,23,32,N1,-3.0129292607307434,19.919079623751337,9.855381460544857,-3.0133824944496155,18.769188520658552,-2.279969662427902,13.475320416412712,16,signal_only_reachable,full,4
2.0214496209754103,0.21341228540683232,0.8846834525816618,6,5,23,32,N1,-3.1650564074516296,22.82521269730841,20.13249190915817,-2.979927033185959,20.803763076333,-3.0129292607307434,19.919079623751337,16,signal_only_reachable,full,4
-1.5612323811761257,1.678717939415776,-5.948583710709897,6,0,23,32,N2,-16.20876717567444,27.410487800946782,36.59902183224858,-20.618862628936768,28.97172018212291,-22.352447748184204,34.920303892832806,16,signal_only_reachable,full,4
-1.9899117988957187,1.5132609946936668,-22.029524365642374,6,1,23,32,N2,-5.999701738357544,3.3910516364086902,28.92374879564045,-8.131507158279419,5.380963435304409,-16.20876717567444,27.410487800946782,16,signal_only_reachable,full,4
1.1806409452606204,0.5958229096694225,0.4805072049325645,6,2,23,32,N2,-3.175158739089966,5.052199786601875,3.9868745460781128,-4.040154218673706,3.8715588413412547,-5.999701738357544,3.3910516364086902,16,signal_only_reachable,full,4
10.851989726470116,0.7211264094529355,-2.428869096659278,6,3,23,32,N2,-2.279969662427902,13.475320416412712,5.773326196054811,-1.7106259763240814,2.623330689942597,-3.175158739089966,5.052199786601875,16,signal_only_reachable,full,4
1.1498911030927843,-3.6199389558678554,5.29386810424584,6,4,23,32,N2,-3.0129292607307434,19.919079623751337,9.855381460544857,-3.0133824944496155,18.769188520658552,-2.279969662427902,13.475320416412712,16,signal_only_reachable,full,4
