axis,cell_id,dependency_span,example_index,family_id,final_margin,final_rank,first_top1_layer,first_top1_location,first_top1_stage,generator_family,head_count,model_depth,model_seed,model_width,nuisance_count,parameter_count,predictive_order,raw_length,requested_dependency_span,stable_top1_layer,stable_top1_location,stable_top1_stage,top1_correct,training_budget,training_steps
predictive_order,f306bd7c1d91,4,45,"p2:(1, 0):13",0.09644699096679688,1,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,2,12,4,1,post_ff,2,1,1,400
predictive_order,f306bd7c1d91,4,46,"p2:(0, 1):14",-0.0055675506591796875,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,47,"p2:(3, 1):15",-0.37871360778808594,4,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,48,"p2:(0, 0):0",-0.3762340545654297,4,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,49,"p2:(0, 0):1",-0.3762340545654297,4,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,50,"p2:(3, 2):2",-0.008164405822753906,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,51,"p2:(3, 2):3",-0.008164405822753906,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,52,"p2:(3, 1):4",-0.37871360778808594,4,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,53,"p2:(0, 1):5",-0.0055675506591796875,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,54,"p2:(2, 0):6",-0.045330047607421875,3,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,55,"p2:(1, 3):7",-0.5848398208618164,4,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
