condition,depth,execution_error,final_error,invalid_call_rate,machine,stage,termination_error
diversity_24k,3,0.02083333333333337,0.03645833333333337,0.036458333333333336,M4,D,0.03645833333333337
diversity_24k,4,0.98046875,1.0,0.8697916666666666,M4,D,1.0
diversity_24k,6,0.9809027777777778,1.0,0.8177083333333334,M4,D,1.0
diversity_24k,8,0.9765625,1.0,0.828125,M4,D,1.0
diversity_48k,1,0.0,0.0,0.0,M3,D,
diversity_48k,2,0.5,0.00520833333333337,0.0,M3,D,
diversity_48k,3,0.6666666666666667,0.0,0.0,M3,D,
diversity_48k,4,0.9440104166666666,0.9739583333333334,0.7760416666666666,M3,D,
diversity_48k,6,0.9496527777777778,0.9895833333333334,0.6979166666666666,M3,D,
diversity_48k,8,0.9557291666666666,0.9947916666666666,0.6458333333333334,M3,D,
diversity_48k,1,0.0,0.0,0.0,M4,D,0.0
diversity_48k,2,0.01302083333333337,0.02604166666666663,0.026041666666666668,M4,D,0.02604166666666663
diversity_48k,3,0.01736111111111116,0.03645833333333337,0.036458333333333336,M4,D,0.03645833333333337
diversity_48k,4,0.9817708333333334,1.0,0.8958333333333334,M4,D,1.0
diversity_48k,6,0.9852430555555556,1.0,0.8854166666666666,M4,D,1.0
diversity_48k,8,0.9778645833333334,1.0,0.8697916666666666,M4,D,1.0
diversity_96k,1,0.0,0.0,0.0,M3,D,
diversity_96k,2,0.5026041666666667,0.0,0.005208333333333333,M3,D,
diversity_96k,3,0.6666666666666667,0.0,0.0,M3,D,
diversity_96k,4,0.9309895833333334,0.984375,0.7239583333333334,M3,D,
diversity_96k,6,0.953125,0.9895833333333334,0.71875,M3,D,
diversity_96k,8,0.9609375,0.9947916666666666,0.6875,M3,D,
diversity_96k,1,0.0,0.0,0.0,M4,D,0.0
diversity_96k,2,0.00520833333333337,0.01041666666666663,0.010416666666666666,M4,D,0.01041666666666663
diversity_96k,3,0.01736111111111116,0.04166666666666663,0.041666666666666664,M4,D,0.04166666666666663
diversity_96k,4,0.9830729166666666,1.0,0.875,M4,D,1.0
diversity_96k,6,0.9791666666666666,1.0,0.90625,M4,D,1.0
diversity_96k,8,0.9798177083333334,1.0,0.859375,M4,D,1.0
train_kmax3,1,0.0,0.0,0.0,M3,E,
train_kmax3,2,0.5,0.00520833333333337,0.0,M3,E,
train_kmax3,3,0.6666666666666667,0.01041666666666663,0.0,M3,E,
train_kmax3,4,0.9440104166666666,0.9791666666666666,0.7760416666666666,M3,E,
train_kmax3,6,0.9522569444444444,0.9947916666666666,0.7135416666666666,M3,E,
train_kmax3,8,0.9674479166666666,0.9947916666666666,0.7395833333333334,M3,E,
train_kmax3,1,0.0,0.0,0.0,M4,E,0.0
train_kmax3,2,0.0026041666666666297,0.00520833333333337,0.005208333333333333,M4,E,0.00520833333333337
train_kmax3,3,0.02083333333333337,0.03645833333333337,0.036458333333333336,M4,E,0.03645833333333337
train_kmax3,4,0.98046875,1.0,0.8697916666666666,M4,E,1.0
train_kmax3,6,0.9809027777777778,1.0,0.8177083333333334,M4,E,1.0
train_kmax3,8,0.9765625,1.0,0.828125,M4,E,1.0
train_kmax4,1,0.0,0.0,0.0,M3,E,
train_kmax4,2,0.5,0.00520833333333337,0.0,M3,E,
train_kmax4,3,0.6666666666666667,0.02604166666666663,0.0,M3,E,
train_kmax4,4,0.75,0.01041666666666663,0.0,M3,E,
train_kmax4,6,0.9340277777777778,0.9947916666666666,0.6041666666666666,M3,E,
train_kmax4,8,0.9524739583333334,1.0,0.6197916666666666,M3,E,
train_kmax4,1,0.0,0.0,0.0,M4,E,0.0
train_kmax4,2,0.015625,0.03125,0.03125,M4,E,0.03125
train_kmax4,3,0.07291666666666663,0.13020833333333337,0.125,M4,E,0.13020833333333337
train_kmax4,4,0.8424479166666666,0.9895833333333334,0.9114583333333334,M4,E,0.9895833333333334
train_kmax4,6,0.9861111111111112,1.0,0.421875,M4,E,1.0
train_kmax4,8,0.9837239583333334,1.0,0.8802083333333334,M4,E,1.0
