architecture_id,head_count,model_depth,model_seed,model_width,parameter_count,training_budget,training_steps
L8-W64-H1-T2,1,8,11,64,286336,2,800
L8-W64-H1-T4,1,8,11,64,286336,4,1600
L8-W64-H2-T1,2,8,11,64,286336,1,400
L8-W64-H2-T2,2,8,11,64,286336,2,800
L8-W64-H2-T4,2,8,11,64,286336,4,1600
L8-W64-H4-T1,4,8,11,64,286336,1,400
L8-W64-H4-T2,4,8,11,64,286336,2,800
L8-W64-H4-T4,4,8,11,64,286336,4,1600
L8-W64-H8-T1,8,8,11,64,286336,1,400
L8-W64-H8-T2,8,8,11,64,286336,2,800
L8-W64-H8-T4,8,8,11,64,286336,4,1600
L8-W128-H1-T1,1,8,11,128,1096960,1,400
L8-W128-H1-T2,1,8,11,128,1096960,2,800
L8-W128-H1-T4,1,8,11,128,1096960,4,1600
L8-W128-H2-T1,2,8,11,128,1096960,1,400
L8-W128-H2-T2,2,8,11,128,1096960,2,800
L8-W128-H2-T4,2,8,11,128,1096960,4,1600
L8-W128-H4-T1,4,8,11,128,1096960,1,400
L8-W128-H4-T2,4,8,11,128,1096960,2,800
L8-W128-H4-T4,4,8,11,128,1096960,4,1600
L8-W128-H8-T1,8,8,11,128,1096960,1,400
L8-W128-H8-T2,8,8,11,128,1096960,2,800
L8-W128-H8-T4,8,8,11,128,1096960,4,1600
L8-W256-H1-T1,1,8,11,256,4291072,1,400
L8-W256-H1-T2,1,8,11,256,4291072,2,800
L8-W256-H1-T4,1,8,11,256,4291072,4,1600
L8-W256-H2-T1,2,8,11,256,4291072,1,400
L8-W256-H2-T2,2,8,11,256,4291072,2,800
L8-W256-H2-T4,2,8,11,256,4291072,4,1600
L8-W256-H4-T1,4,8,11,256,4291072,1,400
L8-W256-H4-T2,4,8,11,256,4291072,2,800
L8-W256-H4-T4,4,8,11,256,4291072,4,1600
L8-W256-H8-T1,8,8,11,256,4291072,1,400
L8-W256-H8-T2,8,8,11,256,4291072,2,800
L8-W256-H8-T4,8,8,11,256,4291072,4,1600
L12-W32-H1-T1,1,12,11,32,111808,1,400
