architecture,depth,exact_trajectory_correct,example_id,final_correct,invalid_call,machine,model_forwards,nontermination,one_call_edge_coverage,per_transition_accuracy,post_tool_answer_correct,seed,selected_edge_valid,stop_emitted,termination_correct,tool_calls
train_kmax3,2,,54,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,55,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,56,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,57,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,58,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,59,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,60,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,61,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,62,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,2,,63,1,0,M3,2,0,0.5,,1,11,1,,,1
train_kmax3,3,,0,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
train_kmax3,3,,1,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
train_kmax3,3,,2,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
train_kmax3,3,,3,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
train_kmax3,3,,4,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
train_kmax3,3,,5,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
train_kmax3,3,,6,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
train_kmax3,3,,7,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
train_kmax3,3,,8,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
train_kmax3,3,,9,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
train_kmax3,3,,10,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
train_kmax3,3,,11,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
train_kmax3,3,,12,0,0,M3,2,0,0.3333333333333333,,0,11,1,,,1
train_kmax3,3,,13,1,0,M3,2,0,0.3333333333333333,,1,11,1,,,1
