candidate,cell_id,condition,episodes,example_id,family,heads,layers,mappings,margin,minimality_axis,mlp_ratio,pairs,probability,rank,regime,seed,target,top1,vocabulary,width
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,11,sa_ff,2,2,fresh-random,-14.994789123535156,reference,2,3,3.0749680490771425e-07,4,C2,11,6,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,12,sa_ff,2,2,fresh-random,-14.519608497619629,reference,2,3,4.945512728227186e-07,3,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,12,sa_ff,2,2,fresh-random,-0.022057533264160156,reference,2,3,0.4766741096973419,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,12,sa_ff,2,2,fresh-random,-9.73103141784668,reference,2,3,5.940744813415222e-05,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,12,sa_ff,2,2,fresh-random,-4.628876686096191,reference,2,3,0.009536965750157833,3,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,12,sa_ff,2,2,fresh-random,2.992030143737793,reference,2,3,0.950477123260498,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,13,sa_ff,2,2,fresh-random,14.31367301940918,reference,2,3,0.999998927116394,1,C2,11,4,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,13,sa_ff,2,2,fresh-random,-25.07192039489746,reference,2,3,1.2924184292217866e-11,7,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,13,sa_ff,2,2,fresh-random,-2.4950432777404785,reference,2,3,0.05431489273905754,3,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,13,sa_ff,2,2,fresh-random,14.31367301940918,reference,2,3,0.999998927116394,1,C2,11,4,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,13,sa_ff,2,2,fresh-random,-21.95801544189453,reference,2,3,2.909071594725532e-10,7,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,14,sa_ff,2,2,fresh-random,12.820235252380371,reference,2,3,0.9999971389770508,1,C2,11,4,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,14,sa_ff,2,2,fresh-random,-7.708114147186279,reference,2,3,0.00021888180344831198,5,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,14,sa_ff,2,2,fresh-random,-7.784051895141602,reference,2,3,0.00041614548536017537,2,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,14,sa_ff,2,2,fresh-random,10.93838882446289,reference,2,3,0.999976396560669,1,C2,11,4,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,14,sa_ff,2,2,fresh-random,-23.621013641357422,reference,2,3,5.097148397803508e-11,7,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,15,sa_ff,2,2,fresh-random,14.187837600708008,reference,2,3,0.9999986886978149,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,15,sa_ff,2,2,fresh-random,1.9304132461547852,reference,2,3,0.8732946515083313,1,C2,11,3,1,4,32
