R_between_within,between_family_JS_bits,boundary,covariance_trace,effective_rank,generator_family,model_seed,n,nuisance_count,nuisance_type,within_family_JS_bits
5.177304343717465,1.5250158273578702,layer_2_ff,251.27240023307195,3.546720490160075,nested_override,23,512,4,N3,1.7153272335755365
5.209700764292132,1.5396375271941172,layer_2_ff,249.9796556367578,3.5761771368019613,nested_override,23,512,2,N4,1.70194915707674
5.227393455384827,1.532533392401398,layer_2_ff,249.1261392187277,3.5412553703465224,nested_override,23,512,4,N4,1.7229542853099542
5.170336660878319,1.8431862442969393,layer_3_sa,275.78071489905744,3.9045570776774996,nested_override,23,512,0,N0,1.8968059102318158
5.275728101908941,1.8570264348746346,layer_3_sa,272.2938845019213,3.8913862362924028,nested_override,23,512,2,N2,1.9019910632236843
5.392983459215993,1.8421255338781155,layer_3_sa,271.53483726097494,3.891124699892253,nested_override,23,512,4,N2,1.8953010476208534
5.278236954736564,1.8378722751861716,layer_3_sa,270.2276029789424,3.9170130664410365,nested_override,23,512,2,N3,1.898088258564378
5.236100358687509,1.8318348044142045,layer_3_sa,270.76322545747996,3.88664077395651,nested_override,23,512,4,N3,1.897811948883814
5.251004006608512,1.8766678346842331,layer_3_sa,267.29773822320215,3.9369895596808595,nested_override,23,512,2,N4,1.9090427353922501
5.481766097210854,1.8365956885380663,layer_3_sa,269.85299717545234,3.816862722997987,nested_override,23,512,4,N4,1.8962733602732063
5.5490188711965915,1.9115756777209676,layer_3_ff,313.4532642429973,3.7119461788508437,nested_override,23,512,0,N0,1.9517848128682398
5.718031654906216,1.918720684523041,layer_3_ff,309.9213369662037,3.693384134902762,nested_override,23,512,2,N2,1.9547264057902805
5.8181800112589706,1.9083112051651834,layer_3_ff,309.48325533667537,3.6964652519934544,nested_override,23,512,4,N2,1.9503988384948503
5.692977305400202,1.8964847131640339,layer_3_ff,308.00501882048655,3.7209230695085482,nested_override,23,512,2,N3,1.9484904045734157
5.589672713036827,1.8984516017847073,layer_3_ff,308.665216081152,3.6966811988055412,nested_override,23,512,4,N3,1.951491485516759
5.6745498582243945,1.9268169517492033,layer_3_ff,304.54030333016703,3.733684336034654,nested_override,23,512,2,N4,1.9582369315297234
