direction,horizon,margin_absolute_error,model_seed,observed_margin_delta,pair_id,predicted_margin_delta
signal,1,10.429215908050537,11,-7.6812591552734375,s11_signal_15,2.7479567527770996
signal,2,17.245568990707397,11,-17.246856689453125,s11_signal_15,-0.001287698745727539
signal,4,51.16946792602539,11,-29.020633697509766,s11_signal_15,22.148834228515625
nuisance,1,1.9131675362586975,11,-1.0985188484191895,s11_nuisance_16,0.8146486878395081
nuisance,2,0.21909213066101074,11,2.10184383392334,s11_nuisance_16,2.3209359645843506
nuisance,4,11.16676938533783,11,-10.69638729095459,s11_nuisance_16,0.47038209438323975
signal,1,18.527418613433838,11,-15.507798194885254,s11_signal_17,3.019620418548584
signal,2,4.792900085449219,11,-11.087934494018555,s11_signal_17,-6.295034408569336
signal,4,24.86258363723755,11,-26.804086685180664,s11_signal_17,-1.9415030479431152
signal,1,18.527418613433838,11,-15.507798194885254,s11_signal_18,3.019620418548584
signal,2,4.792900085449219,11,-11.087934494018555,s11_signal_18,-6.295034408569336
signal,4,24.86258363723755,11,-26.804086685180664,s11_signal_18,-1.9415030479431152
signal,1,13.343288600444794,11,-13.875296592712402,s11_signal_19,-0.5320079922676086
signal,2,24.165329933166504,11,-12.589747428894043,s11_signal_19,11.575582504272461
signal,4,53.074466705322266,11,-38.705448150634766,s11_signal_19,14.3690185546875
signal,1,4.482353210449219,11,-12.956117630004883,s11_signal_20,-17.4384708404541
signal,2,30.406737327575684,11,-14.021512031555176,s11_signal_20,16.385225296020508
signal,4,51.40270805358887,11,-38.43911361694336,s11_signal_20,12.963594436645508
signal,1,0.5141443610191345,23,0.9045248031616211,s23_signal_0,0.3903804421424866
signal,2,1.1482715606689453,23,4.991790771484375,s23_signal_0,3.8435192108154297
signal,4,35.25662112236023,23,-33.93254852294922,s23_signal_0,1.3240725994110107
signal,1,0.4844150245189667,23,0.744084358215332,s23_signal_1,0.25966933369636536
signal,2,13.479623973369598,23,-13.658156394958496,s23_signal_1,-0.1785324215888977
signal,4,33.6191942691803,23,-34.46818542480469,s23_signal_1,-0.8489911556243896
nuisance,1,0.08569622039794922,23,3.337179183959961,s23_nuisance_2,3.42287540435791
nuisance,2,5.1976587772369385,23,5.599484443664551,s23_nuisance_2,0.4018256664276123
nuisance,4,1.3335297107696533,23,1.2405061721801758,s23_nuisance_2,2.574035882949829
