annotated_hops,complete_recovery,connected_component_count,dataset,depth_contraction,duplicate_neighbor_rate,effective_branching_factor,example_id,giant_component_fraction,graph_density,graph_type,layer,mean_evidence_native_distance,mean_out_degree,minimum_native_recovery_depth,node_recall,oracle_parent_count,parent_count,partition,reciprocal_edge_rate,shortcut_eligible_pairs,shortcut_pairs,shortcut_rate,unique_neighbor_count,unreachable_evidence_fraction
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.6457513110645907,00223e06084a11ebbd55ac1f6bf848b6,1.0,0.8571428571428571,branching,16,1.0,6.0,1,1.0,4,8,test,0.875,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.6457513110645907,00223e06084a11ebbd55ac1f6bf848b6,1.0,0.8571428571428571,branching,20,1.0,6.0,1,1.0,4,8,test,0.875,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.6457513110645907,00223e06084a11ebbd55ac1f6bf848b6,1.0,0.8571428571428571,branching,24,1.0,6.0,1,1.0,4,8,test,0.875,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.6457513110645907,00223e06084a11ebbd55ac1f6bf848b6,1.0,0.8571428571428571,branching,27,1.0,6.0,1,1.0,4,8,test,0.875,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.747237874221035,002e925e0bde11eba7f7acde48001122,1.0,0.75,chain,0,1.0,6.0,1,1.0,2,9,validation,0.7407407407407407,0,0,0.0,9.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8518518518518519,2.66604862369588,002e925e0bde11eba7f7acde48001122,1.0,0.75,chain,4,1.0,6.0,1,1.0,2,9,validation,0.7777777777777778,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,0,0.8333333333333334,2.8284271247461903,002e925e0bde11eba7f7acde48001122,1.0,0.75,chain,8,2.0,6.0,2,1.0,2,9,validation,0.7407407407407407,0,0,0.0,9.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.8284271247461903,002e925e0bde11eba7f7acde48001122,1.0,0.75,chain,12,1.0,6.0,1,1.0,2,9,validation,0.7777777777777778,0,0,0.0,9.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.8284271247461903,002e925e0bde11eba7f7acde48001122,1.0,0.75,chain,16,1.0,6.0,1,1.0,2,9,validation,0.7777777777777778,0,0,0.0,9.0,0.0
2,1,1.0,2wikimultihopqa,0,0.8333333333333334,2.8284271247461903,002e925e0bde11eba7f7acde48001122,1.0,0.75,chain,20,2.0,6.0,2,1.0,2,9,validation,0.7407407407407407,0,0,0.0,9.0,0.0
2,1,1.0,2wikimultihopqa,0,0.8333333333333334,2.8284271247461903,002e925e0bde11eba7f7acde48001122,1.0,0.75,chain,24,2.0,6.0,2,1.0,2,9,validation,0.7777777777777778,0,0,0.0,9.0,0.0
2,1,1.0,2wikimultihopqa,0,0.8333333333333334,2.8284271247461903,002e925e0bde11eba7f7acde48001122,1.0,0.75,chain,27,2.0,6.0,2,1.0,2,9,validation,0.7777777777777778,0,0,0.0,9.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.6457513110645907,002f12240bde11eba7f7acde48001122,1.0,0.8571428571428571,chain,0,1.0,6.0,1,1.0,2,8,test,0.8333333333333334,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.6457513110645907,002f12240bde11eba7f7acde48001122,1.0,0.8571428571428571,chain,4,1.0,6.0,1,1.0,2,8,test,0.875,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.6457513110645907,002f12240bde11eba7f7acde48001122,1.0,0.8571428571428571,chain,8,1.0,6.0,1,1.0,2,8,test,0.8333333333333334,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.6457513110645907,002f12240bde11eba7f7acde48001122,1.0,0.8571428571428571,chain,12,1.0,6.0,1,1.0,2,8,test,0.875,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.6457513110645907,002f12240bde11eba7f7acde48001122,1.0,0.8571428571428571,chain,16,1.0,6.0,1,1.0,2,8,test,0.875,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.6457513110645907,002f12240bde11eba7f7acde48001122,1.0,0.8571428571428571,chain,20,1.0,6.0,1,1.0,2,8,test,0.875,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.6457513110645907,002f12240bde11eba7f7acde48001122,1.0,0.8571428571428571,chain,24,1.0,6.0,1,1.0,2,8,test,0.875,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.6457513110645907,002f12240bde11eba7f7acde48001122,1.0,0.8571428571428571,chain,27,1.0,6.0,1,1.0,2,8,test,0.875,0,0,0.0,8.0,0.0
1,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.449489742783178,00310dc8094611ebbdaeac1f6bf848b6,1.0,1.0,independent,0,,6.0,0,1.0,4,7,test,1.0,0,0,0.0,7.0,0.0
1,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.449489742783178,00310dc8094611ebbdaeac1f6bf848b6,1.0,1.0,independent,4,,6.0,0,1.0,4,7,test,1.0,0,0,0.0,7.0,0.0
1,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.449489742783178,00310dc8094611ebbdaeac1f6bf848b6,1.0,1.0,independent,8,,6.0,0,1.0,4,7,test,1.0,0,0,0.0,7.0,0.0
1,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.449489742783178,00310dc8094611ebbdaeac1f6bf848b6,1.0,1.0,independent,12,,6.0,0,1.0,4,7,test,1.0,0,0,0.0,7.0,0.0
1,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.449489742783178,00310dc8094611ebbdaeac1f6bf848b6,1.0,1.0,independent,16,,6.0,0,1.0,4,7,test,1.0,0,0,0.0,7.0,0.0
1,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.449489742783178,00310dc8094611ebbdaeac1f6bf848b6,1.0,1.0,independent,20,,6.0,0,1.0,4,7,test,1.0,0,0,0.0,7.0,0.0
1,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.449489742783178,00310dc8094611ebbdaeac1f6bf848b6,1.0,1.0,independent,24,,6.0,0,1.0,4,7,test,1.0,0,0,0.0,7.0,0.0
1,1,1.0,2wikimultihopqa,1,0.8333333333333334,2.449489742783178,00310dc8094611ebbdaeac1f6bf848b6,1.0,1.0,independent,27,,6.0,0,1.0,4,7,test,1.0,0,0,0.0,7.0,0.0
2,1,1.0,2wikimultihopqa,0,0.8333333333333334,3.6781412014959636,003285a80bde11eba7f7acde48001122,1.0,0.42857142857142855,chain,0,2.0,6.0,2,1.0,2,15,test,0.4444444444444444,0,0,0.0,15.0,0.0
2,1,1.0,2wikimultihopqa,1,0.9111111111111111,2.731000024116004,003285a80bde11eba7f7acde48001122,1.0,0.42857142857142855,chain,4,1.0,6.0,1,1.0,2,15,test,0.4666666666666667,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,0,0.9111111111111111,2.731000024116004,003285a80bde11eba7f7acde48001122,1.0,0.42857142857142855,chain,8,2.0,6.0,2,1.0,2,15,test,0.4444444444444444,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8666666666666667,2.905366525620272,003285a80bde11eba7f7acde48001122,1.0,0.42857142857142855,chain,12,1.0,6.0,1,1.0,2,15,test,0.4888888888888889,0,0,0.0,12.0,0.0
2,1,1.0,2wikimultihopqa,1,0.9,2.742438215799591,003285a80bde11eba7f7acde48001122,1.0,0.42857142857142855,chain,16,1.0,6.0,1,1.0,2,15,test,0.4666666666666667,0,0,0.0,9.0,0.0
2,1,1.0,2wikimultihopqa,1,0.9111111111111111,2.731000024116004,003285a80bde11eba7f7acde48001122,1.0,0.42857142857142855,chain,20,1.0,6.0,1,1.0,2,15,test,0.4444444444444444,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.9111111111111111,2.731000024116004,003285a80bde11eba7f7acde48001122,1.0,0.42857142857142855,chain,24,1.0,6.0,1,1.0,2,15,test,0.4666666666666667,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.9111111111111111,2.731000024116004,003285a80bde11eba7f7acde48001122,1.0,0.42857142857142855,chain,27,1.0,6.0,1,1.0,2,15,test,0.4666666666666667,0,0,0.0,8.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8,2.23606797749979,003f41f80bde11eba7f7acde48001122,1.0,1.0,chain,0,1.0,5.0,1,1.0,3,6,validation,1.0,0,0,0.0,6.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8,2.23606797749979,003f41f80bde11eba7f7acde48001122,1.0,1.0,chain,4,1.0,5.0,1,1.0,3,6,validation,1.0,0,0,0.0,6.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8,2.23606797749979,003f41f80bde11eba7f7acde48001122,1.0,1.0,chain,8,1.0,5.0,1,1.0,3,6,validation,1.0,0,0,0.0,6.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8,2.23606797749979,003f41f80bde11eba7f7acde48001122,1.0,1.0,chain,12,1.0,5.0,1,1.0,3,6,validation,1.0,0,0,0.0,6.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8,2.23606797749979,003f41f80bde11eba7f7acde48001122,1.0,1.0,chain,16,1.0,5.0,1,1.0,3,6,validation,1.0,0,0,0.0,6.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8,2.23606797749979,003f41f80bde11eba7f7acde48001122,1.0,1.0,chain,20,1.0,5.0,1,1.0,3,6,validation,1.0,0,0,0.0,6.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8,2.23606797749979,003f41f80bde11eba7f7acde48001122,1.0,1.0,chain,24,1.0,5.0,1,1.0,3,6,validation,1.0,0,0,0.0,6.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8,2.23606797749979,003f41f80bde11eba7f7acde48001122,1.0,1.0,chain,27,1.0,5.0,1,1.0,3,6,validation,1.0,0,0,0.0,6.0,0.0
2,1,1.0,2wikimultihopqa,1,0.8333333333333334,3.7985149750415275,004430780bde11eba7f7acde48001122,1.0,0.4,chain,0,1.0,6.0,1,1.0,3,16,validation,0.4791666666666667,0,0,0.0,16.0,0.0
