budget_tokens,condition,dataset,mean_answer_logprob,mean_answer_token_accuracy,mean_budget_violation,mean_complete_evidence,mean_end_to_end_time_ns,mean_evidence_recall,mean_materialization_time_ns,mean_materialized_kv_bytes,mean_peak_device_bytes,mean_selection_time_ns,n_examples
128,entropy_adaptive_sharpen,hotpotqa,-3.101155821233988,0.47610029640297097,0.0,0.0,2722574881.4583335,0.40049603174603177,1050731283.5,14680064.0,3113941162.6666665,101690.375,24
192,entropy_adaptive_sharpen,hotpotqa,-2.7792290837193527,0.5507215068986019,0.0,0.041666666666666664,3075470135.25,0.5315641534391534,1327465674.125,22020096.0,3113957376.0,113353.33333333333,24
64,oracle_evidence,hotpotqa,-3.1886532061422863,0.4476280740151803,0.0,0.0,2712830620.875,0.4130621693121692,614615927.25,7340032.0,3114360832.0,48446.333333333336,24
128,oracle_evidence,hotpotqa,-1.852612149901688,0.5986562147736549,0.0,0.4166666666666667,2240782174.3333335,0.7844576719576719,975415602.125,14680064.0,3113941162.6666665,47008.791666666664,24
192,oracle_evidence,hotpotqa,-1.8132511261695374,0.6597673272093137,0.0,0.75,2615496374.7916665,0.9350198412698413,1260861852.4166667,22020096.0,3113957376.0,56444.333333333336,24
64,persistence,hotpotqa,-3.7131031826138496,0.4251443079362313,0.0,0.0,1975295600.8333333,0.2306547619047619,559041859.7916666,7340032.0,3114885802.6666665,19911.875,24
128,persistence,hotpotqa,-3.0910738818347454,0.460064943258961,0.0,0.0,2218994083.5416665,0.42278439153439157,974196792.2083334,14680064.0,3113941162.6666665,20948.041666666668,24
192,persistence,hotpotqa,-2.7788762183239064,0.5038149412721395,0.0,0.16666666666666666,2566969393.2916665,0.6173941798941799,1259777326.1666667,22020096.0,3113957376.0,22484.208333333332,24
64,power_sharpen,hotpotqa,-3.568651438690722,0.4171897607545058,0.0,0.0,3898794230.125,0.2303075396825397,617261777.0416666,7340032.0,3115403093.3333335,54275.666666666664,24
128,power_sharpen,hotpotqa,-3.101155821233988,0.47610029640297097,0.0,0.0,2722574881.4583335,0.40049603174603177,1050731283.5,14680064.0,3113941162.6666665,55084.916666666664,24
192,power_sharpen,hotpotqa,-2.7792290837193527,0.5507215068986019,0.0,0.041666666666666664,3075470135.25,0.5315641534391534,1327465674.125,22020096.0,3113957376.0,59587.5,24
64,agreement,qasper,-5.381786465644836,0.23588718784352145,0.0,0.041666666666666664,2189004252.6666665,0.1934223184223184,535344837.7083333,7340032.0,3123366912.0,48977.75,24
128,agreement,qasper,-4.335676990449429,0.28420459758490324,0.0,0.041666666666666664,2475285300.7083335,0.44031685906685897,972442060.625,14680064.0,3122151082.6666665,56109.708333333336,24
192,agreement,qasper,-4.188063815236092,0.314976670468847,0.0,0.125,2748792973.9166665,0.6082762145262145,1204448468.7083333,22020096.0,3122157909.3333335,59501.25,24
64,base_topk,qasper,-4.489602307478587,0.27963179784516495,0.0,0.08333333333333333,3212674107.1666665,0.3368746993746994,533355184.4583333,7340032.0,3127643477.3333335,71854.79166666667,24
128,base_topk,qasper,-4.030712902545929,0.33647198509424925,0.0,0.125,2705262573.625,0.5327771765271766,972771263.125,14680064.0,3122151082.6666665,26921.125,24
192,base_topk,qasper,-4.177712423106034,0.3385938744371136,0.0,0.20833333333333334,3019928112.5,0.6729256854256853,1217885267.7083333,22020096.0,3122157909.3333335,37218.416666666664,24
64,bridge_preserving,qasper,-4.175893803437551,0.3032098412513733,0.0,0.08333333333333333,2761004861.2083335,0.3684223184223185,536050565.6666667,7340032.0,3123627520.0,63017.416666666664,24
128,bridge_preserving,qasper,-4.188986584544182,0.3413139513383309,0.0,0.125,2617716401.0416665,0.5386303511303511,972761768.25,14680064.0,3122151082.6666665,67796.16666666667,24
192,bridge_preserving,qasper,-4.047867941359679,0.36763653438538313,0.0,0.2916666666666667,2876968277.0833335,0.719534632034632,1218745458.0416667,22020096.0,3122157909.3333335,65054.083333333336,24
64,budget_tuned_topk,qasper,-4.489602307478587,0.27963179784516495,0.0,0.08333333333333333,3212674107.1666665,0.3368746993746994,533355184.4583333,7340032.0,3127643477.3333335,53121.75,24
128,budget_tuned_topk,qasper,-4.030712902545929,0.33647198509424925,0.0,0.125,2705262573.625,0.5327771765271766,972771263.125,14680064.0,3122151082.6666665,59454.541666666664,24
192,budget_tuned_topk,qasper,-4.177712423106034,0.3385938744371136,0.0,0.20833333333333334,3019928112.5,0.6729256854256853,1217885267.7083333,22020096.0,3122157909.3333335,52350.791666666664,24
64,combined_structural,qasper,-4.476430897911389,0.2834181735912959,0.0,0.08333333333333333,2234266237.125,0.2903469215969216,549879795.0416666,7340032.0,3124327765.3333335,89248.625,24
128,combined_structural,qasper,-4.0924862797061605,0.3244426120072603,0.0,0.125,2533115832.7916665,0.52126924001924,971886748.0,14680064.0,3122151082.6666665,87347.91666666667,24
192,combined_structural,qasper,-4.146671195824941,0.3147264824559291,0.0,0.25,2731996322.4166665,0.6812920875420875,1218334619.9583333,22020096.0,3122157909.3333335,88967.58333333333,24
64,community,qasper,-5.133133803804715,0.21838901564478874,0.0,0.0,2216693500.0416665,0.27784692159692154,532669286.0416667,7340032.0,3123891200.0,55069.833333333336,24
128,community,qasper,-4.3258461356163025,0.2847358739624421,0.0,0.041666666666666664,2504051462.8333335,0.44001924001924,971510899.2083334,14680064.0,3122151082.6666665,53129.708333333336,24
192,community,qasper,-4.24356650809447,0.32406841156383354,0.0,0.20833333333333334,2875799781.875,0.6277206589706589,1216585689.9583333,22020096.0,3122157909.3333335,54515.041666666664,24
64,entropy_adaptive_sharpen,qasper,-4.489602307478587,0.27963179784516495,0.0,0.08333333333333333,3212674107.1666665,0.3368746993746994,533355184.4583333,7340032.0,3127643477.3333335,108130.45833333333,24
