condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
none,22,2,2,,2,1.2920351028442383,11,0.7823938727378845,1,D0,6,1,32
correct,22,2,2,2.3778810501098633,2,3.6699161529541016,11,0.9741334319114685,1,D0,6,1,32
shuffled,22,2,2,,2,-7.302864074707031,11,0.000662456382997334,3,D0,6,0,32
wrong_chain,22,2,2,,2,5.166049957275391,11,0.9923334121704102,1,D0,6,1,32
irrelevant,22,2,2,,2,-0.5227212905883789,11,0.2476593405008316,3,D0,6,0,32
reversed,22,2,2,,2,-7.302864074707031,11,0.000662456382997334,3,D0,6,0,32
none,23,2,2,,2,1.2920351028442383,11,0.7823938727378845,1,D0,6,1,32
correct,23,2,2,-5.628844261169434,2,-4.336809158325195,11,0.01276052463799715,2,D0,6,0,32
shuffled,23,2,2,,2,-6.855457305908203,11,0.000824946619104594,3,D0,6,0,32
wrong_chain,23,2,2,,2,2.492694854736328,11,0.9189169406890869,1,D0,6,1,32
irrelevant,23,2,2,,2,7.186374664306641,11,0.9991139769554138,1,D0,6,1,32
reversed,23,2,2,,2,-6.855457305908203,11,0.000824946619104594,3,D0,6,0,32
none,24,3,2,,2,-4.224931716918945,11,0.01325949840247631,3,D0,6,0,32
correct,24,3,2,8.458050727844238,2,4.233119010925293,11,0.9815986752510071,1,D0,6,1,32
shuffled,24,3,2,,2,-9.143047332763672,11,6.376408418873325e-05,5,D0,6,0,32
wrong_chain,24,3,2,,2,1.2368154525756836,11,0.7673252820968628,1,D0,6,1,32
irrelevant,24,3,2,,2,-2.344392776489258,11,0.06485864520072937,3,D0,6,0,32
reversed,24,3,2,,2,-9.143047332763672,11,6.376408418873325e-05,5,D0,6,0,32
none,25,3,2,,2,-4.224931716918945,11,0.01325949840247631,3,D0,6,0,32
correct,25,3,2,-2.5458126068115234,2,-6.770744323730469,11,0.0008098158868961036,3,D0,6,0,32
shuffled,25,3,2,,2,-0.7361612319946289,11,0.30969130992889404,2,D0,6,0,32
wrong_chain,25,3,2,,2,3.5394821166992188,11,0.9575840830802917,1,D0,6,1,32
irrelevant,25,3,2,,2,-2.976241111755371,11,0.04780649393796921,2,D0,6,0,32
reversed,25,3,2,,2,-0.7361612319946289,11,0.30969130992889404,2,D0,6,0,32
none,26,3,2,,2,-4.224931716918945,11,0.01325949840247631,3,D0,6,0,32
correct,26,3,2,5.335691452026367,2,1.1107597351074219,11,0.6991758942604065,1,D0,6,1,32
shuffled,26,3,2,,2,0.37100696563720703,11,0.5815996527671814,1,D0,6,1,32
wrong_chain,26,3,2,,2,5.300158500671387,11,0.9909595251083374,1,D0,6,1,32
irrelevant,26,3,2,,2,2.973970413208008,11,0.9171348810195923,1,D0,6,1,32
reversed,26,3,2,,2,0.37100696563720703,11,0.5815996527671814,1,D0,6,1,32
none,27,3,2,,2,-4.224931716918945,11,0.01325949840247631,3,D0,6,0,32
correct,27,3,2,4.419633865356445,2,0.1947021484375,11,0.5447185039520264,1,D0,6,1,32
shuffled,27,3,2,,2,-1.2490653991699219,11,0.17086537182331085,3,D0,6,0,32
wrong_chain,27,3,2,,2,-0.6781091690063477,11,0.2280447781085968,3,D0,6,0,32
irrelevant,27,3,2,,2,1.417266845703125,11,0.7941651940345764,1,D0,6,1,32
reversed,27,3,2,,2,-1.2490653991699219,11,0.17086537182331085,3,D0,6,0,32
none,28,3,2,,2,-4.224931716918945,11,0.01325949840247631,3,D0,6,0,32
correct,28,3,2,-4.2756547927856445,2,-8.50058650970459,11,0.00020149594638496637,3,D0,6,0,32
shuffled,28,3,2,,2,-4.982174873352051,11,0.004712075926363468,3,D0,6,0,32
wrong_chain,28,3,2,,2,3.8265628814697266,11,0.9769973754882812,1,D0,6,1,32
irrelevant,28,3,2,,2,-5.78352165222168,11,0.0030424005817621946,3,D0,6,0,32
reversed,28,3,2,,2,-4.982174873352051,11,0.004712075926363468,3,D0,6,0,32
none,29,3,2,,2,-4.224931716918945,11,0.01325949840247631,3,D0,6,0,32
correct,29,3,2,7.5035552978515625,2,3.278623580932617,11,0.9591125249862671,1,D0,6,1,32
shuffled,29,3,2,,2,-3.8717079162597656,11,0.019331468269228935,3,D0,6,0,32
wrong_chain,29,3,2,,2,-3.559901237487793,11,0.0225906390696764,3,D0,6,0,32
irrelevant,29,3,2,,2,2.0836105346679688,11,0.884428858757019,1,D0,6,1,32
reversed,29,3,2,,2,-3.8717079162597656,11,0.019331468269228935,3,D0,6,0,32
none,30,3,2,,2,-4.224931716918945,11,0.01325949840247631,3,D0,6,0,32
correct,30,3,2,3.642256736755371,2,-0.5826749801635742,11,0.31590577960014343,2,D0,6,0,32
shuffled,30,3,2,,2,-0.904144287109375,11,0.22727322578430176,2,D0,6,0,32
wrong_chain,30,3,2,,2,6.156353950500488,11,0.9962722063064575,1,D0,6,1,32
irrelevant,30,3,2,,2,2.1768484115600586,11,0.873214066028595,1,D0,6,1,32
reversed,30,3,2,,2,-0.904144287109375,11,0.22727322578430176,2,D0,6,0,32
none,31,3,2,,2,-4.224931716918945,11,0.01325949840247631,3,D0,6,0,32
correct,31,3,2,7.5035552978515625,2,3.278623580932617,11,0.9591125249862671,1,D0,6,1,32
shuffled,31,3,2,,2,-3.8717079162597656,11,0.019331468269228935,3,D0,6,0,32
wrong_chain,31,3,2,,2,-3.559901237487793,11,0.0225906390696764,3,D0,6,0,32
irrelevant,31,3,2,,2,2.0836105346679688,11,0.884428858757019,1,D0,6,1,32
reversed,31,3,2,,2,-3.8717079162597656,11,0.019331468269228935,3,D0,6,0,32
none,32,4,2,,2,-26.218950271606445,11,2.8699210976451672e-12,126,D0,6,0,32
correct,32,4,2,26.6820125579834,2,0.4630622863769531,11,0.5758705735206604,1,D0,6,1,32
shuffled,32,4,2,,2,-0.3089580535888672,11,0.3792254626750946,2,D0,6,0,32
wrong_chain,32,4,2,,2,-6.111757278442383,11,0.0020984874572604895,3,D0,6,0,32
irrelevant,32,4,2,,2,-2.4855308532714844,11,0.07254327833652496,2,D0,6,0,32
reversed,32,4,2,,2,-0.3089580535888672,11,0.3792254626750946,2,D0,6,0,32
none,33,4,2,,2,-26.218950271606445,11,2.8699210976451672e-12,126,D0,6,0,32
correct,33,4,2,20.697348594665527,2,-5.521601676940918,11,0.0031844782643020153,3,D0,6,0,32
shuffled,33,4,2,,2,0.16595172882080078,11,0.501257061958313,1,D0,6,1,32
wrong_chain,33,4,2,,2,-10.24881362915039,11,2.816353298840113e-05,4,D0,6,0,32
irrelevant,33,4,2,,2,3.917886734008789,11,0.9658695459365845,1,D0,6,1,32
reversed,33,4,2,,2,0.16595172882080078,11,0.501257061958313,1,D0,6,1,32
none,34,4,2,,2,-26.218950271606445,11,2.8699210976451672e-12,126,D0,6,0,32
correct,34,4,2,20.697348594665527,2,-5.521601676940918,11,0.0031844782643020153,3,D0,6,0,32
