heads,layers,loss,model_seed,stage,step,width
1,2,0.0027454521041363478,11,D4,301,16
1,2,0.002073834650218487,11,D4,351,16
1,2,0.001544127007946372,11,D4,400,16
2,2,12.70661735534668,11,D4,1,16
2,2,0.5329037308692932,11,D4,51,16
2,2,0.027062922716140747,11,D4,101,16
2,2,0.008585954084992409,11,D4,151,16
2,2,0.0036507139448076487,11,D4,201,16
2,2,0.0030855147633701563,11,D4,251,16
2,2,0.0022506543900817633,11,D4,301,16
2,2,0.0019502353388816118,11,D4,351,16
1,2,21.248197555541992,11,D4,1,32
1,2,0.007817037403583527,11,D4,51,32
1,2,0.0012114709243178368,11,D4,101,32
1,2,41.70153045654297,11,D4,1,64
1,2,1.1045271158218384,11,D4,51,64
1,2,1.1343154907226562,11,D4,101,64
1,2,1.1447539329528809,11,D4,151,64
1,2,1.1070563793182373,11,D4,201,64
1,2,1.018747329711914,11,D4,251,64
1,2,1.0201644897460938,11,D4,301,64
1,2,0.6210777163505554,11,D4,351,64
1,2,0.355114221572876,11,D4,400,64
2,2,41.995323181152344,11,D4,1,64
2,2,0.32347142696380615,11,D4,51,64
2,2,0.0003630268620327115,11,D4,101,64
1,3,7.46632194519043,11,D4,1,8
1,3,2.389017105102539,11,D4,51,8
1,3,0.7456026673316956,11,D4,101,8
1,3,0.47475749254226685,11,D4,151,8
1,3,0.04917173460125923,11,D4,201,8
1,3,0.020639507099986076,11,D4,251,8
1,3,0.01718101277947426,11,D4,301,8
1,3,0.01230879407376051,11,D4,351,8
1,3,0.010233739390969276,11,D4,400,8
2,3,7.533086776733398,11,D4,1,8
2,3,2.6500706672668457,11,D4,51,8
2,3,0.6800492405891418,11,D4,101,8
2,3,0.06870831549167633,11,D4,151,8
2,3,0.035161785781383514,11,D4,201,8
2,3,0.02072763256728649,11,D4,251,8
2,3,0.01723220758140087,11,D4,301,8
2,3,0.01224574539810419,11,D4,351,8
2,3,0.0098549984395504,11,D4,400,8
1,3,11.977614402770996,11,D4,1,16
1,3,0.2563799321651459,11,D4,51,16
1,3,0.01087861880660057,11,D4,101,16
1,3,0.004677809774875641,11,D4,151,16
1,3,0.0028086972888559103,11,D4,201,16
