accuracy,boundary,gate_passed,margin_signal,margin_snr,margin_variance,model_seed,predictive_order,stage
1.0,9,True,9.89004809036851,2.525129806606747,15.340142352450329,23,2,s1
1.0,9,True,10.659438267350197,3.0402372094672305,12.292881555680978,23,3,s1
0.9375,10,True,8.716857243329287,1.7717612686176203,24.205243713168564,23,1,s1
0.98828125,10,True,10.053371109068394,2.6271806720626065,14.643454686237645,23,2,s1
1.0,10,True,10.722488313913345,3.1608003923147217,11.50792496876291,23,3,s1
0.94921875,11,True,8.589883219450712,1.80252729505509,22.709669786878933,23,1,s1
0.98828125,11,True,10.107691001147032,2.656305983609838,14.479304856542182,23,2,s1
1.0,11,True,10.749194920063019,3.2231541629940743,11.122174882557683,23,3,s1
0.9453125,12,True,8.34943538159132,1.7887354568679668,21.788231655261054,23,1,s1
0.984375,12,True,10.178242333233356,2.6474721179875256,14.780284142625852,23,2,s1
1.0,12,True,10.656543638557196,3.1775110503485355,11.247567182769142,23,3,s1
0.0,0,False,-37.74061205983162,-5.694499620711634,43.9244913807766,11,4,s2
0.0,1,False,-35.91740922257304,-4.397996368045465,66.69607437550621,11,4,s2
0.0,2,False,-29.220753140747547,-2.6181199333716183,124.56720962186422,11,4,s2
0.068359375,3,False,-26.14340080693364,-1.795184326974166,212.08310176028405,11,4,s2
0.080078125,4,False,-29.928168784826994,-1.7633010332943804,288.07619022858046,11,4,s2
0.041015625,5,False,-34.13911175727844,-2.3213020360083254,216.29233541621198,11,4,s2
0.046875,6,False,-35.19029691070318,-2.2387278851113064,247.08321557466246,11,4,s2
0.048828125,7,False,-32.795566119253635,-2.16800538709798,228.82820307180853,11,4,s2
0.05078125,8,False,-31.83348610252142,-2.111815933669327,227.22508652157458,11,4,s2
0.052734375,9,False,-28.99238631501794,-2.0754086363545885,195.1464640465035,11,4,s2
0.052734375,10,False,-27.322562772780657,-2.0193531274255903,183.07048079864057,11,4,s2
0.0546875,11,False,-23.685839265584946,-1.9954710513075107,140.89211611106853,11,4,s2
0.0546875,12,False,-22.341644510626793,-1.9733885563301945,128.1755128099868,11,4,s2
0.0,0,False,-38.45484724640846,-4.076719069177963,88.97758445435164,23,4,s2
0.0,1,False,-38.768604170531034,-3.5321578251535355,120.47033790161707,23,4,s2
0.0,2,False,-36.2987241987139,-2.896204581267513,157.08121423128085,23,4,s2
0.041015625,3,False,-28.89216317422688,-2.2442932990164683,165.7299091879941,23,4,s2
0.056640625,4,False,-34.26090123876929,-2.1270287178867235,259.44831760960574,23,4,s2
0.064453125,5,False,-30.328150164335966,-1.9771709940484408,235.28995268344434,23,4,s2
0.05859375,6,False,-29.980788983404636,-1.926089325479991,242.28875964069982,23,4,s2
0.064453125,7,False,-27.048409961163998,-1.868629702262006,209.52554785095512,23,4,s2
0.060546875,8,False,-25.558267638087273,-1.835470784129589,193.8955648072408,23,4,s2
0.05859375,9,False,-22.396504551172256,-1.8083352560589647,153.39195632794667,23,4,s2
0.05859375,10,False,-20.59251296147704,-1.798280438267358,131.13054188884712,23,4,s2
0.060546875,11,False,-18.19126011058688,-1.8023312857148548,101.87234997468221,23,4,s2
0.05859375,12,False,-16.905972242355347,-1.79750732773722,88.45837644052008,23,4,s2
0.0,0,True,-36.70518379880671,-5.749009513008075,40.76324522404369,11,1,s3
0.5146198830409356,1,True,-0.19736162821451822,-0.030968967360416936,40.61364702133116,11,1,s3
0.5321637426900585,2,True,0.15501155072485495,0.026004633126494515,35.53257320931089,11,1,s3
1.0,3,True,19.31010796173274,5.103630255342202,14.315647524824577,11,1,s3
1.0,4,True,18.730016284518772,5.140911244324395,13.273825302305244,11,1,s3
1.0,5,True,17.666111828988058,4.176457779668071,17.892283027892304,11,1,s3
1.0,6,True,17.879891144601924,4.348778842991074,16.90421844247565,11,1,s3
1.0,7,True,17.534872701990675,3.9876433419477046,19.336266322951857,11,1,s3
1.0,8,True,17.179037183348896,3.5879123161198248,22.925245620390843,11,1,s3
1.0,9,True,16.828516564174006,3.4429694689336747,23.890504769730576,11,1,s3
1.0,10,True,16.420419592606393,3.2466880988630304,25.579223859415404,11,1,s3
1.0,11,True,14.984681971589026,2.82948840767851,28.04653551286721,11,1,s3
1.0,12,True,14.327777784470229,2.6906675915537375,28.35551756438522,11,1,s3
0.0,0,True,-35.854897404274745,-5.334621349876114,45.17412723266996,11,2,s3
0.5789473684210527,1,True,0.4657082027859158,0.14291026152239597,10.619423644197866,11,2,s3
0.6491228070175439,2,True,0.7156063882928145,0.24851391976407228,8.291764871630397,11,2,s3
0.9415204678362573,3,True,12.407561709309181,1.8250784313832848,46.217858887142725,11,2,s3
0.9298245614035088,4,True,12.155872701901442,1.5919555211891427,58.305621337432775,11,2,s3
0.9883040935672515,5,True,19.710491883127315,3.108894580785563,40.19600883578265,11,2,s3
0.9883040935672515,6,True,20.09829332675153,3.150793132414455,40.68914649560913,11,2,s3
0.9941520467836257,7,True,20.948670370536938,3.9611762590121984,27.96820480338125,11,2,s3
0.9941520467836257,8,True,20.47853134110657,3.7252457484936436,30.219533693689264,11,2,s3
0.9941520467836257,9,True,18.91755467688131,3.5096234211595947,29.054202313135768,11,2,s3
0.9941520467836257,10,True,17.399249461659213,3.3182805184375574,27.493804164567383,11,2,s3
0.9941520467836257,11,True,14.571818212319537,3.719120287978288,15.35136645634704,11,2,s3
0.9941520467836257,12,True,13.312752561959607,3.32630013368092,16.01816833367642,11,2,s3
0.0,0,True,-44.123843787698185,-6.699644908642337,43.37536142520039,11,3,s3
