between_centroid_variance,boundary,effective_rank,hierarchy_rsa,interpretation_status,model_seed,nearest_class_recovery,predictive_order,residual_covariance_trace,stage,within_between_ratio,within_dispersion
1099.8439922938503,9,9.338680982104982,0.9380343537520902,eligible,11,1.0,1,1301.1032069988296,s1,7.285138525395365,150.970909940427
984.8575023946262,9,8.225777254903685,0.9116132427161542,eligible,11,1.0,2,1242.5689149110817,s1,3.3867916190715555,290.79365167165025
583.2778321829437,9,7.311700459794722,0.9060855174427989,eligible,11,1.0,3,660.449660646784,s1,2.224960149573629,262.15203551958814
1148.4582034399134,10,9.161543797394199,0.9363169417141202,eligible,11,1.0,1,1357.6750686669698,s1,7.399991992783332,155.1972224410405
1032.2024210452155,10,8.156496853561837,0.9120926470104357,eligible,11,1.0,2,1299.650639069373,s1,3.43140095707425,300.8107865922491
597.9682757383953,10,7.06551248294762,0.9102702715587377,eligible,11,1.0,3,679.4732438184814,s1,2.2576230909729764,264.86630036110694
1194.715934139951,11,9.03405895287712,0.9326872203135808,eligible,11,1.0,1,1410.2896517857712,s1,7.497860749197695,159.3409072304807
1053.4335622026315,11,8.13289260377645,0.9103101681778408,eligible,11,1.0,2,1326.2606079491002,s1,3.435133886787633,306.6644843800831
613.2536971875937,11,7.0653023652021165,0.9131541817596156,eligible,11,1.0,3,699.3653543778844,s1,2.243146457259587,273.3899497201639
1242.7011359703065,12,8.746735291115806,0.9283927160041998,eligible,11,1.0,1,1466.9189424004526,s1,7.599461168479558,163.52490108755197
1075.5083969115087,12,8.061468247437986,0.9098907093870369,eligible,11,1.0,2,1357.4283413865523,s1,3.4314236387557076,313.42920901110074
628.3754453189119,12,7.01421375575935,0.9133927332481699,eligible,11,1.0,3,714.7374168552551,s1,2.2710626873723356,276.68784696702676
35.76599117376488,0,19.680475726461136,0.3672394878011681,eligible,23,0.80859375,1,55.687570822347794,s1,1.5528704533985873,23.03217958713768
21.153046411068235,0,19.608231993743438,0.359888156198629,eligible,23,0.8125,2,55.98688973531567,s1,0.5337804203906039,39.62874170291089
15.251151099896422,0,19.906059529536282,0.47745378873813454,eligible,23,0.8671875,3,55.74878243127884,s1,0.3257701333570737,46.81568239382482
157.94202963235884,1,8.969416777582044,0.8883453584296491,eligible,23,0.9921875,1,202.0674760218395,s1,3.472562090814175,45.482852564517344
139.04257514849925,1,6.64242687021181,0.8995831341385464,eligible,23,0.85546875,2,225.1838822572824,s1,1.5607839891502506,89.0850855079513
103.63552059186875,1,5.446202933795043,0.9289017993463281,eligible,23,0.984375,3,227.7317621015119,s1,1.0421317076939873,99.44570327945448
