boundary,cross_class_update_similarity,interpretation_status,model_seed,predictive_order,same_class_update_similarity,stage
6,0.930697398964624,eligible,11,1,0.9831504640734099,s3
7,0.7911067206755045,eligible,11,1,0.6829822873968417,s3
8,0.8916567935326574,eligible,11,1,0.9807419987941153,s3
9,0.7133850927795604,eligible,11,1,0.9352761024837413,s3
10,0.977435967047988,eligible,11,1,0.990573171491956,s3
11,0.9755388111216067,eligible,11,1,0.7434681405446282,s3
12,0.9894859753275105,eligible,11,1,0.9937167560013003,s3
1,0.9898615125939093,eligible,11,2,0.9891533548890717,s3
2,0.9842610809260571,eligible,11,2,0.98218081777664,s3
3,-0.6251009852164353,eligible,11,2,0.25241144573584684,s3
4,0.924619539593429,eligible,11,2,0.9639401510393397,s3
5,-0.9884380322679772,eligible,11,2,0.49646801353623604,s3
6,0.9141660567205808,eligible,11,2,0.9709741389338934,s3
7,-0.37759139232119776,eligible,11,2,0.7837365756174807,s3
8,0.9734736679816063,eligible,11,2,0.9795960907655692,s3
9,0.7815471565190969,eligible,11,2,0.9670130134139215,s3
10,0.981814442355528,eligible,11,2,0.9936813430693485,s3
11,-0.4040899332971872,eligible,11,2,0.7810484321532696,s3
12,0.9819980457873606,eligible,11,2,0.994130361340003,s3
1,0.9764798730335673,eligible,11,3,0.98099570754022,s3
2,0.9810086459285586,eligible,11,3,0.9806111447889047,s3
3,0.9976555797263238,eligible,11,3,0.7184975443147816,s3
4,0.9947170114519357,eligible,11,3,0.9425369766881795,s3
5,0.982790726235544,eligible,11,3,0.8183258963098168,s3
6,0.9987014514486131,eligible,11,3,0.9847482023183363,s3
7,0.3357876448394961,eligible,11,3,0.8950467367278392,s3
8,0.9988711894055397,eligible,11,3,0.9936825624696652,s3
9,0.9389453505083845,eligible,11,3,0.9878925361506248,s3
10,0.9994799387797402,eligible,11,3,0.9989114010723047,s3
11,-0.24125385465222082,eligible,11,3,0.7977408984172502,s3
12,0.9941863264585357,eligible,11,3,0.9993600839851023,s3
1,-0.9361769543615072,eligible,23,1,0.9895679578683495,s3
2,-0.19110402287235287,eligible,23,1,0.9436838851233703,s3
3,0.5428802907633664,eligible,23,1,0.7352063392283196,s3
4,0.3811874456820772,eligible,23,1,0.9025188450341719,s3
5,0.4937402140605179,eligible,23,1,0.6055211133081884,s3
6,0.2437712900031065,eligible,23,1,0.8118081722705303,s3
7,0.566198470123888,eligible,23,1,0.7549058358018965,s3
8,0.22886243060136816,eligible,23,1,0.8132305748729629,s3
9,0.9920738184119313,eligible,23,1,0.9925057532307968,s3
10,0.7178434280466923,eligible,23,1,0.8687003063330235,s3
11,0.9776859253930268,eligible,23,1,0.9749918188552871,s3
12,0.9256240613984006,eligible,23,1,0.9676325162421103,s3
1,-0.9177022894547223,eligible,23,2,-0.03609121279926776,s3
2,-0.2315996478953741,eligible,23,2,0.304288939559168,s3
3,0.7610804479857521,eligible,23,2,0.8569717435695772,s3
4,0.7622176956766564,eligible,23,2,0.8833858963769815,s3
5,0.650253197985765,eligible,23,2,0.3961640559321709,s3
6,0.8806785974261117,eligible,23,2,0.8776781388041561,s3
7,0.9628226366475435,eligible,23,2,0.9158803421627082,s3
8,0.959504985292534,eligible,23,2,0.949000575369489,s3
9,0.9958036095765816,eligible,23,2,0.9938082950684336,s3
10,0.983696526903645,eligible,23,2,0.9875910994628356,s3
11,0.9977130560762985,eligible,23,2,0.9928428503198334,s3
12,0.992362763863859,eligible,23,2,0.9921272158697613,s3
1,-0.9206311498382515,eligible,23,3,-0.48034955943421664,s3
2,-0.33030934492391145,eligible,23,3,0.03912618841393477,s3
3,-0.22275726550777208,eligible,23,3,0.5651592045190297,s3
4,0.7719225911689647,eligible,23,3,0.8558414666479328,s3
5,-0.9547005136597355,eligible,23,3,0.8195075157705787,s3
6,0.9249570050007259,eligible,23,3,0.9725628813256234,s3
7,0.9631519816261391,eligible,23,3,0.9306978166438472,s3
8,0.9660679463969991,eligible,23,3,0.9874555119611321,s3
9,0.9948376905221876,eligible,23,3,0.9950461310174383,s3
10,0.9792293809053833,eligible,23,3,0.9923500341799296,s3
11,0.9982195167339731,eligible,23,3,0.9947779004126799,s3
12,0.9898180846008974,eligible,23,3,0.994449227041295,s3
