condition,depth,example_id,final_correct,generated_steps,seed,termination_correct,trajectory_exact,transition_accuracy
O0,8,5,0,1,11,1,0,0
O0,8,6,0,1,11,1,0,0
O0,8,7,0,1,11,1,0,0
O0,8,8,0,1,11,1,0,0
O0,8,9,0,1,11,1,0,0
O0,8,10,0,1,11,1,0,0
O0,8,11,1,1,11,1,1,1
O0,8,12,0,1,11,1,0,0
O0,8,13,0,1,11,1,0,0
O0,8,14,0,1,11,1,0,0
O0,8,15,0,1,11,1,0,0
O0,8,16,0,1,11,1,0,0
O0,8,17,0,1,11,1,0,0
O0,8,18,0,1,11,1,0,0
O0,8,19,0,1,11,1,0,0
O0,8,20,0,1,11,1,0,0
O0,8,21,0,1,11,1,0,0
O0,8,22,0,1,11,1,0,0
O0,8,23,0,1,11,1,0,0
O0,8,24,0,1,11,1,0,0
O0,8,25,0,1,11,1,0,0
O0,8,26,0,1,11,1,0,0
O0,8,27,0,1,11,1,0,0
O0,8,28,1,1,11,1,1,1
O0,8,29,0,1,11,1,0,0
O0,8,30,0,1,11,1,0,0
O0,8,31,0,1,11,1,0,0
O0,8,32,0,1,11,1,0,0
O0,8,33,0,1,11,1,0,0
O0,8,34,0,1,11,1,0,0
O0,8,35,0,1,11,1,0,0
O0,8,36,0,1,11,1,0,0
O0,8,37,0,1,11,1,0,0
O0,8,38,0,1,11,1,0,0
O0,8,39,0,1,11,1,0,0
O0,8,40,0,1,11,1,0,0
O0,8,41,0,1,11,1,0,0
O0,8,42,0,1,11,1,0,0
O0,8,43,0,1,11,1,0,0
O0,8,44,0,1,11,1,0,0
O0,8,45,0,1,11,1,0,0
O0,8,46,0,1,11,1,0,0
O0,8,47,1,1,11,1,1,1
O0,8,48,0,1,11,1,0,0
O0,8,49,0,1,11,1,0,0
O0,8,50,0,1,11,1,0,0
O0,8,51,0,1,11,1,0,0
O0,8,52,0,1,11,1,0,0
O0,8,53,0,1,11,1,0,0
O0,8,54,0,1,11,1,0,0
O0,8,55,0,1,11,1,0,0
O0,8,56,0,1,11,1,0,0
O0,8,57,0,1,11,1,0,0
O0,8,58,0,1,11,1,0,0
O0,8,59,0,1,11,1,0,0
O0,8,60,0,1,11,1,0,0
O0,8,61,0,1,11,1,0,0
O0,8,62,0,1,11,1,0,0
O0,8,63,0,1,11,1,0,0
O0,1,0,1,1,23,1,1,1
O0,1,1,1,1,23,1,1,1
O0,1,2,1,1,23,1,1,1
O0,1,3,1,1,23,1,1,1
O0,1,4,1,1,23,1,1,1
O0,1,5,1,1,23,1,1,1
O0,1,6,1,1,23,1,1,1
O0,1,7,1,1,23,1,1,1
O0,1,8,1,1,23,1,1,1
O0,1,9,1,1,23,1,1,1
O0,1,10,1,1,23,1,1,1
O0,1,11,1,1,23,1,1,1
O0,1,12,1,1,23,1,1,1
O0,1,13,1,1,23,1,1,1
O0,1,14,1,1,23,1,1,1
O0,1,15,1,1,23,1,1,1
O0,1,16,1,1,23,1,1,1
O0,1,17,1,1,23,1,1,1
O0,1,18,1,1,23,1,1,1
O0,1,19,1,1,23,1,1,1
O0,1,20,1,1,23,1,1,1
O0,1,21,1,1,23,1,1,1
O0,1,22,1,1,23,1,1,1
O0,1,23,1,1,23,1,1,1
O0,1,24,1,1,23,1,1,1
O0,1,25,1,1,23,1,1,1
O0,1,26,1,1,23,1,1,1
